survey_year,survey_wave,indoor_rate__legacy_recovery,indoor_rate__persistent_legacy,outdoor_rate__legacy_recovery,outdoor_rate__persistent_legacy,indoor_exposure_share__legacy_recovery,indoor_exposure_share__persistent_legacy,indoor_rate_persistent_minus_recovery,outdoor_rate_persistent_minus_recovery,indoor_exposure_share_persistent_minus_recovery,analysis_type
2023,2023/24,0.12442901807685126,0.12550693375075903,0.0893151193558456,0.09380719819031294,0.5821400276582142,0.5722701617079641,0.0010779156739077617,0.004492078834467339,-0.009869865950250079,future_COVID_scenario_sensitivity
2024,2024/25,0.11950310326121492,0.12275413070003488,0.0868270387441385,0.0944266090484906,0.5791839335724119,0.5652164682843075,0.003251027438819956,0.007599570304352099,-0.013967465288104441,future_COVID_scenario_sensitivity
2025,2025/26,0.11854545917375492,0.12270972069306776,0.08606058057220717,0.09433958306534625,0.5793839679461096,0.5653541318411663,0.004164261519312845,0.008279002493139079,-0.014029836104943239,future_COVID_scenario_sensitivity
2026,2026/27,0.11819931326811496,0.12244086597990317,0.08573277123744208,0.09441740489954076,0.5796013587302595,0.5646123870828548,0.004241552711788207,0.008684633662098679,-0.014988971647404759,future_COVID_scenario_sensitivity
2027,2027/28,0.11819786195003149,0.12295937080324373,0.08572066432650366,0.09485319590577403,0.5796327783859258,0.5645191765611429,0.0047615088532122485,0.009132531579270367,-0.01511360182478283,future_COVID_scenario_sensitivity
2028,2028/29,0.1181569751155357,0.12279293346511067,0.08571318608856734,0.0944707228695883,0.5795697340781703,0.5651793564402954,0.004635958349574962,0.008757536781020953,-0.014390377637874874,future_COVID_scenario_sensitivity
