period,indoor_rate,outdoor_rate,indoor_exposure_share,indoor_rate_change_vs_pre_COVID,outdoor_rate_change_vs_pre_COVID,indoor_exposure_share_change_vs_pre_COVID,analysis_type
COVID_disruption_2020_21,0.10583502804361762,0.0810760129292674,0.5662320828814548,-0.02701564631908364,-0.0012181394710653881,-0.05124867678863998,observed_period_comparison
post_disruption_2021_22_to_2022_23,0.13053234512332856,0.10034425434886451,0.5650862331413689,-0.002318329239372696,0.018050101948531724,-0.05239452652872589,observed_period_comparison
pre_COVID_2017_18_to_2019_20,0.13285067436270126,0.08229415240033279,0.6174807596700947,0.0,0.0,0.0,observed_period_comparison
