frequency,prior_strength,is_primary,mean_abs_component_change_from_direct,max_abs_component_change_from_direct,mean_abs_indoor_exposure_change_from_direct,max_abs_indoor_exposure_change_from_direct,mean_abs_component_difference_vs_primary,max_abs_component_difference_vs_primary,mean_abs_indoor_exposure_difference_vs_primary,max_abs_indoor_exposure_difference_vs_primary,rationale
annual,1.0,False,0.0003384485572759321,0.010625229778217116,0.004905609378168691,0.25819368812939547,0.001178937499457779,0.034805646504376675,0.0112479941791337,0.24844331214051874,Primary strength is comparable to 5 annual or 20 monthly effective observations; weaker/stronger alternatives measure threshold sensitivity
annual,5.0,True,0.0015173860567337114,0.04543087628259379,0.018929082640465243,0.5066370002699142,0.0,0.0,0.0,0.0,Primary strength is comparable to 5 annual or 20 monthly effective observations; weaker/stronger alternatives measure threshold sensitivity
annual,10.0,False,0.0026969960391615474,0.07693229035507088,0.031165470461932503,0.5759067957789389,0.001179609982427836,0.031501414072477085,0.009814602731801878,0.09677770821456688,Primary strength is comparable to 5 annual or 20 monthly effective observations; weaker/stronger alternatives measure threshold sensitivity
monthly,10.0,False,0.028168985589680614,0.8995448771098035,0.10249147234848892,0.7466103809034548,0.006054067921560836,0.0779059113725667,0.01480809860669485,0.15988744969815233,Primary strength is comparable to 5 annual or 20 monthly effective observations; weaker/stronger alternatives measure threshold sensitivity
monthly,20.0,True,0.03422305351124145,0.9423803474483655,0.1312678479057662,0.8211505129441302,0.0,0.0,0.0,0.0,Primary strength is comparable to 5 annual or 20 monthly effective observations; weaker/stronger alternatives measure threshold sensitivity
monthly,40.0,False,0.03905416458929889,0.9653652339714963,0.15554182597441724,0.8642952957626634,0.00483111107805744,0.05500631868992298,0.012491199946354269,0.15167765605300093,Primary strength is comparable to 5 annual or 20 monthly effective observations; weaker/stronger alternatives measure threshold sensitivity
