frequency,split,fold,train_start_wave,train_end_wave,validation_wave,model,params,alr_epsilon,weighted_tv,unweighted_tv,weighted_mae,unweighted_mae,weighted_component_mae,neither_recorded_weighted_mae,neither_recorded_weighted_rmse,neither_recorded_weighted_r2,indoor_only_weighted_mae,indoor_only_weighted_rmse,indoor_only_weighted_r2,outdoor_only_weighted_mae,outdoor_only_weighted_rmse,outdoor_only_weighted_r2,both_weighted_mae,both_weighted_rmse,both_weighted_r2,indoor_weighted_mae,outdoor_weighted_mae,indoor_weighted_rmse,outdoor_weighted_rmse,tv_rank,mae_rank,selection_mean_rank,skill_vs_naive,is_selected_model
annual,rolling_validation_fold,train_2017_18_to_2018_19__validate_2019_20,2017/18,2018/19,2019/20,Naive,{},1e-06,0.04690424152132444,0.0441371250742704,0.024707590073510526,0.0249029700486863,0.02345212076066222,0.033066991579778,0.04710288324706309,0.7867535917010846,0.02710153860883089,0.03604188564450821,0.49346030456465995,0.016398125700604213,0.02374365446875848,0.2363121641134529,0.017241827153435786,0.02459418957485442,0.5080378457083179,0.0276168570704111,0.02179832307660995,0.03811429677189042,0.03234465943814262,,,,,
annual,rolling_validation_fold,train_2017_18_to_2019_20__validate_2020_21,2017/18,2019/20,2020/21,Naive,{},1e-06,0.042148651939204515,0.04073952837787318,0.023296380416433397,0.023057508737106856,0.021074325969602258,0.028313498633568735,0.04086446325451473,0.8146307763304986,0.02499897534987892,0.03425434983626477,0.33425345100913184,0.015338035817590573,0.022822378372382806,0.37451849346501553,0.015646794077370817,0.02330440972831332,0.5792075072501804,0.027027830469664654,0.01956493036320214,0.03797088271180381,0.026362912989535792,,,,,
annual,rolling_validation_fold,train_2017_18_to_2020_21__validate_2021_22,2017/18,2020/21,2021/22,Naive,{},1e-06,0.046231500944276985,0.0423118856115596,0.028595902648026368,0.024445834517965667,0.023115750472138492,0.03534127275497646,0.04748225466444735,0.799240997208492,0.02152067530397486,0.029130800702293035,0.5488819285025579,0.017218861116384654,0.02464787992789829,0.3442841456820108,0.018382192713217987,0.02588161830408555,0.6566386710300163,0.030516071190174972,0.026675734105877764,0.040390804148074895,0.03698113610745631,,,,,
annual,rolling_validation_fold,train_2017_18_to_2018_19__validate_2019_20,2017/18,2018/19,2019/20,Ridge,"{""alpha"": 0.1}",1e-06,0.06858138094064388,0.05301296126711189,0.04173736546634961,0.03119582590245655,0.03429069047032194,0.050567795509132665,0.07719067880861225,0.42731413817279984,0.04508507112548359,0.06865527863186313,-0.8380035429967365,0.017642820354266505,0.024470345308159544,0.18885043096834753,0.02386707489240499,0.050620043223951,-1.0840670406758082,0.053935570755178304,0.029539160177520916,0.08459322658719386,0.05092078126079005,,,,,
annual,rolling_validation_fold,train_2017_18_to_2019_20__validate_2020_21,2017/18,2019/20,2020/21,Ridge,"{""alpha"": 0.1}",1e-06,0.05414187872396949,0.04256682300834691,0.0323854293820365,0.02483853639003338,0.027070939361984746,0.046709451894427184,0.06176671559706131,0.5764984048069969,0.019002895451777906,0.02530889455201763,0.6365674519687585,0.02889478704540737,0.03769297232058816,-0.7061351959240003,0.013676623056326529,0.023095604896606774,0.586714230930173,0.025168045020596042,0.03960281374347696,0.03411700490547505,0.050981162586176895,,,,,
annual,rolling_validation_fold,train_2017_18_to_2020_21__validate_2021_22,2017/18,2020/21,2021/22,Ridge,"{""alpha"": 0.1}",1e-06,0.08323359585740896,0.06110579758332011,0.05423587791154778,0.03759370342277246,0.04161679792870448,0.07848097840662792,0.09873908226100957,0.13185846187393235,0.024750755734377558,0.03322810744726883,0.41305610022077066,0.03526891083548065,0.04317543286780389,-1.0120091246657061,0.027966546738331797,0.04015311989866742,0.1735680164568133,0.047310615471621444,0.0611611403514741,0.06314781348117635,0.07675038870426548,,,,,
annual,rolling_validation_fold,train_2017_18_to_2018_19__validate_2019_20,2017/18,2018/19,2019/20,Ridge,"{""alpha"": 1.0}",1e-06,0.06838184969448641,0.05285212157397482,0.04169914471867042,0.031135554246529012,0.034190924847243204,0.05040088254127156,0.0768798696750172,0.43191670542160754,0.044754672386318556,0.06810437388896044,-0.8086248158221985,0.01765508107081222,0.024472952881494484,0.1886775486771476,0.023953063390570475,0.050591340347376335,-1.0817042706799316,0.0536970274521398,0.029701261985201066,0.08415756867462958,0.05098384276690319,,,,,
annual,rolling_validation_fold,train_2017_18_to_2019_20__validate_2020_21,2017/18,2019/20,2020/21,Ridge,"{""alpha"": 1.0}",1e-06,0.054201713751801585,0.042598856676613166,0.032437936868077534,0.024861209086216873,0.027100856875900792,0.04682625673654178,0.06187773071121813,0.5749746932654498,0.018988500871870335,0.025294161067841173,0.6369904707691856,0.028904914621125422,0.03770348399704264,-0.7070869299366911,0.013683755274065634,0.02311304768392683,0.5860897330638064,0.025218520508240767,0.03965735322791429,0.03416637936179433,0.05104171315932507,,,,,
annual,rolling_validation_fold,train_2017_18_to_2020_21__validate_2021_22,2017/18,2020/21,2021/22,Ridge,"{""alpha"": 1.0}",1e-06,0.08333505906355321,0.06117325582355313,0.054311349100609876,0.03764034834392923,0.041667529531776604,0.07860870390106058,0.09886749563250118,0.12959890118934136,0.02477941072251364,0.0332583732486822,0.4119863782780958,0.03527903785506727,0.043186108683941064,-1.0130042505357308,0.028002965648464953,0.04019633476289885,0.17178816150352605,0.04739783150719532,0.06122486669402443,0.06324761274842725,0.07681759347437864,,,,,
annual,rolling_validation_fold,train_2017_18_to_2018_19__validate_2019_20,2017/18,2018/19,2019/20,Ridge,"{""alpha"": 10.0}",1e-06,0.06688582989637311,0.051666466501062804,0.0414166994808135,0.030619318563092395,0.033442914948186554,0.049366192138428557,0.07459657121046563,0.4651592697882373,0.04190881253137866,0.06328941861152125,-0.5619268423713026,0.017749738629793413,0.024485742990646046,0.18782929678373717,0.024746916493145598,0.0503234030703625,-1.0597127925077747,0.05171358118319447,0.031119817778432535,0.08056230401900548,0.051601331475356206,,,,,
annual,rolling_validation_fold,train_2017_18_to_2019_20__validate_2020_21,2017/18,2019/20,2020/21,Ridge,"{""alpha"": 10.0}",1e-06,0.05479676094833441,0.042931282545397874,0.0329373157013202,0.02507595794156564,0.027398380474167205,0.04794018415681708,0.06296506272901965,0.5599061354933341,0.018870265250770357,0.025177960666628505,0.6403181132179167,0.02900178389784842,0.03780439884541451,-0.716237329032948,0.013781288591232994,0.02329753587813255,0.5794557038796208,0.025697008543865935,0.04017762285877445,0.03468940468512648,0.051627903987097185,,,,,
annual,rolling_validation_fold,train_2017_18_to_2020_21__validate_2021_22,2017/18,2020/21,2021/22,Ridge,"{""alpha"": 10.0}",1e-06,0.08432234412601876,0.06183350751991684,0.05506664734171959,0.03810900459421423,0.04216117206300938,0.07985042242441204,0.10012190913359598,0.10737178926456215,0.025060445457215898,0.033563799917903175,0.4011367981257661,0.03537754732293044,0.04329009695645428,-1.022710189018356,0.028356273047479147,0.040620233549823304,0.1542278949447311,0.04829092000384034,0.06184237467959884,0.06422893563417814,0.07747137637814148,,,,,
