scope,geography_level,geography_name,geography_code,group_a_code,group_a,group_b_code,group_b,contrast,group_a_indoor_exposure_share,group_b_indoor_exposure_share,difference_a_minus_b,ci_95_low,ci_95_high,bootstrap_p_two_sided,bootstrap_repetitions,exposed_raw_n,group_a_exposed_raw_n,group_b_exposed_raw_n,group_a_effective_n,group_b_effective_n,minimum_group_exposed_raw_n,minimum_group_effective_n,low_group_raw_n_below_20,low_group_effective_n_below_20,estimable,p_fdr_bh,significant_95_ci,significant_fdr_05
all_six_waves_equal_wave_weight,Borough,Redbridge,E09000026,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.5756494271765078,0.3255246525544689,0.2501247746220389,-0.39833948702652555,0.6117038704690473,0.48303393213572854,500,405,27,2,8.195721633194724,1.7829020959874877,2,1.7829020959874877,True,True,True,0.648864433295571,False,False
all_six_waves_equal_wave_weight,Borough,Richmond upon Thames,E09000027,2,Active,0,Inactive,Active minus Inactive,0.5637741149415739,1.0,-0.4362258850584261,-0.4649220724147594,-0.40610074693705145,0.003992015968063872,500,581,542,2,280.52406113313407,1.8976583657784694,2,1.8976583657784694,True,True,True,0.013829483889364128,True,True
all_six_waves_equal_wave_weight,Borough,Richmond upon Thames,E09000027,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5637741149415739,0.7075904844999302,-0.1438163695583563,-0.31370524528932353,0.04679831244954119,0.1437125748502994,500,581,542,37,280.52406113313407,25.451006275550725,37,25.451006275550725,False,False,True,0.28449224000977635,False,False
all_six_waves_equal_wave_weight,Borough,Richmond upon Thames,E09000027,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.7075904844999302,1.0,-0.29240951550006977,-0.4827534478950547,-0.12409426123783739,0.003992015968063872,500,581,37,2,25.451006275550725,1.8976583657784694,2,1.8976583657784694,True,True,True,0.013829483889364128,True,True
all_six_waves_equal_wave_weight,Borough,Southwark,E09000028,2,Active,0,Inactive,Active minus Inactive,0.6143999900617931,1.0,-0.38560000993820687,-0.4164628345437217,-0.352627605986188,0.003992015968063872,500,600,554,4,297.3871789869936,2.1605504919225784,4,2.1605504919225784,True,True,True,0.013829483889364128,True,True
all_six_waves_equal_wave_weight,Borough,Southwark,E09000028,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.6143999900617931,0.659529432843546,-0.045129442781752904,-0.1940820896574337,0.11919495417011007,0.5269461077844312,500,600,554,42,297.3871789869936,17.081427543352525,42,17.081427543352525,False,True,True,0.6725496375669714,False,False
all_six_waves_equal_wave_weight,Borough,Southwark,E09000028,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.659529432843546,1.0,-0.34047056715645396,-0.49702617946220795,-0.19686040922738424,0.003992015968063872,500,600,42,4,17.081427543352525,2.1605504919225784,4,2.1605504919225784,True,True,True,0.013829483889364128,True,True
all_six_waves_equal_wave_weight,Borough,Sutton,E09000029,2,Active,0,Inactive,Active minus Inactive,0.5604590785521066,0.590765598304688,-0.030306519752581362,-0.3113292087018213,0.2968163185859637,0.9580838323353293,500,456,414,7,235.89462536214722,3.538670666992097,7,3.538670666992097,True,True,True,0.9580838323353293,False,False
all_six_waves_equal_wave_weight,Borough,Sutton,E09000029,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5604590785521066,0.6596074015649717,-0.09914832301286503,-0.2619539194023446,0.06996691743878986,0.2834331337325349,500,456,414,35,235.89462536214722,22.1391510695423,35,22.1391510695423,False,False,True,0.5091298883714054,False,False
all_six_waves_equal_wave_weight,Borough,Sutton,E09000029,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.6596074015649717,0.590765598304688,0.06884180326028366,-0.2453149687903655,0.41628455790143465,0.5588822355289421,500,456,35,7,22.1391510695423,3.538670666992097,7,3.538670666992097,True,True,True,0.6950202159782999,False,False
all_six_waves_equal_wave_weight,Borough,Tower Hamlets,E09000030,2,Active,0,Inactive,Active minus Inactive,0.6242701278482091,1.0,-0.3757298721517909,-0.4103740415424312,-0.34162261487360457,0.003992015968063872,500,564,519,2,275.0114213151162,1.9716989499468514,2,1.9716989499468514,True,True,True,0.013829483889364128,True,True
all_six_waves_equal_wave_weight,Borough,Tower Hamlets,E09000030,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.6242701278482091,0.6256309554446461,-0.0013608275964369643,-0.13596435387364847,0.12438827899182492,0.9500998003992016,500,564,519,43,275.0114213151162,23.592871873001048,43,23.592871873001048,False,False,True,0.9580838323353293,False,False
all_six_waves_equal_wave_weight,Borough,Tower Hamlets,E09000030,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.6256309554446461,1.0,-0.3743690445553539,-0.4961005252137307,-0.23286000269848453,0.003992015968063872,500,564,43,2,23.592871873001048,1.9716989499468514,2,1.9716989499468514,True,True,True,0.013829483889364128,True,True
all_six_waves_equal_wave_weight,Borough,Waltham Forest,E09000031,2,Active,0,Inactive,Active minus Inactive,0.5790842854540608,0.8438622457512928,-0.264777960297232,-0.42996500381526576,-0.0326242290332622,0.031936127744510975,500,484,454,4,274.893391916395,3.1730117529916346,4,3.1730117529916346,True,True,True,0.08372444300588013,True,False
all_six_waves_equal_wave_weight,Borough,Waltham Forest,E09000031,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5790842854540608,0.7237130438710054,-0.14462875841694467,-0.29245535194525146,0.02169144683160295,0.09181636726546906,500,484,454,26,274.893391916395,18.377518870037505,26,18.377518870037505,False,True,True,0.2024133551079659,False,False
all_six_waves_equal_wave_weight,Borough,Waltham Forest,E09000031,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.7237130438710054,0.8438622457512928,-0.12014920188028733,-0.3725492228389621,0.1562225699424239,0.3592814371257485,500,484,26,4,18.377518870037505,3.1730117529916346,4,3.1730117529916346,True,True,True,0.5654722301428888,False,False
all_six_waves_equal_wave_weight,Borough,Wandsworth,E09000032,2,Active,0,Inactive,Active minus Inactive,0.5579622821750204,,,,,,500,645,607,0,306.10738264884526,,0,306.10738264884526,True,False,False,,False,False
all_six_waves_equal_wave_weight,Borough,Wandsworth,E09000032,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5579622821750204,0.4737114651722229,0.08425081700279752,-0.11514183072127564,0.2447643065560864,0.4431137724550898,500,645,607,38,306.10738264884526,23.026757191458934,38,23.026757191458934,False,False,True,0.6271963116021477,False,False
all_six_waves_equal_wave_weight,Borough,Wandsworth,E09000032,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.4737114651722229,,,,,,500,645,38,0,23.026757191458934,,0,23.026757191458934,True,False,False,,False,False
