survey_year,survey_wave,scenario,aggregation_weight,neither_recorded_rate,indoor_only_rate,outdoor_only_rate,both_rate,indoor_rate,outdoor_rate,indoor_exposure_share,outdoor_exposure_share
2023,2023/24,legacy_recovery,26649.761883384097,0.8370343357123389,0.07365054493181564,0.03853664621080997,0.05077847314503563,0.12442901807685126,0.0893151193558456,0.5821400276582142,0.41785997234178585
2023,2023/24,persistent_legacy,26649.761883384097,0.8343692760376878,0.07182352577199919,0.040123790211553094,0.053683407978759846,0.12550693375075903,0.09380719819031294,0.5722701617079641,0.4277298382920359
2024,2024/25,legacy_recovery,26649.761883384097,0.8396772599970802,0.07349570125878135,0.04081963674170492,0.04600740200243357,0.11950310326121492,0.0868270387441385,0.5791839335724119,0.42081606642758806
2024,2024/25,persistent_legacy,26649.761883384097,0.8345463390679413,0.07102705188356803,0.042699530232023754,0.05172707881646685,0.12275413070003488,0.0944266090484906,0.5652164682843075,0.4347835317156925
2025,2025/26,legacy_recovery,26649.761883384097,0.8408387628244649,0.07310065660332787,0.04061577800178013,0.045444802570427045,0.11854545917375492,0.08606058057220717,0.5793839679461096,0.4206160320538904
2025,2025/26,persistent_legacy,26649.761883384097,0.8345723826623963,0.0710880342722574,0.04271789664453588,0.051621686420810366,0.12270972069306776,0.09433958306534625,0.5653541318411663,0.43464586815883366
2026,2026/27,legacy_recovery,26649.761883384097,0.8412146034925178,0.07305262527004014,0.04058608323936725,0.04514668799807482,0.11819931326811496,0.08573277123744208,0.5796013587302595,0.42039864126974047
2026,2026/27,persistent_legacy,26649.761883384097,0.8344587519694304,0.07112384313102874,0.043100382050666325,0.05131702284887444,0.12244086597990317,0.09441740489954076,0.5646123870828548,0.43538761291714523
2027,2027/28,legacy_recovery,26649.761883384097,0.8412368241198607,0.07304251155363574,0.04056531393010791,0.04515535039639575,0.11819786195003149,0.08572066432650366,0.5796327783859258,0.42036722161407425
2027,2027/28,persistent_legacy,26649.761883384097,0.834099854776199,0.07104694931802706,0.042940774420557354,0.05191242148521667,0.12295937080324373,0.09485319590577403,0.5645191765611429,0.4354808234388571
2028,2028/29,legacy_recovery,26649.761883384097,0.8412739395399088,0.07301287437152384,0.04056908534455548,0.04514410074401186,0.1181569751155357,0.08571318608856734,0.5795697340781703,0.42043026592182975
2028,2028/29,persistent_legacy,26649.761883384097,0.8342964743501355,0.07123280278027606,0.04291059218475369,0.05156013068483461,0.12279293346511067,0.0944707228695883,0.5651793564402954,0.4348206435597046
