survey_year,survey_wave,aggregation_weight,neither_recorded_rate,indoor_only_rate,outdoor_only_rate,both_rate,indoor_rate,outdoor_rate,indoor_exposure_share,outdoor_exposure_share,period
2017,2017/18,27994.062522751366,0.8379107993807939,0.08385857799320673,0.031139871481650094,0.04709075114434931,0.13094932913755603,0.0782306226259994,0.6260128087493458,0.37398719125065416,pre_COVID_2017_18_to_2019_20
2018,2018/19,28359.645457771952,0.8253265923569288,0.08738476719063971,0.03378930047078412,0.05349933998164726,0.14088410717228697,0.08728864045243138,0.6174449343267002,0.3825550656732998,pre_COVID_2017_18_to_2019_20
2019,2019/20,27766.62387018367,0.8360615392883752,0.08257526658905713,0.03721987393336391,0.044143320189203666,0.1267185867782608,0.08136319412256757,0.6089845359342383,0.3910154640657617,pre_COVID_2017_18_to_2019_20
2020,2020/21,27719.577786819686,0.8549132687472779,0.06401071832345473,0.03925170320910451,0.04182430972016289,0.10583502804361762,0.0810760129292674,0.5662320828814548,0.43376791711854523,COVID_disruption_2020_21
2021,2021/22,27741.324664581065,0.8308388433912286,0.07011326069267654,0.04497683789467263,0.05407105802142215,0.12418431871409868,0.09904789591609478,0.5563010648791101,0.44369893512088987,post_disruption_2021_22_to_2022_23
2022,2022/23,26649.761883384097,0.8188034964657613,0.07955589075260443,0.044316132001680233,0.05732448077995403,0.13688037153255844,0.10164061278163426,0.5738714014036276,0.4261285985963724,post_disruption_2021_22_to_2022_23
