survey_year,survey_wave,scenario,activity_level_code,activity_level,aggregation_weight,neither_recorded_rate,indoor_only_rate,outdoor_only_rate,both_rate,indoor_rate,outdoor_rate,indoor_exposure_share,outdoor_exposure_share
2023,2023/24,legacy_recovery,0,Inactive,6337.924906421567,0.9994394000840485,0.00044899946732588085,7.304944622583066e-05,3.855100239982112e-05,0.00048755046972570197,0.00011160044862565178,0.8137356629065415,0.18626433709345847
2023,2023/24,legacy_recovery,1,Insufficiently Active,2609.1186951779496,0.9087251972563236,0.07047998016559717,0.01671625125266561,0.0040785713254135525,0.07455855149101072,0.020794822578079162,0.7819183350238668,0.21808166497613324
2023,2023/24,legacy_recovery,2,Active,17702.71828178458,0.7683239235498253,0.10032544708396976,0.05552338144320055,0.07582724792300446,0.17615269500697422,0.131350629366205,0.5728480996621657,0.42715190033783434
2023,2023/24,persistent_legacy,0,Inactive,6337.924906421567,0.9993633048282514,0.0005134252114152921,8.40224661896457e-05,3.924749414363299e-05,0.0005526727055589251,0.00012326996033327868,0.8176325203993896,0.1823674796006104
2023,2023/24,persistent_legacy,1,Insufficiently Active,2609.1186951779496,0.9089892685841717,0.06926945815304733,0.01751965870236072,0.004221614560420183,0.07349107271346751,0.0217412732627809,0.771702849069755,0.22829715093024505
2023,2023/24,persistent_legacy,2,Active,17702.71828178458,0.764300252607204,0.09773039050856405,0.05779033714357834,0.08017901974065367,0.17790941024921772,0.137969356884232,0.5632205414239068,0.43677945857609324
2024,2024/25,legacy_recovery,0,Inactive,6337.924906421567,0.9993995619481,0.0005128649344528241,5.3441093812943564e-05,3.413202363428563e-05,0.0005469969580871097,8.757311744722918e-05,0.8619961438088798,0.1380038561911202
2024,2024/25,legacy_recovery,1,Insufficiently Active,2609.1186951779496,0.9103223438408021,0.06767788467088094,0.01936104334960431,0.0026387281387126506,0.07031661280959359,0.021999771488316958,0.761691582099637,0.23830841790036295
2024,2024/25,legacy_recovery,2,Active,17702.71828178458,0.7720814622456859,0.10048246693518222,0.05857742393147489,0.06885864688765718,0.1693411138228394,0.12743607081913205,0.5706001761123604,0.42939982388763964
2024,2024/25,persistent_legacy,0,Inactive,6337.924906421567,0.9993461627417781,0.0005629644172408525,5.376311713576079e-05,3.7109723845194145e-05,0.0006000741410860467,9.087284098095494e-05,0.8684807324737068,0.13151926752629317
2024,2024/25,persistent_legacy,1,Insufficiently Active,2609.1186951779496,0.9104184403527469,0.06588700885844649,0.021034408774444267,0.0026601420143623536,0.06854715087280884,0.02369455078880662,0.7431253938080087,0.2568746061919913
2024,2024/25,persistent_legacy,2,Active,17702.71828178458,0.7643623026299133,0.0970121616271545,0.06116068053544645,0.07746485520748575,0.17447701683464023,0.1386255357429322,0.5572519783000263,0.44274802169997374
2025,2025/26,legacy_recovery,0,Inactive,6337.924906421567,0.9994207337529759,0.0004747577164043761,7.779313753352123e-05,2.671539308610011e-05,0.0005014731094904763,0.00010450853061962133,0.8275384538042544,0.1724615461957456
2025,2025/26,legacy_recovery,1,Insufficiently Active,2609.1186951779496,0.9091039747520953,0.06817237810324962,0.02030129999502616,0.002422347149628904,0.07059472525287852,0.022723647144655065,0.7564933189377437,0.24350668106225626
2025,2025/26,legacy_recovery,2,Active,17702.71828178458,0.7740019841391623,0.09982852683459875,0.05812323552011831,0.0680462535061206,0.16787478034071934,0.12616948902623892,0.5709166878243654,0.42908331217563456
2025,2025/26,persistent_legacy,0,Inactive,6337.924906421567,0.9993973306866123,0.0005066269256934844,6.760936781464029e-05,2.8433019879520366e-05,0.0005350599455730047,9.604238769416066e-05,0.8478180437125672,0.1521819562874328
2025,2025/26,persistent_legacy,1,Insufficiently Active,2609.1186951779496,0.9092619687399537,0.06661211491930581,0.02177024535141838,0.0023556709893220074,0.06896778590862782,0.024125916340740388,0.7408426589790704,0.2591573410209296
2025,2025/26,persistent_legacy,2,Active,17702.71828178458,0.7645536364494039,0.0970172648631481,0.06107492077119156,0.07735417791625651,0.1743714427794046,0.13842909868744807,0.5574524966027998,0.44254750339720017
