LA_2023,Age16plus,Age9,VolFrqB_Pop,MEMS7GR_ALL,wt_final_online,year,age_group_code,age_group,vol_binary_A,vol_binary_A_label,activity_level_3cat,activity_level_3cat_label
9,1.0,3.0,,0.0,0.9636201068080296,3,3,25-34,,,0,inactive
9,1.0,7.0,1.0,0.0,,3,7,65-74,1,twiceplus_volunteer,0,inactive
9,1.0,8.0,0.0,2.0,3.557104456662336,3,8,75-84,0,not_twiceplus_volunteer,2,active
9,1.0,2.0,,2.0,4.218662311167779,3,2,16-24,,,2,active
9,1.0,7.0,0.0,1.0,4.240567863131128,3,7,65-74,0,not_twiceplus_volunteer,1,fairly_active
17,1.0,8.0,0.0,0.0,,3,8,75-84,0,not_twiceplus_volunteer,0,inactive
17,1.0,7.0,0.0,1.0,,3,7,65-74,0,not_twiceplus_volunteer,1,fairly_active
17,1.0,5.0,0.0,1.0,1.1176946185351735,3,5,45-54,0,not_twiceplus_volunteer,1,fairly_active
30,1.0,,1.0,2.0,,3,,,1,twiceplus_volunteer,2,active
30,1.0,6.0,0.0,2.0,0.7925335261765538,3,6,55-64,0,not_twiceplus_volunteer,2,active
30,1.0,4.0,0.0,2.0,0.7013517347905032,3,4,35-44,0,not_twiceplus_volunteer,2,active
30,1.0,7.0,0.0,2.0,,3,7,65-74,0,not_twiceplus_volunteer,2,active
30,1.0,7.0,,2.0,1.688057558985162,3,7,65-74,,,2,active
30,1.0,5.0,0.0,2.0,0.5602232912130837,3,5,45-54,0,not_twiceplus_volunteer,2,active
35,1.0,3.0,0.0,2.0,1.8410434574443235,3,3,25-34,0,not_twiceplus_volunteer,2,active
35,1.0,7.0,0.0,0.0,,3,7,65-74,0,not_twiceplus_volunteer,0,inactive
35,1.0,7.0,0.0,0.0,,3,7,65-74,0,not_twiceplus_volunteer,0,inactive
35,1.0,5.0,,0.0,0.8356879521875572,3,5,45-54,,,0,inactive
35,1.0,3.0,0.0,1.0,2.7588719257946037,3,3,25-34,0,not_twiceplus_volunteer,1,fairly_active
35,1.0,3.0,0.0,2.0,,3,3,25-34,0,not_twiceplus_volunteer,2,active
44,1.0,3.0,,1.0,0.9104524127216128,3,3,25-34,,,1,fairly_active
68,1.0,6.0,,2.0,1.09488307543837,3,6,55-64,,,2,active
68,1.0,4.0,,2.0,1.6505287826420123,3,4,35-44,,,2,active
68,1.0,5.0,,2.0,5.573680022495623,3,5,45-54,,,2,active
68,1.0,6.0,,0.0,3.5464810584060587,3,6,55-64,,,0,inactive
68,1.0,7.0,0.0,2.0,7.2610123582930335,3,7,65-74,0,not_twiceplus_volunteer,2,active
68,1.0,4.0,,0.0,0.7771406367909149,3,4,35-44,,,0,inactive
78,1.0,4.0,,2.0,4.48663415100044,3,4,35-44,,,2,active
78,1.0,5.0,1.0,1.0,1.072905684132591,3,5,45-54,1,twiceplus_volunteer,1,fairly_active
78,1.0,5.0,1.0,2.0,,3,5,45-54,1,twiceplus_volunteer,2,active
78,1.0,6.0,1.0,1.0,,3,6,55-64,1,twiceplus_volunteer,1,fairly_active
91,1.0,4.0,,0.0,0.3774055519385975,3,4,35-44,,,0,inactive
91,1.0,3.0,0.0,0.0,,3,3,25-34,0,not_twiceplus_volunteer,0,inactive
91,1.0,4.0,0.0,0.0,0.8801888064425065,3,4,35-44,0,not_twiceplus_volunteer,0,inactive
91,1.0,7.0,0.0,2.0,,3,7,65-74,0,not_twiceplus_volunteer,2,active
91,1.0,6.0,0.0,2.0,,3,6,55-64,0,not_twiceplus_volunteer,2,active
91,1.0,6.0,0.0,2.0,1.8683406855474152,3,6,55-64,0,not_twiceplus_volunteer,2,active
91,1.0,2.0,,1.0,,3,2,16-24,,,1,fairly_active
91,1.0,6.0,,2.0,2.974784018322119,3,6,55-64,,,2,active
91,1.0,4.0,,2.0,1.4075288399904071,3,4,35-44,,,2,active
91,1.0,2.0,0.0,0.0,2.0443472892943695,3,2,16-24,0,not_twiceplus_volunteer,0,inactive
91,1.0,2.0,,1.0,3.326562934201759,3,2,16-24,,,1,fairly_active
107,1.0,,0.0,2.0,0.7893263927605229,3,,,0,not_twiceplus_volunteer,2,active
107,1.0,7.0,0.0,2.0,0.3516203652754403,3,7,65-74,0,not_twiceplus_volunteer,2,active
107,1.0,5.0,1.0,2.0,,3,5,45-54,1,twiceplus_volunteer,2,active
107,1.0,3.0,0.0,2.0,0.5989300997161949,3,3,25-34,0,not_twiceplus_volunteer,2,active
107,1.0,3.0,,2.0,0.7035469711568298,3,3,25-34,,,2,active
107,1.0,4.0,0.0,2.0,0.5251077558770245,3,4,35-44,0,not_twiceplus_volunteer,2,active
107,1.0,6.0,0.0,2.0,,3,6,55-64,0,not_twiceplus_volunteer,2,active
107,1.0,5.0,0.0,0.0,,3,5,45-54,0,not_twiceplus_volunteer,0,inactive
109,1.0,3.0,0.0,2.0,0.8701141576416593,3,3,25-34,0,not_twiceplus_volunteer,2,active
112,1.0,3.0,0.0,2.0,,3,3,25-34,0,not_twiceplus_volunteer,2,active
112,1.0,3.0,0.0,2.0,,3,3,25-34,0,not_twiceplus_volunteer,2,active
112,1.0,5.0,0.0,2.0,0.7486868901464219,3,5,45-54,0,not_twiceplus_volunteer,2,active
112,1.0,3.0,,2.0,0.9190488307410252,3,3,25-34,,,2,active
112,1.0,2.0,0.0,2.0,,3,2,16-24,0,not_twiceplus_volunteer,2,active
114,1.0,4.0,,2.0,1.2352305730819804,3,4,35-44,,,2,active
114,1.0,5.0,1.0,2.0,,3,5,45-54,1,twiceplus_volunteer,2,active
114,1.0,8.0,0.0,2.0,3.660413994890147,3,8,75-84,0,not_twiceplus_volunteer,2,active
114,1.0,9.0,0.0,0.0,3.660413994890147,3,9,85+,0,not_twiceplus_volunteer,0,inactive
114,1.0,4.0,0.0,2.0,0.3041031774899094,3,4,35-44,0,not_twiceplus_volunteer,2,active
114,1.0,5.0,,2.0,2.9421983909942915,3,5,45-54,,,2,active
114,1.0,3.0,1.0,2.0,,3,3,25-34,1,twiceplus_volunteer,2,active
117,1.0,6.0,0.0,0.0,1.5232459171964918,3,6,55-64,0,not_twiceplus_volunteer,0,inactive
117,1.0,3.0,,2.0,1.7838171698262957,3,3,25-34,,,2,active
117,1.0,7.0,0.0,0.0,1.2554682623527205,3,7,65-74,0,not_twiceplus_volunteer,0,inactive
117,1.0,6.0,0.0,0.0,,3,6,55-64,0,not_twiceplus_volunteer,0,inactive
122,1.0,4.0,,2.0,0.3344587847599796,3,4,35-44,,,2,active
126,1.0,2.0,,2.0,1.0726377517137546,3,2,16-24,,,2,active
126,1.0,7.0,0.0,2.0,,3,7,65-74,0,not_twiceplus_volunteer,2,active
126,1.0,4.0,0.0,2.0,0.8281595149143216,3,4,35-44,0,not_twiceplus_volunteer,2,active
126,1.0,4.0,,0.0,3.399202566256941,3,4,35-44,,,0,inactive
126,1.0,8.0,0.0,2.0,,3,8,75-84,0,not_twiceplus_volunteer,2,active
126,1.0,2.0,0.0,2.0,2.227921492137221,3,2,16-24,0,not_twiceplus_volunteer,2,active
126,1.0,4.0,,1.0,1.3624207508667767,3,4,35-44,,,1,fairly_active
126,1.0,3.0,,1.0,1.2672834111589553,3,3,25-34,,,1,fairly_active
129,1.0,4.0,0.0,2.0,0.4476870278017951,3,4,35-44,0,not_twiceplus_volunteer,2,active
135,1.0,5.0,,0.0,0.849912392731599,3,5,45-54,,,0,inactive
135,1.0,5.0,0.0,2.0,1.0920433369511502,3,5,45-54,0,not_twiceplus_volunteer,2,active
135,1.0,5.0,,2.0,0.9596897799875788,3,5,45-54,,,2,active
135,1.0,5.0,0.0,2.0,0.8673807140498466,3,5,45-54,0,not_twiceplus_volunteer,2,active
135,1.0,5.0,,2.0,1.9830073751144432,3,5,45-54,,,2,active
135,1.0,4.0,0.0,2.0,0.893846967354615,3,4,35-44,0,not_twiceplus_volunteer,2,active
136,1.0,5.0,,2.0,0.7169526119721951,3,5,45-54,,,2,active
136,1.0,4.0,,2.0,0.9927529328616302,3,4,35-44,,,2,active
136,1.0,3.0,0.0,2.0,2.748845749568152,3,3,25-34,0,not_twiceplus_volunteer,2,active
136,1.0,3.0,0.0,0.0,0.4768669223959602,3,3,25-34,0,not_twiceplus_volunteer,0,inactive
139,1.0,8.0,0.0,2.0,3.0073501204713446,3,8,75-84,0,not_twiceplus_volunteer,2,active
139,1.0,7.0,0.0,2.0,1.3396807730832905,3,7,65-74,0,not_twiceplus_volunteer,2,active
139,1.0,4.0,0.0,1.0,0.9347407214088164,3,4,35-44,0,not_twiceplus_volunteer,1,fairly_active
139,1.0,4.0,,1.0,0.1878009478658809,3,4,35-44,,,1,fairly_active
142,1.0,2.0,,2.0,6.718765428129748,3,2,16-24,,,2,active
142,1.0,2.0,,0.0,0.6007137828456814,3,2,16-24,,,0,inactive
142,1.0,4.0,0.0,2.0,,3,4,35-44,0,not_twiceplus_volunteer,2,active
142,1.0,5.0,1.0,2.0,,3,5,45-54,1,twiceplus_volunteer,2,active
142,1.0,2.0,,2.0,1.5898766829954694,3,2,16-24,,,2,active
142,1.0,3.0,,0.0,6.064236369252996,3,3,25-34,,,0,inactive
142,1.0,3.0,0.0,2.0,,3,3,25-34,0,not_twiceplus_volunteer,2,active
147,1.0,5.0,,2.0,0.5896208941557013,3,5,45-54,,,2,active
147,1.0,3.0,,2.0,3.0303810813631853,3,3,25-34,,,2,active
160,1.0,8.0,1.0,2.0,1.6619323027869992,3,8,75-84,1,twiceplus_volunteer,2,active
160,1.0,3.0,,2.0,1.369324493296599,3,3,25-34,,,2,active
160,1.0,4.0,,2.0,0.6055357386044344,3,4,35-44,,,2,active
160,1.0,6.0,,2.0,0.1562759669940772,3,6,55-64,,,2,active
160,1.0,7.0,0.0,0.0,2.116515505499042,3,7,65-74,0,not_twiceplus_volunteer,0,inactive
160,1.0,2.0,,2.0,3.2072482832157316,3,2,16-24,,,2,active
171,1.0,4.0,,0.0,0.3244253334077756,3,4,35-44,,,0,inactive
171,1.0,3.0,,0.0,1.2686825725501376,3,3,25-34,,,0,inactive
171,1.0,,1.0,1.0,,3,,,1,twiceplus_volunteer,1,fairly_active
171,1.0,5.0,,1.0,2.8501114476091303,3,5,45-54,,,1,fairly_active
171,1.0,5.0,,0.0,,3,5,45-54,,,0,inactive
171,1.0,4.0,0.0,0.0,,3,4,35-44,0,not_twiceplus_volunteer,0,inactive
171,1.0,4.0,0.0,0.0,,3,4,35-44,0,not_twiceplus_volunteer,0,inactive
171,1.0,3.0,0.0,0.0,,3,3,25-34,0,not_twiceplus_volunteer,0,inactive
196,1.0,3.0,,2.0,3.9693987481504647,3,3,25-34,,,2,active
196,1.0,6.0,,1.0,0.8379006360958988,3,6,55-64,,,1,fairly_active
196,1.0,6.0,,2.0,2.0388380399311976,3,6,55-64,,,2,active
196,1.0,5.0,,2.0,2.288164198472737,3,5,45-54,,,2,active
196,1.0,3.0,0.0,0.0,3.8444047129643866,3,3,25-34,0,not_twiceplus_volunteer,0,inactive
196,1.0,6.0,,2.0,4.2933252455018485,3,6,55-64,,,2,active
196,1.0,5.0,,2.0,2.4865143625310737,3,5,45-54,,,2,active
196,1.0,4.0,,1.0,0.7232537734491598,3,4,35-44,,,1,fairly_active
196,1.0,4.0,0.0,2.0,2.1387297782731793,3,4,35-44,0,not_twiceplus_volunteer,2,active
196,1.0,3.0,,2.0,0.3198023663765458,3,3,25-34,,,2,active
201,1.0,5.0,,2.0,1.4051011551284782,3,5,45-54,,,2,active
201,1.0,2.0,,1.0,1.2338268497470786,3,2,16-24,,,1,fairly_active
201,1.0,2.0,0.0,1.0,1.2338268497470786,3,2,16-24,0,not_twiceplus_volunteer,1,fairly_active
241,1.0,3.0,,2.0,0.6709463485041204,3,3,25-34,,,2,active
255,1.0,5.0,0.0,1.0,1.109730055410611,3,5,45-54,0,not_twiceplus_volunteer,1,fairly_active
255,1.0,4.0,0.0,0.0,1.9456839250607176,3,4,35-44,0,not_twiceplus_volunteer,0,inactive
272,1.0,4.0,,1.0,0.2633302302439657,3,4,35-44,,,1,fairly_active
272,1.0,2.0,0.0,2.0,2.4522890966287942,3,2,16-24,0,not_twiceplus_volunteer,2,active
272,1.0,2.0,0.0,2.0,0.6701305461129291,3,2,16-24,0,not_twiceplus_volunteer,2,active
279,1.0,4.0,,0.0,1.3639194281196227,3,4,35-44,,,0,inactive
279,1.0,3.0,0.0,2.0,1.2686775781476805,3,3,25-34,0,not_twiceplus_volunteer,2,active
279,1.0,3.0,,0.0,4.949546564625013,3,3,25-34,,,0,inactive
279,1.0,4.0,0.0,2.0,,3,4,35-44,0,not_twiceplus_volunteer,2,active
279,1.0,5.0,0.0,2.0,,3,5,45-54,0,not_twiceplus_volunteer,2,active
280,1.0,4.0,,0.0,2.2889013089021466,3,4,35-44,,,0,inactive
280,1.0,5.0,0.0,1.0,0.3278474045148032,3,5,45-54,0,not_twiceplus_volunteer,1,fairly_active
280,1.0,5.0,,2.0,0.3720959873195539,3,5,45-54,,,2,active
280,1.0,4.0,,0.0,2.261167600385631,3,4,35-44,,,0,inactive
280,1.0,4.0,0.0,2.0,0.5447854210709532,3,4,35-44,0,not_twiceplus_volunteer,2,active
280,1.0,5.0,,2.0,0.3971958141751693,3,5,45-54,,,2,active
280,1.0,3.0,0.0,2.0,5.19156296975555,3,3,25-34,0,not_twiceplus_volunteer,2,active
293,1.0,6.0,,2.0,0.5727510997641414,3,6,55-64,,,2,active
293,1.0,6.0,,2.0,0.210742614002882,3,6,55-64,,,2,active
8,1.0,5.0,0.0,0.0,2.41134016263316,3,5,45-54,0,not_twiceplus_volunteer,0,inactive
8,1.0,4.0,0.0,2.0,,3,4,35-44,0,not_twiceplus_volunteer,2,active
8,1.0,4.0,0.0,2.0,,3,4,35-44,0,not_twiceplus_volunteer,2,active
8,1.0,2.0,0.0,1.0,1.3302905110588468,3,2,16-24,0,not_twiceplus_volunteer,1,fairly_active
8,1.0,6.0,,1.0,1.4982791994908549,3,6,55-64,,,1,fairly_active
8,1.0,3.0,0.0,2.0,0.4546976028182138,3,3,25-34,0,not_twiceplus_volunteer,2,active
8,1.0,5.0,0.0,0.0,,3,5,45-54,0,not_twiceplus_volunteer,0,inactive
8,1.0,3.0,,2.0,0.6045377718460069,3,3,25-34,,,2,active
8,1.0,4.0,1.0,2.0,1.328972862226996,3,4,35-44,1,twiceplus_volunteer,2,active
8,1.0,3.0,0.0,0.0,,3,3,25-34,0,not_twiceplus_volunteer,0,inactive
8,1.0,5.0,0.0,2.0,,3,5,45-54,0,not_twiceplus_volunteer,2,active
8,1.0,2.0,0.0,1.0,0.997232430898808,3,2,16-24,0,not_twiceplus_volunteer,1,fairly_active
8,1.0,5.0,,0.0,0.8767191509695996,3,5,45-54,,,0,inactive
8,1.0,8.0,0.0,2.0,,3,8,75-84,0,not_twiceplus_volunteer,2,active
8,1.0,5.0,0.0,0.0,,3,5,45-54,0,not_twiceplus_volunteer,0,inactive
8,1.0,5.0,0.0,0.0,0.6303994048716827,3,5,45-54,0,not_twiceplus_volunteer,0,inactive
8,1.0,6.0,,2.0,0.1717607320552002,3,6,55-64,,,2,active
8,1.0,4.0,0.0,2.0,,3,4,35-44,0,not_twiceplus_volunteer,2,active
8,1.0,2.0,0.0,2.0,,3,2,16-24,0,not_twiceplus_volunteer,2,active
8,1.0,6.0,0.0,2.0,1.4517101619082302,3,6,55-64,0,not_twiceplus_volunteer,2,active
8,1.0,7.0,1.0,2.0,0.9575312518682318,3,7,65-74,1,twiceplus_volunteer,2,active
8,1.0,4.0,0.0,2.0,,3,4,35-44,0,not_twiceplus_volunteer,2,active
8,1.0,4.0,0.0,2.0,,3,4,35-44,0,not_twiceplus_volunteer,2,active
8,1.0,5.0,0.0,0.0,0.3506395818100651,3,5,45-54,0,not_twiceplus_volunteer,0,inactive
8,1.0,2.0,,2.0,2.4009980473730548,3,2,16-24,,,2,active
8,1.0,4.0,,2.0,1.2681243707354024,3,4,35-44,,,2,active
8,1.0,7.0,0.0,0.0,,3,7,65-74,0,not_twiceplus_volunteer,0,inactive
8,1.0,4.0,0.0,1.0,0.8521958990163822,3,4,35-44,0,not_twiceplus_volunteer,1,fairly_active
8,1.0,5.0,,1.0,0.1967844486571274,3,5,45-54,,,1,fairly_active
8,1.0,5.0,0.0,1.0,0.1967844486571274,3,5,45-54,0,not_twiceplus_volunteer,1,fairly_active
8,1.0,5.0,0.0,2.0,0.423844569117538,3,5,45-54,0,not_twiceplus_volunteer,2,active
8,1.0,3.0,0.0,2.0,0.6928054811849127,3,3,25-34,0,not_twiceplus_volunteer,2,active
8,1.0,4.0,0.0,2.0,0.962421850664437,3,4,35-44,0,not_twiceplus_volunteer,2,active
9,1.0,4.0,0.0,0.0,,3,4,35-44,0,not_twiceplus_volunteer,0,inactive
9,1.0,4.0,,0.0,,3,4,35-44,,,0,inactive
9,1.0,3.0,0.0,2.0,,3,3,25-34,0,not_twiceplus_volunteer,2,active
9,1.0,4.0,1.0,0.0,,3,4,35-44,1,twiceplus_volunteer,0,inactive
9,1.0,5.0,,2.0,1.239869936901312,3,5,45-54,,,2,active
9,1.0,5.0,,2.0,1.4153129442424988,3,5,45-54,,,2,active
9,1.0,7.0,0.0,2.0,1.952842796532104,3,7,65-74,0,not_twiceplus_volunteer,2,active
9,1.0,7.0,0.0,0.0,1.2068251081438175,3,7,65-74,0,not_twiceplus_volunteer,0,inactive
9,1.0,7.0,0.0,1.0,,3,7,65-74,0,not_twiceplus_volunteer,1,fairly_active
9,1.0,4.0,0.0,2.0,0.968179990927835,3,4,35-44,0,not_twiceplus_volunteer,2,active
9,1.0,4.0,0.0,2.0,0.4332716945406155,3,4,35-44,0,not_twiceplus_volunteer,2,active
9,1.0,4.0,,0.0,0.5788409081744166,3,4,35-44,,,0,inactive
9,1.0,8.0,0.0,0.0,,3,8,75-84,0,not_twiceplus_volunteer,0,inactive
9,1.0,8.0,0.0,0.0,,3,8,75-84,0,not_twiceplus_volunteer,0,inactive
9,1.0,5.0,0.0,2.0,1.4073363646263728,3,5,45-54,0,not_twiceplus_volunteer,2,active
9,1.0,8.0,,1.0,4.178434105753537,3,8,75-84,,,1,fairly_active
9,1.0,6.0,0.0,2.0,1.8329790842549716,3,6,55-64,0,not_twiceplus_volunteer,2,active
9,1.0,4.0,,1.0,1.93635998185567,3,4,35-44,,,1,fairly_active
9,1.0,7.0,,2.0,1.2892141049609886,3,7,65-74,,,2,active
9,1.0,7.0,0.0,2.0,1.2068251081438175,3,7,65-74,0,not_twiceplus_volunteer,2,active
9,1.0,3.0,1.0,2.0,4.626445520630542,3,3,25-34,1,twiceplus_volunteer,2,active
9,1.0,3.0,,2.0,0.7433369960186504,3,3,25-34,,,2,active
9,1.0,8.0,0.0,2.0,,3,8,75-84,0,not_twiceplus_volunteer,2,active
9,1.0,8.0,0.0,0.0,,3,8,75-84,0,not_twiceplus_volunteer,0,inactive
9,1.0,6.0,1.0,2.0,0.5223058696479737,3,6,55-64,1,twiceplus_volunteer,2,active
9,1.0,6.0,0.0,0.0,,3,6,55-64,0,not_twiceplus_volunteer,0,inactive
9,1.0,5.0,1.0,2.0,1.2686555349973463,3,5,45-54,1,twiceplus_volunteer,2,active
9,1.0,5.0,0.0,0.0,,3,5,45-54,0,not_twiceplus_volunteer,0,inactive
9,1.0,5.0,0.0,1.0,0.9732446619225414,3,5,45-54,0,not_twiceplus_volunteer,1,fairly_active
9,1.0,6.0,0.0,0.0,2.281908871033268,3,6,55-64,0,not_twiceplus_volunteer,0,inactive
9,1.0,4.0,,0.0,0.9712330628687886,3,4,35-44,,,0,inactive
9,1.0,4.0,,0.0,1.613483141055155,3,4,35-44,,,0,inactive
9,1.0,3.0,0.0,2.0,,3,3,25-34,0,not_twiceplus_volunteer,2,active
9,1.0,4.0,0.0,2.0,,3,4,35-44,0,not_twiceplus_volunteer,2,active
9,1.0,5.0,0.0,0.0,0.7445341381961839,3,5,45-54,0,not_twiceplus_volunteer,0,inactive
9,1.0,5.0,0.0,1.0,4.726129337699325,3,5,45-54,0,not_twiceplus_volunteer,1,fairly_active
17,1.0,8.0,0.0,2.0,1.9380606216214835,3,8,75-84,0,not_twiceplus_volunteer,2,active
17,1.0,7.0,,2.0,1.3150588058319552,3,7,65-74,,,2,active
17,1.0,7.0,,1.0,1.5194548215784762,3,7,65-74,,,1,fairly_active
17,1.0,6.0,,2.0,1.3906245353927833,3,6,55-64,,,2,active
17,1.0,3.0,,0.0,1.2403214430864726,3,3,25-34,,,0,inactive
17,1.0,3.0,,0.0,0.8168221871795569,3,3,25-34,,,0,inactive
17,1.0,7.0,,0.0,,3,7,65-74,,,0,inactive
17,1.0,4.0,0.0,0.0,,3,4,35-44,0,not_twiceplus_volunteer,0,inactive
17,1.0,5.0,0.0,2.0,,3,5,45-54,0,not_twiceplus_volunteer,2,active
17,1.0,3.0,0.0,2.0,,3,3,25-34,0,not_twiceplus_volunteer,2,active
17,1.0,7.0,0.0,2.0,1.4970126447718215,3,7,65-74,0,not_twiceplus_volunteer,2,active
17,1.0,7.0,,2.0,1.726691788329212,3,7,65-74,,,2,active
17,1.0,7.0,,0.0,,3,7,65-74,,,0,inactive
17,1.0,2.0,1.0,2.0,,3,2,16-24,1,twiceplus_volunteer,2,active
17,1.0,5.0,0.0,2.0,,3,5,45-54,0,not_twiceplus_volunteer,2,active
17,1.0,3.0,,2.0,0.774981266370275,3,3,25-34,,,2,active
17,1.0,3.0,0.0,1.0,0.5909985818143259,3,3,25-34,0,not_twiceplus_volunteer,1,fairly_active
17,1.0,9.0,0.0,0.0,,3,9,85+,0,not_twiceplus_volunteer,0,inactive
17,1.0,5.0,0.0,2.0,0.4617806681186783,3,5,45-54,0,not_twiceplus_volunteer,2,active
17,1.0,4.0,0.0,0.0,1.467707539214735,3,4,35-44,0,not_twiceplus_volunteer,0,inactive
17,1.0,2.0,0.0,0.0,0.8636416648622135,3,2,16-24,0,not_twiceplus_volunteer,0,inactive
17,1.0,4.0,1.0,2.0,1.317213757104078,3,4,35-44,1,twiceplus_volunteer,2,active
17,1.0,6.0,0.0,0.0,,3,6,55-64,0,not_twiceplus_volunteer,0,inactive
17,1.0,7.0,,2.0,0.9389984346288356,3,7,65-74,,,2,active
17,1.0,,,2.0,,3,,,,,2,active
17,1.0,2.0,0.0,2.0,,3,2,16-24,0,not_twiceplus_volunteer,2,active
17,1.0,5.0,,2.0,3.8787869244396913,3,5,45-54,,,2,active
17,1.0,4.0,1.0,2.0,,3,4,35-44,1,twiceplus_volunteer,2,active
