LA_2023,age_group,year,overall_inactive_rate,overall_fairly_active_rate,overall_active_rate,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
107,16-24,9,0.25707689993251964,0.09446502539151144,0.6484580746759689,8,1,35.0,27,0.125,False,False,False
107,25-34,9,0.18841977768636425,0.09754989599870212,0.7140303263149336,8,0,118.5,99,0.0,False,False,False
107,35-44,9,0.23815183508184185,0.1051333743098393,0.6567147906083188,8,0,119.0,98,0.0,False,False,False
107,45-54,9,0.23207710694800412,0.10718251730019586,0.6607403757517999,8,0,99.5,81,0.0,False,False,False
107,55-64,9,0.25242637434143156,0.10029430366212554,0.6472793219964429,8,0,77.0,59,0.0,False,False,False
107,65-74,9,0.2218049651422771,0.10069609846216601,0.6774989363955569,8,0,58.5,42,0.0,False,False,False
107,75-84,9,0.3865466227316323,0.0998787033212439,0.5135746739471237,8,5,23.5,16,0.625,True,False,True
107,85+,9,0.5596974792001749,0.07667946810402203,0.36362305269580314,8,8,7.5,2,1.0,True,False,True
109,16-24,9,0.2286772640765586,0.09721547274245958,0.6741072631809818,8,0,44.5,31,0.0,False,False,False
109,25-34,9,0.13680827646177016,0.08271881144472606,0.7804729120935038,8,0,143.5,103,0.0,False,False,False
109,35-44,9,0.22510069229423837,0.09756367371881443,0.6773356339869471,8,0,106.0,86,0.0,False,False,False
109,45-54,9,0.19025250204810515,0.08476322490029979,0.7249842730515951,8,0,83.5,70,0.0,False,False,False
109,55-64,9,0.25729391031111887,0.09153681846349433,0.6511692712253868,8,0,59.0,51,0.0,False,False,False
109,65-74,9,0.23964262029529987,0.09336968448454402,0.6669876952201562,8,0,42.5,33,0.0,False,False,False
109,75-84,9,0.3701618877098832,0.1013645242950872,0.5284735879950296,8,8,17.5,11,1.0,True,False,True
109,85+,9,0.5808544694927492,0.08934747135210229,0.3297980591551486,8,8,3.0,1,1.0,True,False,True
112,16-24,9,0.16200253833244055,0.07383633369984628,0.7641611279677131,8,0,47.0,31,0.0,False,False,False
112,25-34,9,0.13740589960411237,0.07808401556131626,0.7845100848345714,8,0,105.0,98,0.0,False,False,False
112,35-44,9,0.23133175302046094,0.08562832202815415,0.6830399249513849,8,0,96.0,72,0.0,False,False,False
112,45-54,9,0.18202684535516786,0.08321149971948733,0.7347616549253448,8,0,88.5,75,0.0,False,False,False
112,55-64,9,0.22093833753382702,0.08596448357028597,0.6930971788958871,8,0,72.0,63,0.0,False,False,False
112,65-74,9,0.22988180348666148,0.07910917336150886,0.6910090231518298,8,0,56.5,49,0.0,False,False,False
112,75-84,9,0.3433058482795526,0.106969583740645,0.5497245679798025,8,4,29.5,24,0.5,True,False,True
112,85+,9,0.5022797727194828,0.09091066937090823,0.40680955790960893,8,8,6.5,3,1.0,True,False,True
114,16-24,9,0.23094058497633063,0.09648209652879285,0.6725773184948766,8,0,46.0,34,0.0,False,False,False
114,25-34,9,0.1455329150364743,0.09214131885861453,0.7623257661049112,8,0,91.5,80,0.0,False,False,False
114,35-44,9,0.18732384593958604,0.09288816395406593,0.719787990106348,8,0,108.0,90,0.0,False,False,False
114,45-54,9,0.20536784419531218,0.09226129058419938,0.7023708652204885,8,0,92.5,82,0.0,False,False,False
114,55-64,9,0.22249466954371894,0.10462008080043682,0.6728852496558443,8,0,79.0,70,0.0,False,False,False
114,65-74,9,0.2270563434261231,0.10673679382244833,0.6662068627514287,8,0,61.0,51,0.0,False,False,False
114,75-84,9,0.3639196248784215,0.09466622607649827,0.5414141490450802,8,5,25.5,15,0.625,True,False,True
114,85+,9,0.5915158936953776,0.11212888888743577,0.2963552174171866,8,8,4.5,3,1.0,True,False,True
117,16-24,9,0.1994632845026453,0.09767100451402204,0.7028657109833327,8,0,46.5,30,0.0,False,False,False
117,25-34,9,0.24214732732975527,0.10751016962536099,0.6503425030448838,8,0,64.5,46,0.0,False,False,False
117,35-44,9,0.22887964980238062,0.11109334733664201,0.6600270028609774,8,0,99.0,88,0.0,False,False,False
117,45-54,9,0.23486043945643914,0.10690874906604475,0.6582308114775162,8,0,84.5,74,0.0,False,False,False
117,55-64,9,0.21846626888883433,0.11259357663610335,0.6689401544750623,8,0,81.0,69,0.0,False,False,False
117,65-74,9,0.2337008234191164,0.10722110348904444,0.6590780730918392,8,0,71.0,55,0.0,False,False,False
117,75-84,9,0.3601336555523754,0.12089856680082721,0.5189677776467974,8,2,36.0,29,0.25,False,False,False
117,85+,9,0.6255699316647869,0.07729230024331546,0.2971377680918976,8,8,11.5,9,1.0,True,False,True
122,16-24,9,0.18955489810086518,0.09544180505777577,0.715003296841359,8,7,26.0,19,0.875,True,False,True
122,25-34,9,0.18175010007430858,0.10521615334248513,0.7130337465832063,8,0,61.5,58,0.0,False,False,False
122,35-44,9,0.2257181004470606,0.10528081427022878,0.6690010852827106,8,0,89.5,68,0.0,False,False,False
122,45-54,9,0.19712016484294334,0.1059995559015936,0.696880279255463,8,0,85.5,68,0.0,False,False,False
122,55-64,9,0.22662604671878883,0.10679621405384888,0.6665777392273623,8,0,84.5,78,0.0,False,False,False
122,65-74,9,0.2411349963215067,0.10015712172153009,0.6587078819569632,8,0,98.5,73,0.0,False,False,False
122,75-84,9,0.36186863887293375,0.09976852552306667,0.5383628356039997,8,0,37.5,30,0.0,False,False,False
122,85+,9,0.5628053240699112,0.11132359853958582,0.32587107739050286,8,8,13.0,3,1.0,True,False,True
126,16-24,9,0.2550213699107918,0.09182986754466398,0.6531487625445443,8,0,40.0,31,0.0,False,False,False
126,25-34,9,0.19614970744716842,0.09823164872233979,0.7056186438304918,8,0,61.5,54,0.0,False,False,False
