year,disability_group,mean_inactive_rate,mean_fairly_active_rate,mean_active_rate,number_of_boroughs
9,disty1,0.4211365264558958,0.09480354836512073,0.4840599251789835,32
9,disty10,0.4011823303266824,0.02694716969678654,0.571870499976531,31
9,disty11,0.38516601894404134,0.053304846175631304,0.5615291348803274,31
9,disty12,0.3455691218457368,0.07848914024841454,0.5759417379058487,32
9,disty13,0.3370227110920548,0.03360482773710854,0.6293724611708367,32
9,disty2,0.3974305964241748,0.09148022644939133,0.5110891771264339,32
9,disty3,0.4694078616677232,0.09374370360310307,0.4368484347291738,32
9,disty4,0.41534766226246334,0.08667855531638105,0.4979737824211556,32
9,disty5,0.35857948887096946,0.09451990732051246,0.5469006038085181,32
9,disty6,0.42487398329092374,0.07668451792912798,0.4984414987799483,32
9,disty7,0.3772242929804153,0.09555163275930842,0.5272240742602763,32
9,disty8,0.4130182593142856,0.08650092694264826,0.5004808137430661,32
9,disty9,0.4505798761949037,0.08150350052872493,0.46791662327637135,32
9,limiting_disability,0.37773782770843567,0.10013131194372374,0.5221308603478406,32
9,no_disability,0.19960124046060154,0.09385460615377256,0.7065441533856259,32
9,non_limiting_disability,0.1813800607167132,0.09297063754505008,0.7256493017382367,32
10,disty1,0.4177473730085751,0.10049295640746642,0.48175967058395847,32
10,disty10,0.38406879356896106,0.039589240761929705,0.5763419656691091,31
10,disty11,0.3760799311204947,0.0706112006705499,0.5533088682089554,31
10,disty12,0.34539686998617153,0.08933513792714909,0.5652679920866793,32
10,disty13,0.34548275541235274,0.03730834269739272,0.6172089018902546,32
10,disty2,0.397669113489695,0.09692727626887786,0.5054036102414271,32
10,disty3,0.46700728121978785,0.11620593986195878,0.41678677891825333,32
10,disty4,0.4174306336098226,0.08977566013027106,0.49279370625990637,32
10,disty5,0.3640533119110115,0.09235831884258593,0.5435883692464026,32
10,disty6,0.43762019171096306,0.07356767012150796,0.488812138167529,32
10,disty7,0.38280555880908534,0.09212049168387006,0.5250739495070446,32
10,disty8,0.43297048342394756,0.08635138803836498,0.48067812853768754,32
10,disty9,0.4406645536878927,0.08546612880374997,0.4738693175083573,32
10,limiting_disability,0.3822776166096033,0.0986092446863182,0.5191131387040785,32
10,no_disability,0.18918843930649257,0.09691182249426367,0.7138997381992438,32
10,non_limiting_disability,0.17994767196402636,0.09332428855098385,0.7267280394849898,32
11,disty1,0.41371536580946194,0.10037411649173848,0.48591051769879956,32
11,disty10,0.3970570532115089,0.03894604049351212,0.5639969062949789,31
11,disty11,0.3780717763092868,0.0979927772822306,0.5239354464084827,31
11,disty12,0.34596695255328613,0.09373784209163803,0.5602952053550758,32
11,disty13,0.35102179118038684,0.04205955178369005,0.6069186570359231,32
11,disty2,0.3993509766481675,0.0973194819628425,0.50332954138899,32
11,disty3,0.4668153669599362,0.10704574789417139,0.4261388851458924,32
11,disty4,0.4239424286369076,0.09538920433890033,0.4806683670241921,32
11,disty5,0.3686394659161373,0.09625139007370703,0.5351091440101556,32
11,disty6,0.431802531987427,0.09741496751369959,0.47078250049887344,32
11,disty7,0.3835472469187117,0.09968657408861847,0.5167661789926697,32
11,disty8,0.44796772566329707,0.0964627875133262,0.4555694868233767,32
11,disty9,0.43867455050287096,0.09614956842833826,0.46517588106879076,32
11,limiting_disability,0.38556637878355976,0.09973143096718987,0.5147021902492503,32
11,no_disability,0.185626662501487,0.09555585033448756,0.7188174871640255,32
11,non_limiting_disability,0.17762350389584872,0.09310673443480909,0.7292697616693422,32
12,disty1,0.40960854158985815,0.09988917010368303,0.4905022883064588,32
12,disty10,0.40407176557941876,0.04006141997457915,0.555866814446002,31
12,disty11,0.38084412374242965,0.09742508258029192,0.5217307936772785,31
12,disty12,0.3510775585608644,0.09328266547711986,0.5556397759620157,32
12,disty13,0.3579037343726905,0.04475143306703772,0.5973448325602717,32
12,disty2,0.39622388074468734,0.09875566311875587,0.5050204561365568,32
12,disty3,0.4639767813186017,0.11439346279890404,0.42162975588249424,32
12,disty4,0.42691263353896874,0.09585020912884512,0.47723715733218613,32
12,disty5,0.36806974202090903,0.09846943455709539,0.5334608234219955,32
12,disty6,0.428304947632691,0.09932919077367396,0.4723658615936351,32
12,disty7,0.38215809465229655,0.09971857034690894,0.5181233350007945,32
12,disty8,0.45024439211464884,0.09676457275875225,0.45299103512659894,32
12,disty9,0.4390093857732076,0.09748741897800545,0.46350319524878697,32
12,limiting_disability,0.3884068262173217,0.10001326029763605,0.5115799134850423,32
12,no_disability,0.18249524180876578,0.09555502024409791,0.7219497379471363,32
12,non_limiting_disability,0.17814426534163033,0.0928545144163874,0.7290012202419822,32
13,disty1,0.41256892946784224,0.09935400105736515,0.4880770694747926,32
13,disty10,0.40899137315388495,0.041297882692234215,0.5497107441538809,31
13,disty11,0.38243925853224703,0.09858166706595797,0.518979074401795,31
13,disty12,0.3545462477632701,0.09401141125363091,0.551442340983099,32
13,disty13,0.3629213263525227,0.04513251770942512,0.5919461559380521,32
13,disty2,0.39381228852804057,0.09915452988100742,0.507033181590952,32
13,disty3,0.4674987300724296,0.10715071244354142,0.425350557484029,32
13,disty4,0.4298124329719163,0.09635564699727302,0.4738319200308107,32
13,disty5,0.3700707127707172,0.09786727687857687,0.532062010350706,32
13,disty6,0.43069421519087,0.09500777620848119,0.4742980086006488,32
13,disty7,0.38440464522386397,0.09798513836045654,0.5176102164156795,32
13,disty8,0.4532302322514015,0.09449335432987854,0.45227641341872,32
13,disty9,0.43832616900253546,0.09782690871546999,0.4638469222819946,32
13,limiting_disability,0.38802296823927446,0.09980371524226031,0.5121733165184653,32
13,no_disability,0.1810138298110241,0.09570914733880231,0.7232770228501736,32
13,non_limiting_disability,0.17645512281303471,0.0918683812535776,0.7316764959333877,32
14,disty1,0.41256749074734433,0.09946738842768144,0.4879651208249742,32
14,disty10,0.4127694432883355,0.04132412910575809,0.5459064276059065,31
14,disty11,0.38288398213601765,0.09932545767899148,0.5177905601849909,31
14,disty12,0.3552744550992626,0.09424967194211802,0.5504758729586194,32
14,disty13,0.3685468544126046,0.04566613023036393,0.5857870153570315,32
14,disty2,0.3934551660242523,0.09949775450094334,0.5070470794748044,32
14,disty3,0.46572718859933554,0.10956197037547638,0.4247108410251881,32
14,disty4,0.43194441341546885,0.09750799090706011,0.470547595677471,32
14,disty5,0.368900575148411,0.09856691027144797,0.532532514580141,32
14,disty6,0.4304664531697862,0.09850911300561051,0.47102443382460335,32
14,disty7,0.38604065788419273,0.09860657339454994,0.5153527687212573,32
14,disty8,0.45408940669403786,0.0936786528577056,0.4522319404482566,32
14,disty9,0.4391855316419378,0.09634300600063071,0.46447146235743153,32
14,limiting_disability,0.386023165365832,0.10036539986924975,0.5136114347649183,32
14,no_disability,0.17766810709465633,0.09644945223728993,0.7258824406680537,32
14,non_limiting_disability,0.17703937811927178,0.09398105544884189,0.7289795664318863,32
15,disty1,0.41262620109343834,0.09856272548675118,0.48881107341981045,32
15,disty10,0.4134323447722946,0.04219155014739084,0.5443761050803145,31
15,disty11,0.3835814488655555,0.09908492772583609,0.5173336234086084,31
15,disty12,0.3595848843594295,0.09410630522045778,0.5463088104201127,32
15,disty13,0.3741582707307798,0.04536524366496402,0.5804764856042562,32
15,disty2,0.3926341970570656,0.09889692947457215,0.5084688734683622,32
15,disty3,0.4648145159581251,0.11156342588751697,0.4236220581543579,32
15,disty4,0.4323160240779445,0.09737806663116558,0.4703059092908899,32
15,disty5,0.37235842612556225,0.0975344647254039,0.5301071091490338,32
15,disty6,0.4303660003645209,0.09733602331337558,0.4722979763221036,32
15,disty7,0.3870800620347879,0.09855660786835306,0.5143633300968591,32
15,disty8,0.45282383952637056,0.09500064893247734,0.4521755115411521,32
15,disty9,0.439929671808283,0.09587070192584903,0.46419962626586797,32
15,limiting_disability,0.3855080664327439,0.09964794085462568,0.5148439927126305,32
15,no_disability,0.18013024515803125,0.09434685873305076,0.725522896108918,32
15,non_limiting_disability,0.1759655431559231,0.09208156459570332,0.7319528922483736,32
16,disty1,0.4121547389309739,0.09892381839595212,0.48892144267307397,32
16,disty10,0.41508463444338095,0.04191791045331211,0.542997455103307,31
16,disty11,0.3858964806671016,0.09872351770854164,0.5153800016243568,31
16,disty12,0.35821366750281963,0.09550649681799882,0.5462798356791816,32
16,disty13,0.3752557935655813,0.046276661092103204,0.5784675453423155,32
16,disty2,0.3956538043318974,0.09797676544833057,0.5063694302197721,32
16,disty3,0.4650017508307194,0.11226715034972419,0.42273109881955645,32
16,disty4,0.4324817869847883,0.09657727419845319,0.4709409388167585,32
16,disty5,0.3728171789656561,0.09805201605054457,0.5291308049837994,32
16,disty6,0.432209650879221,0.09539384246950819,0.47239650665127086,32
16,disty7,0.3873137072392128,0.09858739842882477,0.5140988943319624,32
16,disty8,0.45406640768239376,0.0953664181229061,0.45056717419470016,32
16,disty9,0.43884490690291994,0.09807641327823505,0.46307867981884504,32
16,limiting_disability,0.3852744673144775,0.09881615198216676,0.5159093807033558,32
16,no_disability,0.1762117772209078,0.09584383389413878,0.7279443888849534,32
16,non_limiting_disability,0.17752318721710217,0.09151020252543991,0.7309666102574579,32
