disability_group,mean_active_rate_year9,mean_active_rate_year16,change_year9_to_year16
disty1,0.4840599251789835,0.48892144267307397,0.004861517494090473
disty10,0.571870499976531,0.542997455103307,-0.028873044873224063
disty11,0.5615291348803274,0.5153800016243568,-0.04614913325597059
disty12,0.5759417379058487,0.5462798356791816,-0.029661902226667092
disty13,0.6293724611708367,0.5784675453423155,-0.05090491582852119
disty2,0.5110891771264339,0.5063694302197721,-0.00471974690666177
disty3,0.4368484347291738,0.42273109881955645,-0.014117335909617335
disty4,0.4979737824211556,0.4709409388167585,-0.02703284360439706
disty5,0.5469006038085181,0.5291308049837994,-0.01776979882471874
disty6,0.4984414987799483,0.47239650665127086,-0.026044992128677447
disty7,0.5272240742602763,0.5140988943319624,-0.013125179928313857
disty8,0.5004808137430661,0.45056717419470016,-0.04991363954836592
disty9,0.46791662327637135,0.46307867981884504,-0.004837943457526306
limiting_disability,0.5221308603478406,0.5159093807033558,-0.006221479644484829
no_disability,0.7065441533856259,0.7279443888849534,0.021400235499327458
non_limiting_disability,0.7256493017382367,0.7309666102574579,0.005317308519221187
