LA_2023,disability_group,year,inactive_rate,fairly_active_rate,active_rate,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
117,disty10,9,0.3736210159092373,0.06556399852643889,0.5608149855643237,8,8,3.0,1,1.0,True,False,True
117,disty11,9,0.3361388096298412,0.08332469194067844,0.5805364984294804,6,6,2.5,2,1.0,True,True,True
117,disty12,9,0.2548094277604162,0.07790725060876633,0.6672833216308176,7,7,7.0,1,1.0,True,True,True
117,disty13,9,0.2794105186599188,0.06351798541101181,0.6570714959290694,8,8,4.0,2,1.0,True,False,True
117,disty2,9,0.37746715239916784,0.09878193869990548,0.5237509089009267,8,5,22.5,17,0.625,True,False,True
117,disty3,9,0.42425189410069314,0.10182269679706007,0.4739254091022468,8,0,36.5,30,0.0,False,False,False
117,disty4,9,0.3826609983120428,0.0863814219541657,0.5309575797337915,8,8,8.5,3,1.0,True,False,True
117,disty5,9,0.393580626971979,0.10502855767726106,0.5013908153507599,8,8,16.0,9,1.0,True,False,True
117,disty6,9,0.4053347707969401,0.0855664416757391,0.5090987875273209,8,8,6.0,1,1.0,True,False,True
117,disty7,9,0.4048968271536028,0.08655444071499001,0.5085487321314072,8,8,17.0,13,1.0,True,False,True
117,disty8,9,0.3909764534434016,0.08280214356112651,0.5262214029954719,8,8,8.5,3,1.0,True,False,True
117,disty9,9,0.42007380491994606,0.07601263930985601,0.5039135557701979,8,8,10.5,4,1.0,True,False,True
117,limiting_disability,9,0.38489488684310746,0.10183547439864576,0.5132696387582467,8,0,65.5,51,0.0,False,False,False
117,no_disability,9,0.22974046231806722,0.09855618550639123,0.6717033521755416,8,0,331.5,298,0.0,False,False,False
117,non_limiting_disability,9,0.23169402068324935,0.10052959957584141,0.6677763797409092,8,0,65.5,54,0.0,False,False,False
122,disty1,9,0.424431929557924,0.10172463223978492,0.4738434382022911,8,0,51.5,41,0.0,False,False,False
122,disty10,9,0.3404655858210638,0.04411984602722302,0.615414568151713,7,7,4.0,1,1.0,True,True,True
122,disty11,9,0.3634113438883949,0.08221436277570925,0.5543742933358958,6,6,3.0,1,1.0,True,True,True
122,disty12,9,0.411092037640734,0.08453023634066928,0.5043777260185967,8,8,7.5,3,1.0,True,False,True
122,disty13,9,0.42147890709035807,0.05267900381496093,0.525842089094681,8,8,5.0,2,1.0,True,False,True
122,disty2,9,0.40023607430450897,0.10324923845600982,0.49651468723948117,8,2,32.5,21,0.25,False,False,False
122,disty3,9,0.47629915847614174,0.09739874980983577,0.42630209171402245,8,0,54.0,47,0.0,False,False,False
122,disty4,9,0.41106843435021356,0.0925749061139071,0.4963566595358794,8,8,17.5,11,1.0,True,False,True
122,disty5,9,0.40472007164655194,0.10085316646131919,0.494426761892129,8,8,23.0,11,1.0,True,False,True
122,disty6,9,0.40036804749116567,0.10841172230681231,0.491220230202022,8,8,8.0,1,1.0,True,False,True
122,disty7,9,0.3744172621211447,0.10088159722396157,0.5247011406548938,8,5,24.5,19,0.625,True,False,True
122,disty8,9,0.40980453747448187,0.09706150099266066,0.4931339615328575,8,8,13.5,5,1.0,True,False,True
122,disty9,9,0.4441733213648273,0.08792778137920781,0.4678988972559649,8,8,13.0,8,1.0,True,False,True
122,limiting_disability,9,0.4108430132810399,0.10533317714342012,0.48382380957554005,8,0,83.5,70,0.0,False,False,False
122,no_disability,9,0.22965933971185398,0.10000281086612933,0.6703378494220166,8,0,300.0,269,0.0,False,False,False
122,non_limiting_disability,9,0.24207134347729017,0.08842389750795356,0.6695047590147563,8,0,79.0,65,0.0,False,False,False
126,disty1,9,0.41010484399103964,0.10247461157828225,0.4874205444306782,8,0,36.0,33,0.0,False,False,False
126,disty10,9,0.3977430857228977,0.09785296325452608,0.5044039510225762,8,8,4.0,1,1.0,True,False,True
126,disty11,9,0.4046285689402322,0.08223554964244734,0.5131358814173205,8,8,2.5,2,1.0,True,False,True
126,disty12,9,0.40068720404528846,0.10179195933214201,0.49752083662256946,8,8,6.5,1,1.0,True,False,True
126,disty13,9,0.4030979403507997,0.06150967810018736,0.5353923815490129,8,8,5.0,2,1.0,True,False,True
126,disty2,9,0.3972847300052842,0.10941917954292302,0.4932960904517929,8,7,24.5,19,0.875,True,False,True
126,disty3,9,0.4601979251619189,0.1080010591415818,0.43180101569649926,8,0,36.0,30,0.0,False,False,False
126,disty4,9,0.39918912481548063,0.09457310766628667,0.5062377675182326,8,8,11.0,5,1.0,True,False,True
126,disty5,9,0.38042849825600805,0.09908036700143519,0.5204911347425568,8,8,22.0,16,1.0,True,False,True
126,disty6,9,0.40405161546378554,0.08938909173948097,0.5065592927967335,8,8,6.0,5,1.0,True,False,True
126,disty7,9,0.39740613842196,0.10436599977123129,0.4982278618068089,8,8,18.5,12,1.0,True,False,True
126,disty8,9,0.41041654853364157,0.08493421661175778,0.5046492348546007,8,8,10.5,7,1.0,True,False,True
126,disty9,9,0.39461164956528194,0.09681223195486811,0.50857611847985,8,8,9.5,7,1.0,True,False,True
126,limiting_disability,9,0.37553947955008393,0.10338433542987345,0.5210761850200427,8,0,65.5,51,0.0,False,False,False
126,no_disability,9,0.23202857810814992,0.10163450190667767,0.6663369199851724,8,0,316.0,301,0.0,False,False,False
126,non_limiting_disability,9,0.23136449875309226,0.10180885236619355,0.6668266488807142,8,0,74.5,51,0.0,False,False,False
129,disty1,9,0.409097608386694,0.10467897356100063,0.4862234180523055,8,0,40.0,30,0.0,False,False,False
129,disty10,9,0.37442803949263737,0.06354561128841904,0.5620263492189436,7,7,5.0,3,1.0,True,True,True
129,disty11,9,0.3730150051281208,0.06320906139380861,0.5637759334780705,8,8,2.0,2,1.0,True,False,True
129,disty12,9,0.38717491179334707,0.10047217491383306,0.5123529132928198,8,8,11.5,1,1.0,True,False,True
129,disty13,9,0.40141191031798185,0.06739519619302392,0.5311928934889942,7,7,6.0,2,1.0,True,True,True
129,disty2,9,0.3737617075186774,0.08484863226048033,0.5413896602208423,8,4,29.0,21,0.5,True,False,True
129,disty3,9,0.4682361999586197,0.08735117147527041,0.4444126285661098,8,0,41.0,32,0.0,False,False,False
129,disty4,9,0.40296553058962314,0.08600759540226045,0.5110268740081164,8,8,10.5,7,1.0,True,False,True
129,disty5,9,0.38689593178884424,0.10411799447902871,0.5089860737321271,8,3,32.5,13,0.375,False,False,False
129,disty6,9,0.3517353332503391,0.05071231193944039,0.5975523548102205,8,8,6.5,3,1.0,True,False,True
129,disty7,9,0.39740613842196,0.10436599977123129,0.4982278618068089,8,6,22.0,10,0.75,True,False,True
129,disty8,9,0.3993079927622148,0.10403660887913,0.4966553983586553,8,8,11.5,8,1.0,True,False,True
129,disty9,9,0.44145770865427647,0.051259630025632115,0.5072826613200915,8,8,10.5,4,1.0,True,False,True
129,limiting_disability,9,0.39129126752457694,0.1069729992053573,0.5017357332700657,8,0,84.0,56,0.0,False,False,False
129,no_disability,9,0.23232332483410004,0.10049330502727373,0.6671833701386263,8,0,322.5,298,0.0,False,False,False
129,non_limiting_disability,9,0.23836286204754448,0.10859259040075205,0.6530445475517034,8,0,70.0,56,0.0,False,False,False
135,disty1,9,0.3804348240769502,0.09440596998652757,0.5251592059365222,8,0,35.0,32,0.0,False,False,False
135,disty10,9,0.377994574040883,0.07864970441065312,0.543355721548464,8,8,6.5,3,1.0,True,False,True
135,disty11,9,0.30406993107335883,0.07981355451858926,0.6161165144080519,8,8,4.0,1,1.0,True,False,True
135,disty12,9,0.23113389930053432,0.07482746366917445,0.6940386370302911,8,8,10.0,3,1.0,True,False,True
135,disty13,9,0.37151674496424353,0.057224486843935406,0.5712587681918211,8,8,8.0,5,1.0,True,False,True
135,disty2,9,0.3591057271244477,0.09702464090520693,0.5438696319703453,8,4,29.5,25,0.5,True,False,True
135,disty3,9,0.43222237201805397,0.09827381483209839,0.4695038131498477,8,1,36.5,22,0.125,False,False,False
135,disty4,9,0.3438490258974438,0.08511521994485517,0.571035754157701,8,8,9.0,5,1.0,True,False,True
135,disty5,9,0.3474485821240061,0.07261426612971406,0.5799371517462799,8,1,33.5,18,0.125,False,False,False
135,disty6,9,0.3467760472466308,0.07834723489831578,0.5748767178550535,8,8,5.0,1,1.0,True,False,True
135,disty7,9,0.374663227718369,0.08676975990813424,0.5385670123734967,8,7,17.5,14,0.875,True,False,True
135,disty8,9,0.36876996771152515,0.10045288722992227,0.5307771450585526,8,8,15.5,11,1.0,True,False,True
135,disty9,9,0.42075864883146563,0.09217949582799498,0.48706185534053953,8,8,8.0,5,1.0,True,False,True
135,limiting_disability,9,0.3599542941745914,0.09489090958614617,0.5451547962392624,8,0,73.0,64,0.0,False,False,False
135,no_disability,9,0.13499119489612735,0.09125921127246825,0.7737495938314044,8,0,315.0,302,0.0,False,False,False
135,non_limiting_disability,9,0.1382364833978394,0.08894253341149139,0.7728209831906692,8,0,73.0,53,0.0,False,False,False
136,disty1,9,0.40790729142171334,0.10169006620012468,0.4904026423781619,8,2,36.5,24,0.25,False,False,False
136,disty10,9,0.4001824689860796,0.09232003895901934,0.507497492054901,8,8,4.0,3,1.0,True,False,True
136,disty11,9,0.4046285689402322,0.08223554964244734,0.5131358814173205,8,8,3.5,1,1.0,True,False,True
136,disty12,9,0.3982208955300853,0.10161531471210605,0.5001637897578087,8,8,6.5,3,1.0,True,False,True
136,disty13,9,0.4223301756412594,0.05327558317841312,0.5243942411803275,7,7,5.0,1,1.0,True,True,True
136,disty2,9,0.3944627229510653,0.10529336802908068,0.5002439090198539,8,5,27.5,20,0.625,True,False,True
136,disty3,9,0.46378021112752293,0.0960364311518593,0.4401833577206178,8,1,38.0,27,0.125,False,False,False
136,disty4,9,0.39664927870147254,0.10033389830675121,0.5030168229917763,8,8,13.0,6,1.0,True,False,True
136,disty5,9,0.3920919770019089,0.1026502326420566,0.5052577903560346,8,5,24.5,16,0.625,True,False,True
136,disty6,9,0.39466205014019806,0.10484126102967925,0.5004966888301228,8,8,6.5,3,1.0,True,False,True
136,disty7,9,0.3862425300859355,0.10263838781624789,0.5111190820978166,8,8,17.0,10,1.0,True,False,True
136,disty8,9,0.4053016916481395,0.09058800560414258,0.5041103027477178,8,8,11.0,7,1.0,True,False,True
136,disty9,9,0.42094830239588543,0.08341703314669816,0.49563466445741644,8,8,8.0,4,1.0,True,False,True
136,limiting_disability,9,0.39522326321151463,0.10837796076447641,0.49639877602400906,8,0,66.0,51,0.0,False,False,False
136,no_disability,9,0.19063179701297628,0.08771473294749021,0.7216534700395334,8,0,315.5,291,0.0,False,False,False
136,non_limiting_disability,9,0.1547140567143049,0.08954052077433139,0.7557454225113638,8,0,71.5,64,0.0,False,False,False
139,disty1,9,0.4013074837838128,0.09883281455895837,0.4998597016572288,8,4,30.0,19,0.5,True,False,True
139,disty10,9,0.402070715985673,0.07737442174925105,0.5205548622650759,8,8,2.5,1,1.0,True,False,True
139,disty11,9,0.3767356092910744,0.08937180954310485,0.5338925811658207,7,7,2.0,1,1.0,True,True,True
139,disty12,9,0.32221167598254385,0.08694947142042833,0.5908388525970277,8,8,6.5,2,1.0,True,False,True
139,disty13,9,0.36724801898588594,0.042384702539317365,0.5903672784747966,8,8,3.0,1,1.0,True,False,True
139,disty2,9,0.3596018526624877,0.10249052653045343,0.5379076208070589,8,6,24.5,14,0.75,True,False,True
139,disty3,9,0.4517643702249455,0.1096884051300074,0.43854722464504714,8,2,35.0,22,0.25,False,False,False
139,disty4,9,0.32950596313379776,0.09484457840589137,0.5756494584603109,8,8,10.0,6,1.0,True,False,True
139,disty5,9,0.3650967788957525,0.08503510609769614,0.5498681150065514,8,6,20.0,14,0.75,True,False,True
139,disty6,9,0.3956732138367087,0.09205467297092648,0.5122721131923648,8,8,5.5,4,1.0,True,False,True
139,disty7,9,0.3074871245654637,0.09179657002223401,0.6007163054123024,8,8,15.0,12,1.0,True,False,True
139,disty8,9,0.3947796949780591,0.10301077448793003,0.5022095305340109,8,8,5.5,4,1.0,True,False,True
139,disty9,9,0.381218201321872,0.07635180908100808,0.5424299895971199,8,8,7.0,2,1.0,True,False,True
139,limiting_disability,9,0.3617916489899284,0.09702514048114547,0.5411832105289262,8,0,63.0,48,0.0,False,False,False
139,no_disability,9,0.15250530559078335,0.08952677077814292,0.7579679236310738,8,0,317.5,306,0.0,False,False,False
139,non_limiting_disability,9,0.1590003866377005,0.092765897775029,0.7482337155872704,8,0,75.0,70,0.0,False,False,False
142,disty1,9,0.3974095138464752,0.10403241240517887,0.49855807374834593,8,3,35.0,24,0.375,False,False,False
142,disty10,9,0.3268772957208084,0.05105235495999708,0.6220703493191944,8,8,7.5,2,1.0,True,False,True
142,disty11,9,0.36135540248127257,0.09449308062236092,0.5441515168963665,8,8,5.0,2,1.0,True,False,True
142,disty12,9,0.39204377906248156,0.10525557492954953,0.5027006460079689,8,8,10.5,8,1.0,True,False,True
142,disty13,9,0.2652046065800109,0.04028965104653128,0.6945057423734579,8,8,7.0,3,1.0,True,False,True
142,disty2,9,0.3992509019737901,0.09929162445587146,0.5014574735703384,8,4,30.5,14,0.5,True,False,True
142,disty3,9,0.4627159210884448,0.10232519145595391,0.43495888745560124,8,3,40.5,24,0.375,False,False,False
142,disty4,9,0.40144553347846124,0.08945519999657814,0.5090992665249606,8,8,10.0,5,1.0,True,False,True
142,disty5,9,0.36862097292050683,0.09377817038414102,0.5376008566953522,8,4,32.5,20,0.5,True,False,True
142,disty6,9,0.40032545722375806,0.08635466191736033,0.5133198808588816,8,8,8.0,1,1.0,True,False,True
142,disty7,9,0.36913870068703,0.0961680128710257,0.5346932864419444,8,7,23.5,11,0.875,True,False,True
142,disty8,9,0.4074955929329972,0.08566535123559853,0.5068390558314043,8,8,11.5,8,1.0,True,False,True
142,disty9,9,0.41817022257115083,0.08378497024521657,0.49804480718363264,8,8,7.0,3,1.0,True,False,True
142,limiting_disability,9,0.36724675641743454,0.10080041729121544,0.53195282629135,8,0,71.5,46,0.0,False,False,False
142,no_disability,9,0.1563114037027583,0.09139751566966449,0.7522910806275772,8,0,326.0,306,0.0,False,False,False
142,non_limiting_disability,9,0.15465392697786057,0.08989437154711653,0.7554517014750229,8,0,84.5,74,0.0,False,False,False
147,disty1,9,0.3941668845900967,0.08376813634084002,0.5220649790690634,8,2,33.5,25,0.25,False,False,False
147,disty10,9,0.34613481522476963,0.07873568479367789,0.5751294999815524,8,8,4.0,2,1.0,True,False,True
147,disty11,9,0.32392012874666204,0.06565209395086793,0.61042777730247,7,7,4.0,1,1.0,True,True,True
147,disty12,9,0.37186825959462666,0.08055174522181868,0.5475799951835547,8,8,8.5,4,1.0,True,False,True
147,disty13,9,0.3505783756005661,0.03507251345858449,0.6143491109408494,8,8,4.0,1,1.0,True,False,True
147,disty2,9,0.36616839492346415,0.0851945571031902,0.5486370479733458,8,7,27.5,23,0.875,True,False,True
147,disty3,9,0.4301589628969273,0.09056867593807823,0.4792723611649945,8,2,33.5,24,0.25,False,False,False
147,disty4,9,0.2534055516887865,0.07912015505979929,0.6674742932514143,8,8,10.5,8,1.0,True,False,True
147,disty5,9,0.33974932505942873,0.08915942205234213,0.571091252888229,8,4,29.5,17,0.5,True,False,True
147,disty6,9,0.32409479496457316,0.08970834377283889,0.586196861262588,8,8,4.5,4,1.0,True,False,True
147,disty7,9,0.39116151905698704,0.10544753409272185,0.5033909468502912,8,8,17.0,15,1.0,True,False,True
147,disty8,9,0.4012050670914278,0.08166764891476637,0.5171272839938059,8,8,9.5,6,1.0,True,False,True
147,disty9,9,0.4458416217888514,0.08441272081317677,0.4697456573979719,8,8,8.5,4,1.0,True,False,True
147,limiting_disability,9,0.33985998995083777,0.09274934436961035,0.5673906656795519,8,0,69.5,63,0.0,False,False,False
147,no_disability,9,0.16733080023871472,0.0909115375472329,0.7417576622140523,8,0,324.0,301,0.0,False,False,False
147,non_limiting_disability,9,0.15177556113084867,0.09023672521956234,0.757987713649589,8,0,80.0,66,0.0,False,False,False
160,disty1,9,0.4190097761331893,0.1013113424280067,0.47967888143880394,8,7,27.0,21,0.875,True,False,True
160,disty10,9,0.39217527455956214,0.08092955372264629,0.5268951717177915,8,8,2.0,1,1.0,True,False,True
160,disty11,9,0.4012370991410077,0.09481077190137348,0.5039521289576189,7,7,2.0,1,1.0,True,True,True
160,disty12,9,0.4012370991410077,0.09481077190137348,0.5039521289576189,8,8,4.5,2,1.0,True,False,True
160,disty13,9,0.341345899480554,0.05024922323778054,0.6084048772816655,7,7,4.0,2,1.0,True,True,True
160,disty2,9,0.3958516861094486,0.10696024131849748,0.49718807257205394,8,8,21.0,14,1.0,True,False,True
160,disty3,9,0.46155569839273913,0.10037227477441187,0.4380720268328491,8,4,29.5,24,0.5,True,False,True
160,disty4,9,0.39466205014019806,0.10484126102967925,0.5004966888301228,8,8,9.0,4,1.0,True,False,True
160,disty5,9,0.39084582082160707,0.10550221132072275,0.5036519678576702,8,7,25.0,8,0.875,True,False,True
160,disty6,9,0.39918912481548063,0.09457310766628667,0.5062377675182326,8,8,5.0,2,1.0,True,False,True
160,disty7,9,0.39667549405341596,0.10510173402069824,0.49822277192588577,8,8,14.0,9,1.0,True,False,True
160,disty8,9,0.3921439135487713,0.09112950359103744,0.5167265828601912,8,8,10.5,3,1.0,True,False,True
160,disty9,9,0.41630915273259655,0.09262058792359013,0.49107025934381315,8,8,8.0,5,1.0,True,False,True
160,limiting_disability,9,0.39292086432899354,0.1087905581422775,0.49828857752872885,8,0,59.0,46,0.0,False,False,False
160,no_disability,9,0.18246825014464496,0.08859945183169808,0.7289322980236569,8,0,339.0,308,0.0,False,False,False
160,non_limiting_disability,9,0.16540621824812707,0.10903486692225124,0.7255589148296215,8,0,77.0,62,0.0,False,False,False
17,disty1,9,0.40295067187210665,0.12272742820573708,0.47432189992215623,8,1,43.5,28,0.125,False,False,False
17,disty10,9,0.3268376459977839,0.036343525103510445,0.6368188288987057,7,7,2.0,1,1.0,True,True,True
17,disty11,9,0.3176412368854257,0.06345845294441506,0.6189003101701592,8,8,2.0,1,1.0,True,False,True
17,disty12,9,0.3125749411791234,0.09257309022835136,0.5948519685925253,7,7,8.0,5,1.0,True,True,True
17,disty13,9,0.28575430584564043,0.04225592758906094,0.6719897665652985,8,8,6.0,3,1.0,True,False,True
17,disty2,9,0.39021285825626184,0.12527197444980948,0.48451516729392874,8,4,29.0,18,0.5,True,False,True
17,disty3,9,0.44344447783363383,0.13099660869317153,0.42555891347319447,8,0,51.0,40,0.0,False,False,False
17,disty4,9,0.36754724798895766,0.10006466703338618,0.5323880849776562,8,8,10.5,8,1.0,True,False,True
17,disty5,9,0.3649476771375782,0.08974222896366817,0.5453100938987537,8,5,25.0,18,0.625,True,False,True
17,disty6,9,0.4120485491240249,0.06540580859653447,0.5225456422794407,8,8,5.5,1,1.0,True,False,True
17,disty7,9,0.38762775248976644,0.12551340138537923,0.48685884612485425,8,7,23.5,12,0.875,True,False,True
17,disty8,9,0.3681159413807405,0.08295141724324773,0.5489326413760117,8,8,12.0,7,1.0,True,False,True
17,disty9,9,0.43863859678634565,0.10068287187714557,0.4606785313365088,8,8,11.0,7,1.0,True,False,True
17,limiting_disability,9,0.3818668604083424,0.12848191269203513,0.4896512268996224,8,0,78.0,71,0.0,False,False,False
17,no_disability,9,0.2296724494550388,0.10528796339468216,0.665039587150279,8,0,315.5,291,0.0,False,False,False
17,non_limiting_disability,9,0.19697839264651423,0.08996649963846196,0.7130551077150239,8,0,73.0,63,0.0,False,False,False
171,disty1,9,0.42614832909845474,0.1026188435985893,0.471232827302956,8,0,38.0,32,0.0,False,False,False
171,disty10,9,0.37473610302687654,0.027100365176289904,0.5981635317968336,8,8,5.0,2,1.0,True,False,True
171,disty11,9,0.4263381417614873,0.054742820896697936,0.5189190373418147,8,8,3.0,1,1.0,True,False,True
171,disty12,9,0.3880548781535926,0.0889321842669777,0.5230129375794298,8,8,6.5,4,1.0,True,False,True
171,disty13,9,0.4140237280054889,0.049627076918817944,0.5363491950756931,8,8,5.5,4,1.0,True,False,True
171,disty2,9,0.41460284521437596,0.10179131888033759,0.48360583590528655,8,7,25.0,20,0.875,True,False,True
171,disty3,9,0.47296856377071483,0.10544596985987041,0.42158546636941463,8,1,33.5,26,0.125,False,False,False
171,disty4,9,0.3624313897575749,0.08904837341806747,0.5485202368243577,8,8,7.5,3,1.0,True,False,True
