task,horizon,origins,observations,total_variation,overall_mae,overall_rmse,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2
age_overall_level,4,1,256,0.111466656926255,0.0743111046175033,0.1114718483604059,,,,,,,,,,252,0.0877710635416697,4,0.2780824380182357,51,0.19921875,0.2192532923619987,205,0.0846514451837041,,,,,,,0.0886631204832487,0.1294346891911866,0.3982117819495967,0.0435255146013951,0.0592458445947428,-0.0190367337862888,0.0907446787678661,0.1304396797868367,0.4527817820907233,,,,,,,,,,,,,,,
disability_activity_level,1,4,251013,0.0081146425611422,0.0054097617074281,0.0369727787304208,,,,,,,,,,15464,0.0759219727047147,232965,0.0002148835577352,174266,0.6942508953719528,0.0083419017558753,76747,0.0076062668191567,,,,,,,,,,,,,,,,0.0077232301402638,0.0460822573676194,0.3513671594377497,0.0035786200451432,0.0263999568085148,0.1611319592749696,0.0049274349368773,0.0357830537763201,0.2716847805632879,,,,,,
disability_activity_level,2,3,188303,0.0083722450632929,0.0055814967088619,0.0367273622383817,,,,,,,,,,11876,0.0770749351334835,174587,0.0002298559052266,130776,0.6944976978593013,0.008345134927536,57527,0.0084330073568932,,,,,,,,,,,,,,,,0.0079858007844491,0.0458090765168404,0.3620724147584039,0.0036344996499669,0.0258029114452912,0.1592990570415684,0.0051241896921697,0.0358111111331197,0.2843072590105094,,,,,,
disability_activity_level,3,2,125612,0.008712876873796,0.0058085845825306,0.0368987968466911,,,,,,,,,,8335,0.0766972541137088,116358,0.0001551894384657,86602,0.689440499315352,0.0084287532969494,39010,0.0093369363568759,,,,,,,,,,,,,,,,0.0083600102578077,0.0461765177367322,0.3707193431608869,0.0037941633231449,0.0261346086137605,0.1583191206342499,0.0052715801666393,0.0356268868765564,0.2988056592745108,,,,,,
disability_activity_level,4,1,62992,0.0084156668644427,0.0056104445762951,0.0347827640514119,,,,,,,,,,4159,0.0716584646679397,58568,0.0002223669906282,43160,0.6851663703327406,0.0081384369423775,19832,0.0090152925959366,,,,,,,,,,,,,,,,0.0080068303590217,0.0433193201273942,0.4148767725564849,0.0038656954488556,0.0250656654034435,0.1667714231784822,0.004958807921008,0.033536114067547,0.3427558715974086,,,,,,
disability_days10p60gr,1,4,251013,,,,,,,,,,,,,23355,0.0697514672307695,225074,0.0029016689704974,174266,0.6942508953719528,0.0101005313299389,76747,0.0071410783386161,,,,,,,,,,,,,,,,,,,,,,,,,0.009186269554039,0.0436774719984674,0.5100713597179749,,,
disability_days10p60gr,2,3,188303,,,,,,,,,,,,,17874,0.0711246620301303,168589,0.003089439540138,130776,0.6944976978593013,0.0103286865817855,57527,0.0080029933535518,,,,,,,,,,,,,,,,,,,,,,,,,0.0096111707510813,0.043858572312515,0.508989060611472,,,
disability_days10p60gr,3,2,125612,,,,,,,,,,,,,12577,0.0681577519635822,112116,0.0025259139937938,86602,0.689440499315352,0.0096641714849328,39010,0.00800718314357,,,,,,,,,,,,,,,,,,,,,,,,,0.0091457854071532,0.0412831473887726,0.5749453029480995,,,
disability_days10p60gr,4,1,62992,,,,,,,,,,,,,6312,0.0667516562909018,56415,0.0025461341677525,43160,0.6851663703327406,0.0095175384017469,19832,0.0079024709479122,,,,,,,,,,,,,,,,,,,,,,,,,0.0090069127103469,0.0404818518893116,0.5770380806752706,,,
disability_months12,1,4,251013,,,,,,,,,,,,,45977,0.0720114966163726,202452,0.0093075094623386,174266,0.6942508953719528,0.0232161512278873,76747,0.0157582864541179,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0209121981958642,0.0648151266708622,0.5852603955600576
disability_months12,2,3,188303,,,,,,,,,,,,,34068,0.0756530435141516,152395,0.0091881805025863,130776,0.6944976978593013,0.0231681336676226,57527,0.0172158146881145,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0213317422444762,0.0658772833200557,0.5523796581572231
disability_months12,3,2,125612,,,,,,,,,,,,,23994,0.0752699152369846,100699,0.0101453004770515,86602,0.689440499315352,0.0248111592052693,39010,0.017989064464233,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022676878084053,0.0661667356771804,0.5573540889509955
disability_months12,4,1,62992,,,,,,,,,,,,,12179,0.0763423482360889,50548,0.010020698324972,43160,0.6851663703327406,0.024955396540377,19832,0.0184468527379256,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0228976312927131,0.0664793645696807,0.5564342166217966
disability_overall_level,1,4,2000,0.1972238496282908,0.1314825664188605,0.1872132701512662,,,,,,,,,,1906,0.1433751066550411,83,0.5299460955466202,1302,0.651,0.2530888374565748,698,0.0938976328857194,,,,,,,,,,,,,,,,0.1512756706303128,0.2047626097164346,0.1050848741528045,0.0836655031285925,0.1310659585870022,-0.0345163555235925,0.1595065254976762,0.2145703001908192,0.1033966058765352,,,,,,
disability_overall_level,2,3,1496,0.1907393135115031,0.1271595423410021,0.1811276141068916,,,,,,,,,,1433,0.1403799101609701,57,0.5204932912454435,953,0.6370320855614974,0.2467136029190411,543,0.0931193281175097,,,,,,,,,,,,,,,,0.1479378575106958,0.2000309434772899,0.125375095422461,0.0786196092024713,0.1203475624205819,-0.0166624778061563,0.1549211603098393,0.209584645542498,0.119235725310134,,,,,,
disability_overall_level,3,2,997,0.1852844240514621,0.1235229493676414,0.175405681455931,,,,,,,,,,962,0.1388145428378412,34,0.5010500689551448,620,0.6218655967903711,0.2417122993146684,377,0.0926349418553752,,,,,,,,,,,,,,,,0.1437695348072986,0.1946625894017775,0.1369726392935372,0.0756193006907278,0.1130725102228237,-0.011562243772943,0.1511800126048977,0.2040160360862915,0.1357897271039049,,,,,,
disability_overall_level,4,1,495,0.1810287477220227,0.1206858318146818,0.1683786551612999,,,,,,,,,,477,0.1302572023510566,18,0.501302721039062,306,0.6181818181818182,0.2365794083396484,189,0.0910895829125334,,,,,,,,,,,,,,,,0.1405622544915901,0.1895848181814569,0.1387739372674267,0.077745474285471,0.1063707207882511,-0.0133253439387268,0.1437497666669841,0.1944144568078097,0.1480976764148563,,,,,,
