task,origin,model,parameters,validation_score,selected
age_overall_level,5,Gradient Boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 160}",0.0820174116790479,True
age_overall_level,6,Naive baseline,{},0.0998281351047113,False
age_overall_level,6,Ridge Regression,"{""alpha"": 0.1}",0.0807351928823559,False
age_overall_level,6,Random Forest,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 12, ""n_estimators"": 220}",0.0794835979264635,False
age_overall_level,6,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0719197115097464,True
age_overall_level,7,Naive baseline,{},0.0983674809067601,False
age_overall_level,7,Ridge Regression,"{""alpha"": 10.0}",0.0826248594109126,False
age_overall_level,7,Random Forest,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 12, ""n_estimators"": 220}",0.0782168435576295,False
age_overall_level,7,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0701484789472557,True
disability_activity_level,4,Naive baseline,{},0.0065669730882198,False
disability_activity_level,4,Ridge Regression,"{""alpha"": 0.1}",0.0058524387201185,False
disability_activity_level,4,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.0054648730935036,False
disability_activity_level,4,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0053280716871915,True
disability_activity_level,5,Naive baseline,{},0.0073848967026655,False
disability_activity_level,5,Ridge Regression,"{""alpha"": 0.1}",0.0059575294802099,False
disability_activity_level,5,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.0053311471227523,False
disability_activity_level,5,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0052820588571654,True
disability_activity_level,6,Naive baseline,{},0.0071265098430033,False
disability_activity_level,6,Ridge Regression,"{""alpha"": 0.1}",0.0060497243875833,False
disability_activity_level,6,Random Forest,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 12, ""n_estimators"": 220}",0.0052601487762483,False
disability_activity_level,6,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0052332614324687,True
disability_activity_level,7,Naive baseline,{},0.0075663047002016,False
disability_activity_level,7,Ridge Regression,"{""alpha"": 1.0}",0.0065377451502915,False
disability_activity_level,7,Random Forest,"{""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 160}",0.006021634855461,False
disability_activity_level,7,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0057523794226661,True
disability_days10p60gr,4,Naive baseline,{},0.0100316366146401,False
disability_days10p60gr,4,Ridge Regression,"{""alpha"": 100.0}",0.0093547627173876,False
disability_days10p60gr,4,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.0105894298469732,False
disability_days10p60gr,4,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0088075278098732,True
disability_days10p60gr,5,Naive baseline,{},0.0106136141748032,False
disability_days10p60gr,5,Ridge Regression,"{""alpha"": 100.0}",0.0099317681496938,False
disability_days10p60gr,5,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.0107252870599603,False
disability_days10p60gr,5,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0093546895428888,True
disability_days10p60gr,6,Naive baseline,{},0.010156248355504,False
disability_days10p60gr,6,Ridge Regression,"{""alpha"": 100.0}",0.0101316776168521,False
disability_days10p60gr,6,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.0105429146884071,False
disability_days10p60gr,6,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0089649436915031,True
disability_days10p60gr,7,Naive baseline,{},0.0108313421974963,False
disability_days10p60gr,7,Ridge Regression,"{""alpha"": 100.0}",0.0094887259789263,False
disability_days10p60gr,7,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.0103354710347733,False
disability_days10p60gr,7,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0092690845863352,True
disability_months12,4,Naive baseline,{},0.021920004174101,False
disability_months12,4,Ridge Regression,"{""alpha"": 100.0}",0.020321665145373,True
disability_months12,4,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.025250070882755,False
disability_months12,4,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0216661287694544,False
disability_months12,5,Naive baseline,{},0.02306656762314,False
disability_months12,5,Ridge Regression,"{""alpha"": 100.0}",0.0210244807613246,True
disability_months12,5,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.0245112936931409,False
disability_months12,5,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0219828138486911,False
