task,horizon,origins,observations,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error
age_days10p60gr,1,4,126870,0.008499058933147874,0.03140133244939551,0.7445973941417949,20550,0.04084668496090549,106161,0.0022374024409292743,31043,0.2446835343264759,0.008822613359835047,95827,0.008394780860018105
age_days10p60gr,2,3,95232,0.009203937314279572,0.03356510843805082,0.7210821170262012,15803,0.044464144270597424,79270,0.0021745813090986578,24205,0.25416876680107525,0.009055989972610236,71027,0.009254024489266278
age_days10p60gr,3,2,63488,0.009613018126917392,0.033265721191174095,0.7468393556846644,11220,0.04200986355588132,52109,0.0026373976829830374,16466,0.25935609879032256,0.009657273458009224,47022,0.009597670594185597
age_days10p60gr,4,1,31744,0.009326104218096896,0.03510904398153906,0.728863753984891,5717,0.04373229686141032,25974,0.0017531388164713163,7861,0.2476373487903226,0.010214432174038876,23883,0.009035685732982171
