task,horizons_better_than_naive,mean_percentage_improvement,minimum_percentage_improvement,maximum_percentage_improvement
age_activity_level,4,7.9318398569059765,1.951849196159375,14.546510145174347
age_days10p60gr,2,-1.6533258844030247,-5.24961846615316,0.8656719494488856
age_months12,4,3.820847233129672e-13,2.432695290517073e-13,5.928238256329358e-13
age_overall_level,4,24.68567973093775,24.09210651911348,25.556188860602216
disability_activity_level,4,23.794871112841157,21.649488938101907,27.044408286357328
disability_days10p60gr,4,11.867281811596008,9.773673185118906,13.473145763786027
disability_months12,3,2.132193445254897,-0.18438443550804595,4.676292204405406
disability_overall_level,4,26.497752322036007,24.927337436379982,28.572793899266507
