task,origin,horizon,forecast_year,selected_model,observations,total_variation,overall_mae,overall_rmse,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error
disability_activity_level,4,1,5,Gradient Boosting,62992,0.007923088285748161,0.005282058857165441,0.037171506217013116,0.007471610099306495,0.04602989367281312,0.3346152359563709,0.0037523803955279746,0.0288218095531463,0.15166027561146622,0.004622186076661852,0.034579109385234584,0.25465346931860133,3600,0.07528969474546889,58648,0.0002843905643220384,43772,0.6948818897637795,0.0084256813945166,19220,0.006797928229343979
disability_activity_level,4,2,6,Gradient Boosting,62992,0.008023583110603751,0.0053490554070691676,0.036851748631076736,0.007562024553532966,0.04560870753808895,0.3436748021046977,0.003490418864509252,0.025361476536234148,0.1430993180346517,0.004994722803165284,0.036753169062154506,0.2597610225797351,3558,0.08122739992677083,58637,0.00036904507057684073,44475,0.7060420370840742,0.008123949148738391,18517,0.007786839155662624
disability_activity_level,4,3,7,Gradient Boosting,62992,0.008932439218520641,0.0059549594790137585,0.03797104900633099,0.008532683513861529,0.04731741089882658,0.37859146661410925,0.003891089740280394,0.027560042748938484,0.14198407218936326,0.005441105182899355,0.03642675331994137,0.31289344131455477,4176,0.0785752623818941,58162,0.00019011243053523096,43814,0.6955486410972822,0.008629841471057484,19178,0.009613434044910763
disability_activity_level,4,4,8,Gradient Boosting,62992,0.00841566686444272,0.005610444576295146,0.034782764051411924,0.008006830359021735,0.04331932012739425,0.4148767725564849,0.0038656954488556095,0.025065665403443568,0.16677142317848226,0.004958807921008092,0.03353611406754707,0.3427558715974086,4159,0.07165846466793972,58568,0.00022236699062821652,43160,0.6851663703327406,0.008138436942377517,19832,0.009015292595936612
disability_activity_level,5,1,6,Gradient Boosting,62620,0.00784989214870307,0.005233261432468714,0.037676546142012726,0.007498654928059101,0.046900161793529925,0.3096108701236093,0.0032732794891156738,0.025428917301993183,0.1520160664748642,0.004927849880231368,0.03758073144794749,0.22363565563247467,3546,0.08224685496125707,58277,0.00022319466432599901,44103,0.7042957521558607,0.008058739735551204,18517,0.0073614570028346675
disability_activity_level,5,2,7,Gradient Boosting,62620,0.008782891644469137,0.0058552610963127595,0.037763517660382294,0.008441674091039473,0.047270893111987025,0.362120842771649,0.0037262082592571964,0.027118924693307497,0.15923953017379766,0.005397900938641605,0.03617010348522423,0.2899069115967712,4159,0.07855719133512903,57789,0.00013272090854952545,43442,0.6937400191632066,0.008558595497579239,19178,0.00928310784023934
disability_activity_level,5,3,8,Gradient Boosting,62620,0.008493374388903989,0.00566224959260266,0.035794744608491434,0.008187384078096669,0.045007035974293244,0.36174830592153484,0.0036972633313016976,0.02462722975212479,0.177910264250279,0.0051021013684096105,0.034808870885251544,0.28264685649491395,4159,0.07481156944721655,58196,0.00012028684954649296,42788,0.6832960715426382,0.008224652796173244,19832,0.009069556734995633
disability_activity_level,6,1,7,Gradient Boosting,62691,0.008628569133999174,0.005752379422666116,0.038097417373707504,0.008263931382038694,0.047799211258191,0.3513920172150855,0.003638884958627134,0.02634175893868813,0.1605170684334919,0.005354321927332518,0.03708890360674313,0.27707753929630197,4161,0.0776895691462223,57805,0.00014738543952349823,43513,0.6940868705236797,0.008688569729040401,19178,0.008494701918407139
disability_activity_level,6,2,8,Gradient Boosting,62691,0.008312012324794874,0.005541341549863251,0.03553930010415286,0.007955574903274056,0.04451402473085234,0.38003811775934637,0.0036871302584912257,0.02488173177057581,0.17526317335910746,0.00498131948782447,0.03447501388016114,0.304357853740568,4159,0.07204026976268291,58161,0.00018604130840636822,42859,0.6836547510806974,0.008357638313564559,19832,0.008214263383142685
disability_activity_level,7,1,8,Gradient Boosting,62710,0.008057673098219186,0.005371782065479457,0.03487662288756436,0.0076597871428577624,0.04350792913608368,0.40886830389203976,0.003647963218556651,0.024828306529415287,0.1829789979290256,0.004807595835023961,0.03376020985265122,0.33213101696857117,4157,0.06930498915370999,58235,0.00020356623039138993,42878,0.6837505979907511,0.00819680107272004,19832,0.007759100760847445
