task,origin,horizon,forecast_year,selected_model,observations,total_variation,overall_mae,overall_rmse,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
age_days10p60gr,4,3,7,Naive baseline,31744,,,,,,,,,,,,,5503,0.0410458275558046,26135,0.0020029767394723,8605,0.2710748487903225,0.008573143358727,23139,0.0088750525398626,0.0087939498743821,0.0335950152412424,0.7309926950698544,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_days10p60gr,4,4,8,Naive baseline,31744,,,,,,,,,,,,,5717,0.0437322968614103,25974,0.0017531388164713,7861,0.2476373487903226,0.0102144321740388,23883,0.0090356857329821,0.0093261042180968,0.035109043981539,0.728863753984891,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_days10p60gr,5,1,6,Gradient Boosting,31744,,,,,,,,,,,,,4583,0.0367486501043584,27161,0.0025279404011753,7739,0.2437941028225806,0.0079279044870557,24005,0.0073204082415861,0.0074685122437184,0.0252118714999079,0.8115495515004909,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_days10p60gr,5,2,7,Gradient Boosting,31744,,,,,,,,,,,,,5503,0.0393156895043797,26135,0.0027126207188276,8605,0.2710748487903225,0.008879128852489,23139,0.0091527233550221,0.0090792269368848,0.0283211988314028,0.8088221141581536,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_days10p60gr,5,3,8,Gradient Boosting,31744,,,,,,,,,,,,,5717,0.0413642301419615,25974,0.0032839345336638,7861,0.2476373487903226,0.0107348934353651,23883,0.0099634958487479,0.0101535520904666,0.0315233864377797,0.78141754316897,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_days10p60gr,6,1,7,Naive baseline,31744,,,,,,,,,,,,,5503,0.0421219522397128,26135,0.0015911478133655,8605,0.2710748487903225,0.0079483093203596,23139,0.008895331274632,0.0086409302508833,0.0320167860569266,0.7556739034981168,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_days10p60gr,6,2,8,Naive baseline,31744,,,,,,,,,,,,,5717,0.0449760808731587,25974,0.0015197098581981,7861,0.2476373487903226,0.0096098686943731,23883,0.0092771989885283,0.0093591618506417,0.0349465769203598,0.7313673132836997,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_days10p60gr,7,1,8,Ridge Regression,31638,,,,,,,,,,,,,5716,0.0369781092043179,25869,0.0025639307309119,7755,0.2451166318983501,0.0103253149393963,23883,0.0082974341844245,0.0087919327620656,0.0297757896360448,0.8054374624230181,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_months12,4,1,5,Naive baseline,31744,,,,,,,,,,,,,10641,0.0412044491391369,21103,0.004840206734177,6944,0.21875,0.01597598979473,24800,0.0173250868091245,,,,0.0170299718372257,0.0464977394593271,0.8100780352663128,,,,,,,,,,,,,,,,,,,,,,,,
age_months12,4,2,6,Naive baseline,31744,,,,,,,,,,,,,9021,0.0484782662498861,22723,0.0060729996684911,7739,0.2437941028225806,0.0142485904164821,24005,0.0193730210403745,,,,0.0181237150739461,0.0493030380406607,0.7359504965012074,,,,,,,,,,,,,,,,,,,,,,,,
