task,origin,horizon,forecast_year,selected_model,primary_metric,original_known_covid_value,no_future_covid_value,absolute_change,percentage_change
age_days10p60gr,5,1,6,Gradient Boosting,days10p60gr_rate_mae,0.0074685122437184,0.007559545393072437,9.103314935403773e-05,1.2188926841567904
age_days10p60gr,5,2,7,Gradient Boosting,days10p60gr_rate_mae,0.0090792269368848,0.008979064807997126,-0.00010016212888767397,-1.1032010718969967
age_days10p60gr,5,3,8,Gradient Boosting,days10p60gr_rate_mae,0.0101535520904666,0.009992886529383302,-0.00016066556108329695,-1.5823581703406977
disability_days10p60gr,4,1,5,Gradient Boosting,participation_DAYS10P60GR_mae,0.0093546895428888,0.009354689542888886,8.673617379884035e-17,9.271945733867248e-13
disability_days10p60gr,4,2,6,Gradient Boosting,participation_DAYS10P60GR_mae,0.0098078437579257,0.009807843757925743,4.336808689942018e-17,4.4217758734558255e-13
disability_days10p60gr,4,3,7,Gradient Boosting,participation_DAYS10P60GR_mae,0.0093940438937005,0.00939404389370051,1.0408340855860843e-17,1.1079723464822763e-13
disability_days10p60gr,4,4,8,Gradient Boosting,participation_DAYS10P60GR_mae,0.0090069127103469,0.009006912710346957,5.724587470723463e-17,6.355771011466794e-13
disability_days10p60gr,5,1,6,Gradient Boosting,participation_DAYS10P60GR_mae,0.009025044779673,0.00901327875553523,-1.1766024137769768e-05,-0.13037081172461595
disability_days10p60gr,5,2,7,Gradient Boosting,participation_DAYS10P60GR_mae,0.0093352078195698,0.009393807991866787,5.860017229698637e-05,0.6277329163914304
disability_days10p60gr,5,3,8,Gradient Boosting,participation_DAYS10P60GR_mae,0.0088990149795657,0.00892678552028141,2.7770540715709932e-05,0.31206308540302313
