task,horizon,origins,observations,total_variation,overall_mae,overall_rmse,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error
disability_overall_level,1,4,2000,0.1972238496282908,0.13148256641886052,0.18721327015126626,0.15127567063031286,0.20476260971643465,0.10508487415280454,0.08366550312859257,0.13106595858700223,-0.03451635552359256,0.1595065254976762,0.2145703001908192,0.10339660587653521,1906,0.14337510665504113,83,0.5299460955466202,1302,0.651,0.25308883745657484,698,0.09389763288571948
disability_overall_level,2,3,1496,0.19073931351150317,0.12715954234100213,0.18112761410689168,0.1479378575106958,0.20003094347728997,0.12537509542246106,0.0786196092024713,0.12034756242058196,-0.016662477806156373,0.1549211603098393,0.20958464554249806,0.11923572531013404,1433,0.14037991016097018,57,0.5204932912454435,953,0.6370320855614974,0.24671360291904115,543,0.09311932811750975
disability_overall_level,3,2,997,0.1852844240514621,0.1235229493676414,0.175405681455931,0.1437695348072986,0.19466258940177755,0.1369726392935372,0.07561930069072785,0.1130725102228237,-0.011562243772943015,0.15118001260489775,0.2040160360862915,0.1357897271039049,962,0.1388145428378412,34,0.5010500689551448,620,0.6218655967903711,0.24171229931466848,377,0.0926349418553752
disability_overall_level,4,1,495,0.1810287477220227,0.12068583181468182,0.16837865516129996,0.14056225449159018,0.1895848181814569,0.1387739372674267,0.07774547428547106,0.10637072078825116,-0.013325343938726864,0.14374976666698414,0.19441445680780978,0.14809767641485638,477,0.13025720235105667,18,0.501302721039062,306,0.6181818181818182,0.23657940833964844,189,0.09108958291253341
