task,horizon,origins_original,observations_original,primary_metric_original,primary_value_original,positive_cell_mae_original,zero_cell_mae_original,small_n_rate_original,small_n_mean_error_original,large_n_mean_error_original,origins_no_covid_lookahead,observations_no_covid_lookahead,primary_metric_no_covid_lookahead,primary_value_no_covid_lookahead,positive_cell_mae_no_covid_lookahead,zero_cell_mae_no_covid_lookahead,small_n_rate_no_covid_lookahead,small_n_mean_error_no_covid_lookahead,large_n_mean_error_no_covid_lookahead,primary_value_change,primary_value_percentage_change
disability_activity_level,3,2,125612,total_variation,0.008712876873796,0.0766972541137088,0.0001551894384657,0.689440499315352,0.0084287532969494,0.0093369363568759,2,125612,total_variation,0.008713556949067128,0.07669725411370887,0.0001551894384657506,0.689440499315352,0.0084296473298027,0.00933693635687598,6.800752711273034e-07,0.007805404356999827
disability_activity_level,4,1,62992,total_variation,0.0084156668644427,0.0716584646679397,0.0002223669906282,0.6851663703327406,0.0081384369423775,0.0090152925959366,1,62992,total_variation,0.00841566686444272,0.07165846466793972,0.00022236699062821652,0.6851663703327406,0.008138436942377517,0.009015292595936612,1.9081958235744878e-17,2.2674326994059926e-13
disability_days10p60gr,1,4,251013,participation_DAYS10P60GR_mae,0.0091928807091126,0.0698354819209597,0.0029002482802106,0.6942508953719528,0.0101037017299039,0.0071553864162868,4,251013,participation_DAYS10P60GR_mae,0.009204900519234149,0.06985448599507305,0.002911552911188575,0.6942508953719528,0.01011632816497337,0.007165359592168905,1.2019810121548236e-05,0.13075129006768677
disability_days10p60gr,2,3,188303,participation_DAYS10P60GR_mae,0.0096384368966707,0.0714523856682658,0.0030848508362309,0.6944976978593013,0.0103461173642108,0.0080523036242465,3,188303,participation_DAYS10P60GR_mae,0.00963218850463504,0.07136316557188681,0.0030873834008059257,0.6944976978593013,0.010344498328691675,0.008035352832614298,-6.2483920356595085e-06,-0.0648278564527182
disability_days10p60gr,3,2,125612,participation_DAYS10P60GR_mae,0.0091605358042809,0.0683601549560189,0.0025196138121352,0.689440499315352,0.009670289134079,0.0080408948261447,2,125612,participation_DAYS10P60GR_mae,0.009161106599942716,0.06830740986300277,0.002525360568658032,0.689440499315352,0.009674924425273521,0.008031797909912637,5.707956618160315e-07,0.006231029210641667
disability_days10p60gr,4,1,62992,participation_DAYS10P60GR_mae,0.0090069127103469,0.0667516562909018,0.0025461341677525,0.6851663703327406,0.0095175384017469,0.0079024709479122,1,62992,participation_DAYS10P60GR_mae,0.009006912710346957,0.0667516562909018,0.0025461341677525747,0.6851663703327406,0.009517538401746998,0.007902470947912271,5.724587470723463e-17,6.355771011466794e-13
disability_months12,1,4,251013,participation_MONTHS_12_mae,0.0208668023825372,0.071984364591815,0.0092579659289781,0.6942508953719528,0.0231574066015828,0.0157427517547059,4,251013,participation_MONTHS_12_mae,0.020761405763299788,0.07197699861474957,0.009131163013099748,0.6942508953719528,0.02304323994681496,0.015656782099057697,-0.000105396619237412,-0.5050923342505762
disability_months12,2,3,188303,participation_MONTHS_12_mae,0.0212220988187444,0.0755661121391884,0.0090734597833372,0.6944976978593013,0.0230261873704942,0.0171785721007091,3,188303,participation_MONTHS_12_mae,0.021213247720667426,0.07557181312660277,0.009059475007121663,0.6944976978593013,0.023016704466491105,0.017172700824246954,-8.851098076974317e-06,-0.041706987384096963
disability_months12,3,2,125612,participation_MONTHS_12_mae,0.0224516862397017,0.0753074768798513,0.0098575011870225,0.689440499315352,0.0244732503678334,0.0180114483727264,2,125612,participation_MONTHS_12_mae,0.022436470857903706,0.07531853400967373,0.009836332751886832,0.689440499315352,0.024452462782905058,0.018006722381331542,-1.5215381797994976e-05,-0.0677694389434739
disability_months12,4,1,62992,participation_MONTHS_12_mae,0.022622932086715,0.0764146079054725,0.0096624030886014,0.6851663703327406,0.0245414818356076,0.0184732653118689,1,62992,participation_MONTHS_12_mae,0.022622932086715064,0.07641460790547257,0.009662403088601437,0.6851663703327406,0.02454148183560769,0.018473265311868912,6.245004513516506e-17,2.760475295412214e-13
disability_overall_level,1,4,2000,total_variation,0.1971981813699296,0.1433539752992736,0.5299933399562924,0.651,0.2530636373597601,0.093871098729713,4,2000,total_variation,0.19733291585327561,0.14339870137825897,0.5304570024848779,0.651,0.25320973427350274,0.09396248563068577,0.00013473448334602733,0.06832440462180285
disability_overall_level,2,3,1496,total_variation,0.1907304290870849,0.14039521128172,0.5204450022067967,0.6370320855614974,0.2467447611542478,0.0930406087047586,3,1496,total_variation,0.1907617707616193,0.14036822373243166,0.5205426554268068,0.6370320855614974,0.24675493283199973,0.09307981809761659,3.134167453439085e-05,0.016432445878932445
disability_overall_level,3,2,997,total_variation,0.1852952109095531,0.1388467442075348,0.5009840775671685,0.6218655967903711,0.241692920771403,0.0926952575820064,2,997,total_variation,0.18524671680297836,0.13880952650537046,0.5009309225760765,0.6218655967903711,0.24171622072397517,0.0925310525862586,-4.84941065747313e-05,-0.026171268181562665
disability_overall_level,4,1,495,total_variation,0.1810287477220227,0.1302572023510566,0.501302721039062,0.6181818181818182,0.2365794083396484,0.0910895829125334,1,495,total_variation,0.1810287477220227,0.13025720235105667,0.501302721039062,0.6181818181818182,0.23657940833964844,0.09108958291253341,0.0,0.0
