task,horizon,origins,observations,months12_rate_mae,months12_rate_rmse,months12_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error
age_months12,1,4,126870,0.016386742646684896,0.04417218980114152,0.8160720909267479,40917,0.04217010337433159,85794,0.004090104526383711,31043,0.2446835343264759,0.014277836428897541,95827,0.017066420186732528
age_months12,2,3,95232,0.017404836087494366,0.04638274199307936,0.7919112758130407,30277,0.045474721907756144,64796,0.0042887188429103495,24205,0.25416876680107525,0.01451061673022277,71027,0.018384666274112876
age_months12,3,2,63488,0.017706728432304256,0.04754492568610419,0.7925211932021182,21256,0.04429166036714882,42073,0.00427556561512801,16466,0.25935609879032256,0.015776251139542553,47022,0.018376208531259323
age_months12,4,1,31744,0.018540262954926143,0.047908295667038685,0.7982349672081812,10945,0.045294478247256555,20746,0.004425499319788944,7861,0.2476373487903226,0.017322518693764714,23883,0.01893837655837414
