task,origin,horizon,forecast_year,selected_model,observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
disability_overall_level,5,2,7,Gradient Boosting,502,0.18762206353614833,0.12508137569076555,0.18345293068397558,,,,,,,,,,484,0.144191231964057,17,0.5230094067886641,314,0.6254980079681275,0.24662498943406144,188,0.08938846882313345,0.14491858102907437,0.19923845047694017,0.14147834361783285,0.07328020435457779,0.12323621428593601,-0.018083529588887703,0.15704534168864448,0.2146667386197437,0.11983596367988036,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,5,3,8,Gradient Boosting,502,0.18122788004745086,0.1208185866983006,0.1692602727485788,,,,,,,,,,483,0.12884852858238788,19,0.5054975708109875,313,0.6235059760956175,0.23691683363601534,189,0.08900225849601869,0.14141458232457993,0.19193491264843293,0.12720895596419923,0.07793700814740928,0.1062959029088588,-0.0030365989765201995,0.14310416962291259,0.1944461111058762,0.15014732466942549,,,,,,,,,,,,,,,,,,,,,
age_activity_level,4,1,5,Random Forest,31744,0.007168391989837506,0.004778927993225003,0.022101849595324297,,,,,,,,,,3276,0.042070015477553936,28468,0.00010760618684099255,6944,0.21875,0.004141605117125675,24800,0.008015892314196818,,,,,,,,,,0.006786261553097711,0.028098417223666988,0.6738461582744355,0.0031123702204452403,0.014282348139160687,0.5118091062037684,0.004438152206132058,0.02172484172001163,0.5671977885281766,,,,,,,,,,,,
age_activity_level,4,2,6,Random Forest,31744,0.007549695730352053,0.0050331304869013676,0.02302018197918081,,,,,,,,,,3088,0.04527534334496335,28656,3.4810910738081054e-05,7739,0.24379410282258066,0.00472395559769141,24005,0.008460689393616402,,,,,,,,,,0.007201966567492022,0.029655038822980897,0.6425185479660412,0.0034616952527333398,0.016156809277478226,0.449954955276919,0.004435729640478744,0.021197229098221585,0.5658535883252431,,,,,,,,,,,,
age_activity_level,4,3,7,Random Forest,31744,0.008550802163551316,0.005700534775700878,0.024607957658177325,,,,,,,,,,3703,0.04101038217553482,27935,2.5389006501647274e-05,8605,0.27107484879032256,0.006211162706533596,23139,0.009410156316504928,,,,,,,,,,0.008279313204530138,0.03216440382016324,0.6702457783752394,0.003999903895420685,0.017919144802622595,0.39751270799012284,0.004822387227151809,0.02147114614444363,0.6851973716297561,,,,,,,,,,,,
age_activity_level,4,4,8,Random Forest,31744,0.009286301678499358,0.006190867785666238,0.027299685938735947,,,,,,,,,,3829,0.04293839940084166,27862,2.5437108881110875e-06,7861,0.2476373487903226,0.007248830133930237,23883,0.009952406347929314,,,,,,,,,,0.009072406510794181,0.03570674158929608,0.6275636370212698,0.004310016537013052,0.018889626020632242,0.36019217098177214,0.005190180309191482,0.024577005328899188,0.6372415824453619,,,,,,,,,,,,
age_activity_level,5,1,6,Gradient Boosting,31744,0.006562992450567635,0.004375328300378422,0.02004313756081189,,,,,,,,,,3088,0.03791825582863893,28656,0.0001806399642291865,7739,0.24379410282258066,0.00499172156562889,24005,0.007069556307203376,,,,,,,,,,0.0060629657231921555,0.025356068708270094,0.7386512908979352,0.003211330896258745,0.014988357690802064,0.5266360749816452,0.0038516882816843697,0.018373921825210474,0.6738016521774874,,,,,,,,,,,,
age_activity_level,5,2,7,Gradient Boosting,31744,0.008312919473877942,0.005541946315918628,0.023859506857713195,,,,,,,,,,3703,0.042134437409165226,27935,0.00015836954313740278,8605,0.27107484879032256,0.005875517935954446,23139,0.009208181830540361,,,,,,,,,,0.007816225526961058,0.029942946152810502,0.7142222511413003,0.003738247502794882,0.016469555262397597,0.4910477054784791,0.005071365917999943,0.023237941553169276,0.6312574931356529,,,,,,,,,,,,
age_activity_level,5,3,8,Gradient Boosting,31744,0.009161024723930943,0.006107349815953964,0.026887711807612968,,,,,,,,,,3829,0.04566878309237069,27862,5.384268709507653e-05,7861,0.2476373487903226,0.006831091828356753,23883,0.009922742935572835,,,,,,,,,,0.008734597259387234,0.03391375212525422,0.6640278187385085,0.004022277993639199,0.017547082625923714,0.44790645093488,0.005565174194835455,0.02666091609179194,0.5731161668999436,,,,,,,,,,,,
disability_activity_level,4,1,5,Gradient Boosting,62992,0.007923088285748161,0.005282058857165441,0.037171506217013116,,,,,,,,,,3600,0.07528969474546889,58648,0.0002843905643220384,43772,0.6948818897637795,0.0084256813945166,19220,0.006797928229343979,0.007471610099306495,0.04602989367281312,0.3346152359563709,0.0037523803955279746,0.0288218095531463,0.15166027561146622,0.004622186076661852,0.034579109385234584,0.25465346931860133,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,4,2,6,Gradient Boosting,62992,0.008023583110603751,0.0053490554070691676,0.036851748631076736,,,,,,,,,,3558,0.08122739992677083,58637,0.00036904507057684073,44475,0.7060420370840742,0.008123949148738391,18517,0.007786839155662624,0.007562024553532966,0.04560870753808895,0.3436748021046977,0.003490418864509252,0.025361476536234148,0.1430993180346517,0.004994722803165284,0.036753169062154506,0.2597610225797351,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,4,3,7,Gradient Boosting,62992,0.008932439218520641,0.0059549594790137585,0.03797104900633099,,,,,,,,,,4176,0.0785752623818941,58162,0.00019011243053523096,43814,0.6955486410972822,0.008629841471057484,19178,0.009613434044910763,0.008532683513861529,0.04731741089882658,0.37859146661410925,0.003891089740280394,0.027560042748938484,0.14198407218936326,0.005441105182899355,0.03642675331994137,0.31289344131455477,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,4,4,8,Gradient Boosting,62992,0.00841566686444272,0.005610444576295146,0.034782764051411924,,,,,,,,,,4159,0.07165846466793972,58568,0.00022236699062821652,43160,0.6851663703327406,0.008138436942377517,19832,0.009015292595936612,0.008006830359021735,0.04331932012739425,0.4148767725564849,0.0038656954488556095,0.025065665403443568,0.16677142317848226,0.004958807921008092,0.03353611406754707,0.3427558715974086,,,,,,,,,,,,,,,,,,,,,
