task,origin,horizon,forecast_year,selected_model,observations,total_variation,overall_mae,overall_rmse,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error
age_activity_level,4,1,5,Random Forest,31744,0.007168391989837505,0.004778927993225004,0.022101849595324297,0.006786261553097713,0.028098417223666988,0.6738461582744355,0.0031123702204452403,0.014282348139160687,0.5118091062037684,0.004438152206132059,0.021724841720011632,0.5671977885281765,3276,0.042070015477553936,28468,0.00010760618684099255,6944,0.21875,0.004141605117125675,24800,0.008015892314196818
age_activity_level,4,2,6,Random Forest,31744,0.007549695730352053,0.0050331304869013676,0.02302018197918081,0.007201966567492022,0.029655038822980897,0.6425185479660412,0.003461695252733339,0.016156809277478226,0.449954955276919,0.004435729640478744,0.021197229098221585,0.5658535883252431,3088,0.04527534334496335,28656,3.481091073808105e-05,7739,0.24379410282258066,0.004723955597691411,24005,0.008460689393616402
age_activity_level,4,3,7,Random Forest,31744,0.008550802163551316,0.005700534775700878,0.024607957658177325,0.008279313204530138,0.03216440382016323,0.6702457783752394,0.003999903895420685,0.01791914480262259,0.39751270799012295,0.004822387227151809,0.02147114614444363,0.6851973716297561,3703,0.04101038217553482,27935,2.5389006501647274e-05,8605,0.27107484879032256,0.006211162706533596,23139,0.009410156316504928
age_activity_level,4,4,8,Random Forest,31744,0.009286301678499358,0.006190867785666238,0.027299685938735947,0.009072406510794181,0.03570674158929608,0.6275636370212698,0.004310016537013052,0.018889626020632242,0.36019217098177214,0.005190180309191482,0.024577005328899188,0.6372415824453619,3829,0.04293839940084166,27862,2.5437108881110956e-06,7861,0.2476373487903226,0.007248830133930237,23883,0.009952406347929316
age_activity_level,5,1,6,Gradient Boosting,31744,0.006562992450567635,0.004375328300378422,0.02004313756081189,0.0060629657231921555,0.025356068708270094,0.7386512908979352,0.003211330896258745,0.014988357690802064,0.5266360749816452,0.0038516882816843697,0.018373921825210474,0.6738016521774874,3088,0.03791825582863893,28656,0.0001806399642291865,7739,0.24379410282258066,0.00499172156562889,24005,0.007069556307203376
age_activity_level,5,2,7,Gradient Boosting,31744,0.008312919473877942,0.005541946315918628,0.023859506857713195,0.007816225526961058,0.029942946152810502,0.7142222511413003,0.003738247502794882,0.016469555262397597,0.4910477054784791,0.005071365917999943,0.023237941553169276,0.6312574931356529,3703,0.042134437409165226,27935,0.00015836954313740278,8605,0.27107484879032256,0.005875517935954446,23139,0.009208181830540361
age_activity_level,5,3,8,Gradient Boosting,31744,0.009161024723930943,0.006107349815953964,0.026887711807612968,0.008734597259387234,0.03391375212525422,0.6640278187385085,0.004022277993639199,0.017547082625923714,0.44790645093488,0.005565174194835455,0.02666091609179194,0.5731161668999436,3829,0.04566878309237069,27862,5.384268709507653e-05,7861,0.2476373487903226,0.006831091828356753,23883,0.009922742935572835
age_activity_level,6,1,7,Gradient Boosting,31744,0.007998848107581136,0.005332565405054089,0.02322041383271952,0.007448988547187572,0.02894750243075695,0.7329075877848139,0.003629363625927426,0.0161002423793185,0.5136172529358847,0.004919344042047273,0.022811995836330787,0.644651520852476,3703,0.04078852050618458,27935,0.00016460767381027867,8605,0.27107484879032256,0.005773294603346209,23139,0.008816298266727715
age_activity_level,6,2,8,Gradient Boosting,31744,0.008798313681440033,0.005865542454293355,0.026224285712811223,0.008342061620767272,0.032897572347447106,0.6838600813801043,0.0038390338971261368,0.016911747046985365,0.4871624948183999,0.005415531844986656,0.02636061510861858,0.5826786039897924,3829,0.04400586938641267,27862,0.00011216516470095507,7861,0.2476373487903226,0.007057448992333649,23883,0.009367449530895404
age_activity_level,7,1,8,Gradient Boosting,31638,0.008342649480317243,0.005561766320211495,0.024558568178826713,0.00778050711373193,0.030363510084685068,0.7312423942787871,0.003790666231160663,0.01672940174920178,0.49974501350345046,0.00511412561574189,0.02464861427004107,0.6354431977752948,3828,0.0409207833917408,27757,0.00017598799400597376,7755,0.2451166318983501,0.006996144364165474,23883,0.008776882298832544
