task,horizon,origins,observations,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error
disability_days10p60gr,1,4,251013,0.009186269554039023,0.04367747199846746,0.5100713597179749,23355,0.06975146723076951,225074,0.0029016689704974264,174266,0.6942508953719528,0.01010053132993898,76747,0.007141078338616175
disability_days10p60gr,2,3,188303,0.009611170751081338,0.04385857231251503,0.508989060611472,17874,0.07112466203013032,168589,0.00308943954013803,130776,0.6944976978593013,0.010328686581785568,57527,0.008002993353551818
disability_days10p60gr,3,2,125612,0.009145785407153297,0.041283147388772666,0.5749453029480995,12577,0.06815775196358226,112116,0.0025259139937938596,86602,0.689440499315352,0.009664171484932801,39010,0.008007183143570093
disability_days10p60gr,4,1,62992,0.009006912710346957,0.04048185188931164,0.5770380806752706,6312,0.0667516562909018,56415,0.0025461341677525747,43160,0.6851663703327406,0.009517538401746998,19832,0.007902470947912271
