task,horizon,origins,observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error
age_overall_level,1,4,1024,0.11141271895344408,0.07427514596896272,0.10905517649598331,0.08459064329939031,0.12388474422865565,0.5158426689243065,0.04966564381635379,0.07418633928327208,-0.010102472662178785,0.08856915079114404,0.12177048810306222,0.5501861869266371,1001,0.08357241785712749,23,0.3060356580498646,220,0.21484375,0.21795613132278327,804,0.08225904890213237
age_overall_level,2,3,768,0.10849640504101292,0.07233093669400861,0.10501709843620058,0.08305835076341417,0.1203071578872201,0.5185315899101688,0.048090457327573645,0.06601619402240204,-0.03234348943647514,0.08584400199103802,0.11938937465190104,0.5490437775187587,752,0.0818208321099088,16,0.2749329864041112,164,0.21354166666666666,0.2051331590508759,604,0.08225728640257329
age_overall_level,3,2,512,0.10990995668460042,0.07327330445640028,0.10858030506202788,0.08418142107993032,0.1254262784479248,0.45830723204721535,0.04727695566502757,0.06607506836222407,-0.0308505629075031,0.08836153662424295,0.12357743304390233,0.5147354813487413,503,0.08484868623179789,9,0.2846908418908949,108,0.2109375,0.2088539507965956,404,0.08345958202099775
age_overall_level,4,1,256,0.11146665692625501,0.07431110461750334,0.11147184836040597,0.08866312048324877,0.12943468919118664,0.3982117819495967,0.04352551460139516,0.05924584459474289,-0.019036733786288895,0.0907446787678661,0.13043967978683677,0.4527817820907233,252,0.08777106354166976,4,0.27808243801823573,51,0.19921875,0.21925329236199873,205,0.08465144518370417
