year,LA_2023,age_group,volunteer_category,volunteer_category_label,volunteer_category_rate,inactive_rate,fairly_active_rate,active_rate,mean_number_activities_150,n_parent_cell,weighted_n_parent_cell,n,weighted_n,small_cell
3,8.0,16-24,0.0,not_twiceplus_volunteer,0.9874175647551763,0.3801674423918189,0.09384751477385066,0.5259850428343305,1.6539322297847416,18,44.980416663011866,17,44.41445348306433,True
3,8.0,16-24,1.0,twiceplus_volunteer,0.01258243524482387,0.0,0.0,1.0,2.0,18,44.980416663011866,1,0.5659631799475434,True
3,8.0,25-34,0.0,not_twiceplus_volunteer,0.9605362702395834,0.45357421739487014,0.01969238035843295,0.5267334022466968,0.9470321456577111,28,35.47135331678943,27,34.0715214152594,True
3,8.0,25-34,1.0,twiceplus_volunteer,0.039463729760416656,0.0,0.0,1.0,1.0,28,35.47135331678943,1,1.3998319015300371,True
3,8.0,35-44,0.0,not_twiceplus_volunteer,0.9434915607287944,0.38798293830581887,0.2311515991823632,0.3808654625118179,0.916251940373758,30,31.047452932728834,28,29.29300982415411,True
3,8.0,35-44,1.0,twiceplus_volunteer,0.05650843927120568,0.0,0.0,1.0,2.7275304242154172,30,31.047452932728834,2,1.7544431085747239,True
3,8.0,45-54,0.0,not_twiceplus_volunteer,0.9137696374271533,0.413726825581302,0.15428698282948633,0.4319861915892118,0.4669879743466839,27,32.40711170313673,25,29.612634711036506,True
3,8.0,45-54,1.0,twiceplus_volunteer,0.0862303625728465,0.0,0.0,1.0,1.4453338151176962,27,32.40711170313673,2,2.794476992100217,True
3,8.0,55-64,0.0,not_twiceplus_volunteer,1.0,0.7060542673359289,0.0,0.2939457326640711,0.19167873593094717,14,17.895605079964042,14,17.895605079964042,True
3,8.0,65-74,0.0,not_twiceplus_volunteer,0.6702327720029899,0.09826965317920494,0.178075516691731,0.7236548301290641,0.861514744855806,8,7.82279982561477,6,5.243096811946294,True
3,8.0,65-74,1.0,twiceplus_volunteer,0.3297672279970102,0.0,0.0,1.0,1.6288211291009929,8,7.82279982561477,2,2.5797030136684773,True
3,8.0,75-84,0.0,not_twiceplus_volunteer,1.0,0.0,0.0,1.0,0.19015286540652562,2,5.08813435094525,2,5.08813435094525,True
3,8.0,85+,0.0,not_twiceplus_volunteer,1.0,0.0,1.0,0.0,0.0,1,1.829726721279215,1,1.829726721279215,True
3,9.0,16-24,0.0,not_twiceplus_volunteer,0.9383541345476386,0.16480213890340736,0.06792532283793583,0.7672725382586567,2.06864414958079,9,17.285902617999007,8,16.22029819098722,True
3,9.0,16-24,1.0,twiceplus_volunteer,0.06164586545236136,0.0,0.0,1.0,11.0,9,17.285902617999007,1,1.0656044270117877,True
3,9.0,25-34,0.0,not_twiceplus_volunteer,0.9318112826952648,0.07759767430288325,0.18628697418275394,0.7361153515143628,1.7763303775764452,25,67.84766899126397,24,63.221223470633426,True
3,9.0,25-34,1.0,twiceplus_volunteer,0.06818871730473511,0.0,0.0,1.0,0.0,25,67.84766899126397,1,4.626445520630542,True
3,9.0,35-44,0.0,not_twiceplus_volunteer,0.9652576617558251,0.5341101981555287,0.14220586686297776,0.32368393498149334,0.5414370524255766,32,73.82496514522634,30,71.26011323528647,False
3,9.0,35-44,1.0,twiceplus_volunteer,0.03474233824417513,0.0,0.0,1.0,4.355859732167997,32,73.82496514522634,2,2.564851909939893,True
3,9.0,45-54,0.0,not_twiceplus_volunteer,0.9106381315848554,0.08619144739456752,0.15081529352879472,0.7629932590766376,1.49025772333719,26,44.63805147833079,24,40.64911179581574,True
3,9.0,45-54,1.0,twiceplus_volunteer,0.08936186841514457,0.0,0.0,1.0,1.681956701286229,26,44.63805147833079,2,3.9889396825150456,True
3,9.0,55-64,0.0,not_twiceplus_volunteer,0.8927873889937601,0.33851226193943873,0.009885279985434923,0.6516024580751263,1.1897722348774655,24,39.9603985053813,18,35.67613984476952,True
3,9.0,55-64,1.0,twiceplus_volunteer,0.10721261100624001,0.0,0.0,1.0,1.786111283305219,24,39.9603985053813,6,4.28425866061178,True
3,9.0,65-74,0.0,not_twiceplus_volunteer,0.7987118287771608,0.2238025027482248,0.29003622469989837,0.48616127255187697,0.8928727081407788,24,49.76611242622839,20,39.748782667082665,True
3,9.0,65-74,1.0,twiceplus_volunteer,0.2012881712228391,0.14865504981676517,0.0,0.8513449501832347,0.8513449501832347,24,49.76611242622839,4,10.01732975914572,True
3,9.0,75-84,0.0,not_twiceplus_volunteer,1.0,0.09097116255657481,0.0,0.9090288374434252,2.309350816074236,5,14.383661941464633,5,14.383661941464633,True
3,9.0,85+,0.0,not_twiceplus_volunteer,1.0,0.0,0.0,1.0,6.0,1,2.5876282960675128,1,2.5876282960675128,True
3,17.0,16-24,0.0,not_twiceplus_volunteer,0.934970417968774,0.2612119102462434,0.36875200277380965,0.37003608697994705,0.0,7,9.670754906406195,6,9.041869756916173,True
