year,LA_2023,age_group,top_months12_activity,top_months12_rate,top_days10p60gr_activity,top_days10p60gr_rate
1,78.0,25-34,WALKTRAV_B02,0.8390362371467663,ACTTRAV_C03,0.4541819675009541
1,78.0,35-44,ACTTRAV_C03,0.8334216022496399,ACTTRAV_C03,0.4277643853322959
1,78.0,45-54,ACTTRAV_C03,0.7543527117532839,ACTTRAV_C03,0.5310151646136082
1,78.0,55-64,WALKTRAV_B02,0.7074349086235213,ACTTRAV_C03,0.4067975994800664
1,78.0,65-74,GARD_B08,0.6983313993473363,WALKTRAV_B02,0.6112757928599195
1,78.0,75-84,GARD_B08,0.526631881028584,ACTTRAV_C03,0.3309799790975231
1,78.0,85+,ACTTRAV_C03,0.424492658230715,ACTTRAV_C03,0.35517489549048803
1,91.0,16-24,WALKTRAV_B02,0.8563566352609909,ACTTRAV_C03,0.5022963583909136
1,91.0,25-34,ACTTRAV_C03,0.7704265000984367,ACTTRAV_C03,0.41588224744136887
1,91.0,35-44,ACTTRAV_C03,0.7481980370016142,ACTTRAV_C03,0.39654516478328666
1,91.0,45-54,ACTTRAV_C03,0.6805912446913261,ACTTRAV_C03,0.44370427900565984
1,91.0,55-64,ACTTRAV_C03,0.6847883367757797,ACTTRAV_C03,0.30906796848981444
1,91.0,65-74,GARD_B08,0.7128600747104368,GARD_B08,0.537783722087289
1,91.0,75-84,GARD_B08,0.590916115777884,GARD_B08,0.3592511414935494
1,91.0,85+,GARD_B08,0.49918969304049543,BOWLSFLATGREEN_U20,0.3563555115550068
1,107.0,16-24,ACTTRAV_C03,0.8873753850250858,ACTTRAV_C03,0.4936597796276383
1,107.0,25-34,ACTTRAV_C03,0.8446828832467628,ACTTRAV_C03,0.4295809593031574
1,107.0,35-44,ACTTRAV_C03,0.7924705165261867,ACTTRAV_C03,0.5096099015393412
1,107.0,45-54,ACTTRAV_C03,0.8298625387038495,ACTTRAV_C03,0.4796976799443267
1,107.0,55-64,ACTTRAV_C03,0.7593872927011217,ACTTRAV_C03,0.3331885324156143
1,107.0,65-74,GARD_B08,0.6406593897819612,ACTTRAV_C03,0.46213124588164634
1,107.0,75-84,GARD_B08,0.631823184642834,GARD_B08,0.5008999932241053
1,107.0,85+,GARD_B08,0.5610804742094716,GARD_B08,0.25202674296850786
1,109.0,16-24,ACTTRAV_C03,0.9177364460667141,ACTTRAV_C03,0.5027363636699477
1,109.0,25-34,ACTTRAV_C03,0.943082189482597,ACTTRAV_C03,0.7004708388949679
1,109.0,35-44,ACTTRAV_C03,0.8179438976793558,ACTTRAV_C03,0.5849555579943851
1,109.0,45-54,ACTTRAV_C03,0.9087153205876295,ACTTRAV_C03,0.6790646438991008
1,109.0,55-64,ACTTRAV_C03,0.7076436872881284,ACTTRAV_C03,0.45539963714268034
1,109.0,65-74,WALKTRAV_B02,0.6966178237796852,ACTTRAV_C03,0.5438243674289057
1,109.0,75-84,ACTTRAV_C03,0.4736052870367106,GARD_B08,0.4457777296994366
1,109.0,85+,ABSEILING_H03,0.0,ABSEILING_H03,0.0
1,112.0,16-24,ACTTRAV_C03,0.9255161723639471,ACTTRAV_C03,0.6128697609434264
1,112.0,25-34,ACTTRAV_C03,0.955665064130237,ACTTRAV_C03,0.5019266346474542
1,112.0,35-44,ACTTRAV_C03,0.8889588508743838,ACTTRAV_C03,0.5622901067360354
1,112.0,45-54,ACTTRAV_C03,0.8591524686423437,ACTTRAV_C03,0.48366549037214224
1,112.0,55-64,ACTTRAV_C03,0.7078184732454843,ACTTRAV_C03,0.34753896307649357
1,112.0,65-74,ACTTRAV_C03,0.7559584116955615,ACTTRAV_C03,0.5479937793890067
1,112.0,75-84,GARD_B08,0.7097911270948865,GARD_B08,0.44341329270339136
1,112.0,85+,ACTTRAV_C03,0.5272815657521378,GARD_B08,0.2638597061197103
1,114.0,16-24,WALKTRAV_B02,0.904703863562365,ACTTRAV_C03,0.604465485571553
1,114.0,25-34,ACTTRAV_C03,0.8223225841010767,ACTTRAV_C03,0.5266346244339581
1,114.0,35-44,ACTTRAV_C03,0.8546859487472949,ACTTRAV_C03,0.4431988307053645
1,114.0,45-54,ACTTRAV_C03,0.8152687999900002,ACTTRAV_C03,0.4946803082945363
1,114.0,55-64,ACTTRAV_C03,0.813899731808419,ACTTRAV_C03,0.4734543061256228
1,114.0,65-74,ACTTRAV_C03,0.7148741954428336,ACTTRAV_C03,0.5559409672262542
1,114.0,75-84,GARD_B08,0.5960405732681386,GARD_B08,0.4118040911233133
1,114.0,85+,GARD_B08,0.4366769075791889,GARD_B08,0.3279043923322725
1,117.0,16-24,ACTTRAV_C03,0.7986877254540165,ACTTRAV_C03,0.350816997387052
1,117.0,25-34,WALKTRAV_B02,0.9059050246361774,ACTTRAV_C03,0.4928949246897535
1,117.0,35-44,ACTTRAV_C03,0.6823707015184243,ACTTRAV_C03,0.3733536816707152
1,117.0,45-54,GARD_B08,0.6526371452124189,ACTTRAV_C03,0.31665390296394735
1,117.0,55-64,ACTTRAV_C03,0.6069765086800669,ACTTRAV_C03,0.321417106385557
1,117.0,65-74,GARD_B08,0.7263955069639404,GARD_B08,0.5466938795856174
1,117.0,75-84,ACTTRAV_C03,0.548440634420108,GARD_B08,0.3448095975449343
1,117.0,85+,GARD_B08,0.43064257629279146,GARD_B08,0.43064257629279146
1,122.0,16-24,ACTTRAV_C03,0.8444899298244758,WALKTRAV_B02,0.3247986722836082
1,122.0,25-34,ACTTRAV_C03,0.8661572653932847,ACTTRAV_C03,0.4481701739939795
1,122.0,35-44,ACTTRAV_C03,0.7656689710086496,ACTTRAV_C03,0.4722932386506442
1,122.0,45-54,ACTTRAV_C03,0.621201229323036,ACTTRAV_C03,0.33628408442221447
1,122.0,55-64,GARD_B08,0.7392247134395223,ACTTRAV_C03,0.371035360886221
1,122.0,65-74,GARD_B08,0.7897050921140584,GARD_B08,0.5147657625014447
1,122.0,75-84,GARD_B08,0.6712079263957387,GARD_B08,0.5231430881723923
1,122.0,85+,GARD_B08,1.0,GARD_B08,0.3645281406486983
1,126.0,16-24,ACTTRAV_C03,0.8249822844211036,ACTTRAV_C03,0.5364608645373007
1,126.0,25-34,ACTTRAV_C03,0.7687775070933758,ACTTRAV_C03,0.406114021694963
1,126.0,35-44,ACTTRAV_C03,0.7298181005914037,ACTTRAV_C03,0.33431599372387166
1,126.0,45-54,ACTTRAV_C03,0.662903482002652,ACTTRAV_C03,0.3711777796609327
1,126.0,55-64,ACTTRAV_C03,0.7892662586916539,ACTTRAV_C03,0.3528066253055429
1,126.0,65-74,GARD_B08,0.6953840872206694,GARD_B08,0.6103343764953721
1,126.0,75-84,GARD_B08,0.7258166646557012,GARD_B08,0.6058011188923246
1,126.0,85+,GARD_B08,0.6053283920199551,GARD_B08,0.4103207835483778
1,129.0,16-24,ACTTRAV_C03,0.9084285504129693,ACTTRAV_C03,0.3820797025501241
1,129.0,25-34,ACTTRAV_C03,0.81221184587553,ACTTRAV_C03,0.3730058686548964
1,129.0,35-44,ACTTRAV_C03,0.7463037956953441,ACTTRAV_C03,0.46794093468882525
