year,activity_level_3cat,activity_level_3cat_label,n,n_frequent,weighted_n,weighted_frequent,sum_weight_squared,n_not_frequent,frequent_volunteer_rate,effective_n,small_cell,few_frequent_cases,year_label
3,0,inactive,948,39,1692.6700718882312,78.49605193725503,5588.432373685235,909,0.0463741004469288,512.6897456534358,False,False,Year 3
3,1,fairly_active,552,37,931.6356052862427,70.07583459079119,3030.6222237336765,515,0.07521807259530465,286.3916506121868,False,False,Year 3
3,2,active,3582,414,5512.591998220687,693.2225422438787,15699.408469757567,3168,0.1257525575024656,1935.6570406704,False,False,Year 3
4,0,inactive,1042,41,1858.2654414455308,71.2360769692955,5669.662829518777,1001,0.038334715472016466,609.0574615640496,False,False,Year 4
4,1,fairly_active,652,49,1105.1254110758612,78.14887085680306,3322.275249396446,603,0.07071493431747589,367.6101715014323,False,False,Year 4
4,2,active,3761,461,6028.147783179522,814.6152396789172,17451.204201361692,3300,0.13513524700770552,2082.295598433072,False,False,Year 4
5,0,inactive,2538,202,4497.166882844285,340.51044479871484,14384.8994219642,2336,0.0757166575467075,1405.9542148254943,False,False,Year 5
5,1,fairly_active,1267,120,2023.9787115561182,213.31831916986607,6196.789788148218,1147,0.10539553501818118,661.0664497071016,False,False,Year 5
5,2,active,7872,1081,12062.697804828,1684.1281162076018,35958.072338730315,6791,0.13961454920420396,4046.620657522716,False,False,Year 5
6,0,inactive,2736,145,4722.463914751583,259.97574680349703,13732.471730072262,2591,0.055050869947657954,1624.0095639369276,False,False,Year 6
6,1,fairly_active,1270,80,1998.100167537132,133.5549648919637,5521.820017432832,1190,0.06684097577379426,723.0232544537075,False,False,Year 6
6,2,active,7924,817,12255.289577348438,1261.7650079128514,31653.256727119086,7107,0.10295676817339208,4744.918474565286,False,False,Year 6
7,0,inactive,2646,177,4492.428600763599,267.5567005339088,12726.20764797989,2469,0.05955725161406703,1585.8545838015136,False,False,Year 7
7,1,fairly_active,1242,99,2013.9178457137134,171.4253942806634,5473.099413221408,1143,0.08512035118290134,741.0545256105489,False,False,Year 7
7,2,active,8193,1051,12898.515618981686,1822.4662133633904,34138.33960293403,7142,0.1412927089595811,4873.456269642817,False,False,Year 7
8,0,inactive,2769,226,4542.016936920582,386.76557386128536,12444.425627285225,2543,0.08515282510670391,1657.763762920562,False,False,Year 8
8,1,fairly_active,1262,120,1847.9521445760813,178.06721915880524,4453.70704175827,1142,0.09635921562224962,766.7606101220268,False,False,Year 8
8,2,active,8594,1236,12783.104327924113,1896.0805332293219,31782.768095675994,7358,0.14832707960361552,5141.394725805007,False,False,Year 8
