year,age_group_code,age_group,inactive,fairly_active,active,active_inactive_gap,fairly_inactive_gap
3,2.0,16-24,0.07499267888420404,0.1565246701144393,0.18920049501985045,0.11420781613564641,0.08153199123023526
3,3.0,25-34,0.05463098255447868,0.048758373646259276,0.0932973946628564,0.03866641210837772,-0.005872608908219404
3,4.0,35-44,0.041061952816385916,0.05516891015421325,0.09579958281970716,0.05473763000332124,0.014106957337827332
3,5.0,45-54,0.05191895707824272,0.06370349495555629,0.17560857509919675,0.12368961802095403,0.011784537877313567
3,6.0,55-64,0.03192774940581968,0.0772246872846813,0.10932232052371874,0.07739457111789905,0.045296937878861625
3,7.0,65-74,0.015284030852003808,0.11729522675183536,0.10457716322161943,0.08929313236961563,0.10201119589983156
3,8.0,75-84,0.051737928360123316,0.04869169142656143,0.15478308728205592,0.10304515892193261,-0.0030462369335618883
3,9.0,85+,0.04181696139090962,0.11739141136968476,0.0,-0.04181696139090962,0.07557444997877513
4,2.0,16-24,0.0906885118311681,0.055520100639036674,0.18425025988084,0.0935617480496719,-0.03516841119213143
4,3.0,25-34,0.028346354982884386,0.06172583730565072,0.114442338770849,0.08609598378796461,0.03337948232276633
4,4.0,35-44,0.06035410472113953,0.06399945989870996,0.11458389375861727,0.054229789037477744,0.0036453551775704335
4,5.0,45-54,0.027664519654830213,0.09439815042002779,0.15754024953712292,0.1298757298822927,0.06673363076519757
4,6.0,55-64,0.03193046274284671,0.06834114939196059,0.09893533554091719,0.06700487279807048,0.036410686649113885
4,7.0,65-74,0.006326223725297933,0.10703155124291268,0.14064770051012865,0.13432147678483072,0.10070532751761474
4,8.0,75-84,0.0,0.05462747193502162,0.1752890597126388,0.1752890597126388,0.05462747193502162
4,9.0,85+,0.1317803186017708,0.05319917320877238,0.1734271262906864,0.0416468076889156,-0.07858114539299843
5,2.0,16-24,0.11660977946887845,0.1417531990795922,0.1771783275282177,0.06056854805933924,0.025143419610713744
5,3.0,25-34,0.07386493464498574,0.08614203176146316,0.11391748754080455,0.04005255289581881,0.012277097116477426
5,4.0,35-44,0.07788246511013892,0.10357491525766038,0.11859842782468157,0.04071596271454264,0.02569245014752146
5,5.0,45-54,0.05293574947754742,0.11740011657492014,0.17755583383526166,0.12462008435771424,0.06446436709737272
5,6.0,55-64,0.07915603787765359,0.10103504290690092,0.12666604829850261,0.04751001042084903,0.021879005029247334
5,7.0,65-74,0.03497492956264205,0.07643902267316287,0.1561408891609183,0.12116595959827625,0.041464093110520815
5,8.0,75-84,0.07049278199382929,0.12765449255634087,0.13543149038933786,0.06493870839550857,0.05716171056251158
5,9.0,85+,0.13135250893214578,0.0,0.16099810907542925,0.029645600143283463,-0.13135250893214578
6,2.0,16-24,0.10548729780491455,0.0813719406931273,0.14338072221874434,0.0378934244138298,-0.02411535711178725
6,3.0,25-34,0.04632376751117088,0.0952553319763998,0.06853696944529626,0.022213201934125383,0.04893156446522893
6,4.0,35-44,0.04520136627684916,0.07791521793715009,0.09349877370418537,0.04829740742733621,0.03271385166030093
6,5.0,45-54,0.043624609855012646,0.05511123286121994,0.11324825233088764,0.06962364247587499,0.011486623006207293
6,6.0,55-64,0.0696338716065421,0.035734413046779115,0.10023774474955226,0.030603873143010163,-0.03389945855976298
6,7.0,65-74,0.028059179371028437,0.048759696262205963,0.11529659763612596,0.08723741826509752,0.020700516891177526
6,8.0,75-84,0.037972082121970736,0.0205894345542025,0.15823368185485825,0.12026159973288753,-0.017382647567768236
6,9.0,85+,0.07959414735217968,0.0,0.0,-0.07959414735217968,-0.07959414735217968
7,2.0,16-24,0.10924682021267992,0.14021963350789704,0.16481356636269756,0.05556674615001764,0.030972813295217116
7,3.0,25-34,0.04791634356158549,0.04640761914180472,0.10942829453679526,0.06151195097520977,-0.0015087244197807687
7,4.0,35-44,0.04880600179462129,0.09231058302377623,0.1293936411055161,0.08058763931089481,0.043504581229154946
7,5.0,45-54,0.05519706202299993,0.08023678611306209,0.17711613636643572,0.1219190743434358,0.02503972409006216
7,6.0,55-64,0.05159403607189104,0.12745652622312312,0.1486016518944535,0.09700761582256248,0.07586249015123209
7,7.0,65-74,0.06369543675745358,0.08897482541642412,0.1347419961352429,0.07104655937778932,0.025279388658970545
7,8.0,75-84,0.06612116865866619,0.0373851864141535,0.1701951581624547,0.10407398950378852,-0.028735982244512688
7,9.0,85+,0.013468861984230295,0.0,0.047398628065224185,0.03392976608099389,-0.013468861984230295
8,2.0,16-24,0.11248751089949899,0.1319089488322037,0.1934244208399729,0.08093690994047392,0.019421437932704705
8,3.0,25-34,0.1176552703431097,0.10972771264292656,0.11756747288262084,-8.779746048885595e-05,-0.007927557700183135
8,4.0,35-44,0.08371086152837304,0.10369465540610413,0.14441040484457102,0.06069954331619798,0.019983793877731096
8,5.0,45-54,0.07267387969343087,0.0863517094408995,0.17229879907064713,0.09962491937721626,0.013677829747468631
8,6.0,55-64,0.05399102675950731,0.05325231853348732,0.1441072160188922,0.09011618925938489,-0.000738708226019992
8,7.0,65-74,0.08034098889963291,0.09614119226266248,0.14968859187329833,0.06934760297366542,0.015800203363029564
8,8.0,75-84,0.07293787136209852,0.09860306659500592,0.11978647334334404,0.04684860198124552,0.025665195232907403
8,9.0,85+,0.026054294356009252,0.0,0.1420031635005291,0.11594886914451985,-0.026054294356009252
