LA_2023,average_inactive_rate,average_fairly_active_rate,average_active_rate,average_active_inactive_gap,average_fairly_inactive_gap,observed_years
8,0.04305513434626281,0.046380650155108755,0.12910813791917908,0.08605300357291625,0.0033255158088459423,6
9,0.04446361687337782,0.0850378945860885,0.1380964025471655,0.09363278567378767,0.04057427771271067,6
17,0.09943560651133547,0.05358011788838096,0.13196059474270766,0.0325249882313722,-0.045855488622954486,6
30,0.06699070998332186,0.15613697293711884,0.1286090714959959,0.061618361512674046,0.08914626295379696,6
35,0.06382134979954043,0.10211225566835558,0.17263750388789822,0.10881615408835778,0.03829090586881514,6
44,0.067158357264047,0.06269001041760645,0.10130550019372657,0.03414714292967958,-0.004468346846440541,6
68,0.040253542348237394,0.09521809882824006,0.17379159091580584,0.13353804856756843,0.05496455648000267,6
78,0.05002258514014868,0.060305387991971195,0.15836846096294233,0.10834587582279365,0.010282802851822521,6
91,0.06848549618637341,0.09027992748767806,0.1180962729600674,0.049610776773693986,0.02179443130130465,6
107,0.04357229198882196,0.08450883118851847,0.12315352287210612,0.07958123088328416,0.04093653919969651,6
109,0.043250841347184994,0.02465388010933141,0.09931719232743291,0.056066350980247905,-0.018596961237853586,6
112,0.025383279224232155,0.06936080530821838,0.11607359311204829,0.09069031388781612,0.043977526083986224,6
114,0.08299246127445795,0.09489616658501421,0.13006685978319676,0.047074398508738825,0.011903705310556264,6
117,0.06553697541317033,0.10076784686794434,0.1542910345415199,0.08875405912834959,0.03523087145477402,6
122,0.06777441012173602,0.06259206551080583,0.13707840097578364,0.06930399085404763,-0.005182344610930184,6
126,0.05371029520764928,0.11505692720894518,0.14997870680627776,0.09626841159862848,0.06134663200129593,6
129,0.08823316898021911,0.10363968640488454,0.1579243511736025,0.06969118219338338,0.015406517424665428,6
135,0.03293579880700196,0.05287990681842028,0.11755209137596678,0.08461629256896482,0.019944108011418323,6
136,0.07862241995858579,0.0666688641922864,0.12400600720685177,0.04538358724826599,-0.011953555766299384,6
139,0.07659812350096629,0.1287936963652528,0.1728886678619761,0.0962905443610098,0.05219557286428652,6
142,0.04813177266882276,0.11830843417485336,0.11980944619494778,0.07167767352612504,0.0701766615060306,6
147,0.05313595823131594,0.10591528099826762,0.0940917384765329,0.04095578024521697,0.052779322766951665,6
160,0.09009291054336327,0.04102940531950613,0.12941392235432297,0.039321011810959705,-0.04906350522385714,6
171,0.08240598309416099,0.07958678756946524,0.11548559072793448,0.033079607633773496,-0.0028191955246957418,6
196,0.03536113315255857,0.08713972298040946,0.13821030322876024,0.10284917007620166,0.051778589827850906,6
201,0.05939817210894824,0.0846603479699159,0.17651868309759108,0.11712051098864283,0.025262175860967656,6
241,0.061467347925522865,0.08973777720152482,0.12224291940927051,0.060775571483747654,0.028270429276001947,6
255,0.07044516694664961,0.04802303724196646,0.13640039924983363,0.06595523230318402,-0.02242212970468316,6
272,0.06609138241013546,0.032732799619811966,0.10002098523960866,0.03392960282947321,-0.03335858279032349,6
279,0.051575187540475166,0.0730186971900487,0.11245693703157983,0.06088174949110465,0.021443509649573544,6
280,0.04566529357428705,0.12149018615948985,0.14028080262924927,0.0946155090549622,0.0758248925852028,6
293,0.055463071691118894,0.01339978733993089,0.11087607827076412,0.055413006579645215,-0.04206328435118801,6
