year,LA_2023,activity_level_3cat,activity_level_3cat_label,n,n_frequent,weighted_n,weighted_frequent,sum_weight_squared,n_not_frequent,frequent_volunteer_rate,effective_n,small_cell,few_frequent_cases
3,8,0,inactive,41,0,69.10612786532026,0.0,255.7271500833592,41,0.0,18.674813788763828,False,True
3,8,1,fairly_active,16,0,18.94249946257092,0.0,33.184976970678115,16,0.0,10.812672439295275,True,True
3,8,2,active,71,8,88.49397326557897,9.094418195821,181.30841236415534,63,0.1027687859435102,43.19260867278561,False,False
3,9,0,inactive,28,1,72.91363166632058,1.4891266543767714,440.9812284237449,27,0.020423158473185904,12.055836711632697,True,True
3,9,1,fairly_active,17,0,41.0244288105175,0.0,181.12800275232996,17,0.0,9.291792178211763,True,True
3,9,2,active,101,15,196.35632892512385,25.058303305477995,623.9434812072202,86,0.1276164788914618,61.79375066849447,False,False
3,17,0,inactive,27,1,38.876664444555615,6.631478919268229,101.59158820619564,26,0.1705773634136176,14.877167145639733,True,True
3,17,1,fairly_active,13,0,15.736739209246759,0.0,29.42758689813314,13,0.0,8.415401568504235,True,True
3,17,2,active,97,12,153.33690007870965,19.254487231457222,418.6359677079319,85,0.12556982188614527,56.16384338517194,False,False
3,30,0,inactive,42,2,78.13046299254367,2.984271824532302,244.68556780298303,40,0.038196008448293774,24.947810785245732,False,True
3,30,1,fairly_active,17,2,24.696194751891824,7.507641330868527,75.72346991395432,15,0.30399992412974525,8.054332902552007,True,True
3,30,2,active,101,9,180.57164295895979,17.472631795357252,569.1063016875562,92,0.09676287765365474,57.29354629216365,False,False
3,35,0,inactive,22,1,42.07041868106981,2.8873044537775954,134.39263755631532,21,0.06863027619634267,13.169770012578612,True,True
3,35,1,fairly_active,26,4,66.9840887689958,8.718729899509928,404.62799292616813,22,0.1301612078291863,11.088872313961287,True,True
3,35,2,active,102,18,203.01044663190072,36.835376758382836,715.6628674531062,84,0.18144572050113694,57.587508470787476,False,False
3,44,0,inactive,25,2,42.2600838196602,2.7509806488766184,131.0375793656868,23,0.0650964314367216,13.629026826424738,True,True
3,44,1,fairly_active,23,3,34.679481859418374,3.434625538619255,85.55767763279135,20,0.09903912499449491,14.056791807738207,True,True
3,44,2,active,120,6,188.79479914735603,8.707220484093178,510.7860412870343,114,0.046120023027208044,69.78161755415078,False,False
3,68,0,inactive,25,2,56.135126295761694,2.542612598428869,237.91318139380792,23,0.045294502145278706,13.244967705362836,True,True
3,68,1,fairly_active,15,1,30.769424443086756,2.406594058841611,87.58652319478581,14,0.07821381460329271,10.809396765907781,True,True
3,68,2,active,111,22,252.58732575883843,63.33662565487001,1026.142535549622,89,0.2507514003903015,62.17494638776361,False,False
3,78,0,inactive,25,1,61.14376229539701,0.8987475751489985,275.17890068144527,24,0.014698924982845838,13.58592413291117,True,True
3,78,1,fairly_active,13,1,30.9858938385605,1.072905684132591,111.2753163153726,12,0.03462561673135954,8.628379129953558,True,True
3,78,2,active,115,14,240.27806440618102,42.02602717902046,931.0099335891979,101,0.17490580042286774,62.01174246574197,False,False
3,91,0,inactive,31,1,70.96024461957073,2.4535756244823723,253.79766316727773,30,0.034576763899791856,19.840042077733866,False,True
3,91,1,fairly_active,17,2,33.25750260293038,1.8497148316454877,98.34838081226155,15,0.055617971491416375,11.246361864312698,True,True
3,91,2,active,106,10,190.1123646772699,13.633799730109068,627.0607197079117,96,0.07171442927057098,57.638295729987256,False,False
3,107,0,inactive,27,1,48.27733379238598,6.697976140686128,191.99060661354716,26,0.13873956191305853,12.139661409544168,True,True
3,107,1,fairly_active,19,1,33.05035889322665,2.566215338285766,117.64176210333527,18,0.07764561185481368,9.28519093425002,True,True
3,107,2,active,120,15,163.81274494011654,30.466697744505446,429.0078000253095,105,0.18598490462779843,62.55041377623567,False,False
3,109,0,inactive,24,1,57.130623634945145,4.960261628386498,237.06488170342303,23,0.08682316615484047,13.767995214917676,True,True
3,109,1,fairly_active,16,1,25.574539725676406,0.9781060523309962,64.13468826173586,15,0.03824530422922898,10.19817979797409,True,True
3,109,2,active,132,10,189.88558747080873,11.16213240300856,553.780470525499,122,0.0587834629878085,65.10980117250979,False,False
3,112,0,inactive,28,1,44.730020659108455,0.3442233896652665,149.7623334569965,27,0.007695578597842021,13.359665958588858,True,True
3,112,1,fairly_active,14,3,19.265552436016023,4.032153891906608,51.2892305253922,11,0.20929344773777112,7.236636363283494,True,True
3,112,2,active,104,7,110.17700632927395,10.04574340496792,182.46478618568324,97,0.09117822075275224,66.52775572448145,False,False
3,114,0,inactive,27,0,54.46156854597784,0.0,187.53238127255247,27,0.0,15.816268253840812,True,True
3,114,1,fairly_active,18,0,33.471844930308265,0.0,112.34430542453518,18,0.0,9.972596286076852,True,True
3,114,2,active,122,21,155.35539866573927,26.75712027427431,327.1390530598478,101,0.17223167333788378,73.7768837711204,False,False
3,117,0,inactive,52,2,76.9371075855872,5.188961474337383,208.46326109504466,50,0.06744419743834304,28.395020266604313,False,True
3,117,1,fairly_active,24,1,40.45926107796075,1.3098048075424742,131.07232217914083,23,0.03237342385019385,12.488920465888395,True,True
3,117,2,active,98,16,141.16461399506855,21.584732497610382,360.8824696661274,82,0.15290469677028568,55.218665131649935,False,False
3,122,0,inactive,28,3,48.08719720183204,4.4345391910234095,118.68270570111869,25,0.09221870786959613,19.483702541726657,True,True
3,122,1,fairly_active,19,1,31.88800229456293,1.605342083088647,82.97782773053484,18,0.05034313746779823,12.25441443996568,True,True
3,122,2,active,107,17,163.1974638116195,32.188208916948945,556.1970663806575,90,0.19723473738601796,47.88484838270818,False,False
3,126,0,inactive,38,1,72.36812270969848,2.085999275233461,239.3463161256706,37,0.028824836089798193,21.881035268477557,False,True
3,126,1,fairly_active,17,2,25.806607761426275,5.402457186642387,62.845789371240286,15,0.20934394929338845,10.597066419486735,True,True
3,126,2,active,104,15,155.07670700216002,25.173531846261998,357.66456495252436,89,0.16232954860146317,67.23837755027807,False,False
3,129,0,inactive,42,3,78.57596468004853,5.400799649126429,203.7976637210685,39,0.068733481938374,30.295647715818,False,True
3,129,1,fairly_active,19,2,27.817709573747507,4.648159576171109,63.62342966586496,17,0.16709354031640802,12.162578628554092,True,True
3,129,2,active,95,9,149.4679318221343,17.58475192782375,395.1673546973376,86,0.11764899476062511,56.534686829829624,False,False
3,135,0,inactive,17,0,27.281306645046733,0.0,69.3350378260093,17,0.0,10.734395128315295,True,True
3,135,1,fairly_active,20,1,21.997714265094764,0.3411540971480281,47.14337491583586,19,0.015508615715104545,10.264420690131962,True,True
3,135,2,active,114,11,155.5173415796945,13.91682452351032,385.05934021582175,103,0.08948728406843733,62.81017237098981,False,False
3,136,0,inactive,30,0,33.56186919870821,0.0,82.90662063198813,30,0.0,13.586358429818771,False,True
3,136,1,fairly_active,8,0,5.698950007763456,0.0,6.011315948294314,8,0.0,5.402815534958298,True,True
3,136,2,active,112,9,116.1965409721362,15.268149835665184,207.97254298494633,103,0.13139934896449687,64.92028197619634,False,False
3,139,0,inactive,20,2,20.078741228737933,3.510048001396839,32.87691808496268,18,0.17481414603685622,12.262580339457571,True,True
3,139,1,fairly_active,15,3,13.85845591130359,3.440122811410806,20.246226022038545,12,0.24823276369518804,9.486054341015782,True,True
3,139,2,active,115,23,119.59468853253468,27.751493889200933,220.73242297712994,92,0.23204620731673536,64.7974109661085,False,False
3,142,0,inactive,27,0,50.576753948437016,0.0,156.4181145873293,27,0.0,16.353656011705635,True,True
3,142,1,fairly_active,16,0,31.577423000230954,0.0,101.91882512798703,16,0.0,9.783606140311568,True,True
3,142,2,active,127,15,258.5925659543839,28.49624028789767,840.8180743224409,112,0.11019744586518566,79.52982602182824,False,False
3,147,0,inactive,26,0,46.58567098010338,0.0,126.50781987499637,26,0.0,17.154866337992917,True,True
3,147,1,fairly_active,9,0,26.85764866428628,0.0,212.9490366563818,9,0.0,3.387351749039346,True,True
3,147,2,active,108,11,207.19899576941654,14.08768735028167,717.4843335213634,97,0.06799109859566739,59.83604357902874,False,False
3,160,0,inactive,27,4,38.01209529249043,8.744634933819661,86.6397209489006,23,0.23004874807696352,16.677331975452397,True,True
3,160,1,fairly_active,16,0,19.697194879220262,0.0,34.3678615286739,16,0.0,11.289020289676177,True,True
3,160,2,active,126,13,138.61080402816606,18.20328123208528,257.0267392737153,113,0.1313265683704304,74.75080237809118,False,False
3,171,0,inactive,37,1,80.17521032080732,3.190935559118025,300.58812919045675,36,0.03979952838726639,21.38495744092668,False,True
3,171,1,fairly_active,21,1,55.035300949757044,0.8865330541135773,221.90656378809427,20,0.016108443831767415,13.649367999419377,True,True
3,171,2,active,109,14,198.33674960346812,24.509437571048725,673.9631182861044,95,0.1235748675928697,58.36738714027025,False,False
3,196,0,inactive,38,2,72.10721847313155,3.7677280441495538,203.65078047130459,36,0.05225174571882116,25.531210555142227,False,True
