age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,average_annual_rate,observed_years,median_effective_n
2.0,16-24,0,inactive,0.10158543318355734,6,173.19675876332713
2.0,16-24,1,fairly_active,0.1178830821443827,6,65.04461640085889
2.0,16-24,2,active,0.17537463197505385,6,477.83569635530876
3.0,25-34,0,inactive,0.06145627559970248,6,265.50772419215343
3.0,25-34,1,fairly_active,0.07466948441241737,6,145.88995816911705
3.0,25-34,2,active,0.10286499297320373,6,1038.4069241432262
4.0,35-44,0,inactive,0.05950279204125131,6,352.7976704139946
4.0,35-44,1,fairly_active,0.08277729027960234,6,167.9991387150841
4.0,35-44,2,active,0.11604745400954641,6,1018.8752560261009
5.0,45-54,0,inactive,0.05066912963034397,6,218.1594129653098
5.0,45-54,1,fairly_active,0.08286691506094762,6,124.2708105099938
5.0,45-54,2,active,0.16222797437325864,6,777.6026733198338
6.0,55-64,0,inactive,0.053038864077376735,6,196.53747346244742
6.0,55-64,1,fairly_active,0.07717402289782206,6,81.46188152850067
6.0,55-64,2,active,0.12131171950433943,6,562.7826114040022
7.0,65-74,0,inactive,0.03811346486134312,6,171.97360462497346
7.0,65-74,1,fairly_active,0.08910691910153391,6,78.14041246318533
7.0,65-74,2,active,0.13351548975622227,6,429.2557951908137
8.0,75-84,0,inactive,0.049876972082781336,6,85.79776411315605
8.0,75-84,1,fairly_active,0.0645918905802143,6,34.20303458452927
8.0,75-84,2,active,0.1522864917907816,6,139.32754709129796
9.0,85+,0,inactive,0.0706778487695409,6,30.800751626148685
9.0,85+,1,fairly_active,0.02843176409640952,6,6.1068473346799035
9.0,85+,2,active,0.08730450448864484,6,15.64261190492872
