calendar_year,geography_code,geography_name,adult_population,population_age_16_34_rate,population_age_65_plus_rate,population_female_rate,net_migration_per_1000,median_weekly_earnings_gbp,earnings_relative_to_london,economic_inactivity_rate,earnings_confidence_pct,economic_inactivity_confidence_pp
2017,E09000005,Brent,273233,0.382446483404274,0.13525818623665517,0.5068458055944927,-5.1279205931567375,471.0,0.8418477951778919,0.258,4.7,3.4
2018,E09000005,Brent,276406,0.3783275326874236,0.13692901022409065,0.5094679565566594,-3.1253798204642926,479.9,0.8378174231823476,0.247,3.9,3.8
2019,E09000005,Brent,279142,0.37660760473164195,0.13819847962685658,0.5112165134590997,-6.40715667311412,524.0,0.8843463868942496,0.23,4.0,4.8
2020,E09000005,Brent,276930,0.3686527281262413,0.14119091467157766,0.5135160509876142,-19.805923462446366,531.8,0.891557231605421,0.267,6.3,5.9
2021,E09000005,Brent,274588,0.3621170626538669,0.14527583142744765,0.5147930718021181,-22.172569919351034,555.7,0.8980222066752496,0.239,5.2,5.9
2022,E09000005,Brent,276336,0.36785290371142376,0.14723018354467027,0.5178623125470442,-0.7379101330873633,556.6,0.8613695513313776,0.23199999999999998,4.0,7.1
2023,E09000005,Brent,282958,0.3796146424557708,0.1472232628163897,0.5180450808953979,13.774870896427537,634.6,0.9173602294538068,0.29100000000000004,3.8,8.4
2015,E09000006,Bromley,261757,0.27842999423129083,0.2167506504124054,0.5272256329343628,7.597043478794913,583.8,1.0978165266174658,0.201,4.0,3.2
2016,E09000006,Bromley,262813,0.2726996000958857,0.21812086921118817,0.5282995894419226,1.2938623928520205,584.3,1.0843754662120844,0.191,4.6,3.4
2017,E09000006,Bromley,263570,0.2687976628599613,0.2182911560496263,0.5284440566073528,-0.17622001980956084,608.0,1.0867164744546884,0.182,4.8,3.5
2018,E09000006,Bromley,264167,0.2655971412023455,0.2183580840907456,0.5284157370148429,-0.5206331140822177,632.7,1.104578211392939,0.183,4.3,3.5
2019,E09000006,Bromley,265346,0.2637348970777777,0.2192156655838038,0.5283780422542642,-1.4281745935892172,638.3,1.077248661745419,0.191,5.0,3.5
2020,E09000006,Bromley,265671,0.2610710239356196,0.21893620304813097,0.5289286372995171,-2.632476671486836,613.2,1.0280234945852655,0.19699999999999998,7.0,3.9
2021,E09000006,Bromley,265195,0.2592394275910179,0.22006825166386998,0.5290107279549011,-6.771769541586971,666.6,1.0772388032566516,0.14400000000000002,5.5,3.7
2022,E09000006,Bromley,265233,0.25520957045314874,0.2214882763457036,0.5300660174261875,-3.112781499105871,704.2,1.0897887855687318,0.158,4.8,4.2
2023,E09000006,Bromley,267404,0.2536012924264409,0.2218702786794513,0.5293712883876083,5.642410716971145,718.0,1.037920965565448,0.17800000000000002,6.3,5.0
2015,E09000007,Camden,185003,0.43105246941941483,0.13640319346172763,0.5159754166148657,10.871728980419125,588.1,1.1059025339221167,0.27899999999999997,6.4,3.9
2016,E09000007,Camden,185120,0.42872191011235955,0.13619273984442523,0.5172374675885912,11.365281598378457,632.5,1.1738276268682926,0.268,5.7,3.9
2017,E09000007,Camden,183471,0.4233857121833968,0.1374386142769157,0.5198532738143903,0.6991632889006686,614.3,1.097976858976176,0.289,4.1,4.1
2018,E09000007,Camden,183304,0.42304586915724696,0.13750381879282503,0.5234746650373151,7.769084275979166,634.4,1.1075460997434494,0.244,6.2,4.1
2019,E09000007,Camden,183111,0.42296202849637654,0.1383587004603765,0.5258449792748661,9.408849753150099,662.0,1.1172467712289949,0.258,6.7,4.3
2020,E09000007,Camden,181377,0.4193034397966666,0.1386945423069077,0.5286723233927124,2.5283096178201596,623.0,1.0444530938137973,0.266,7.1,5.3
2021,E09000007,Camden,178637,0.4185862951124347,0.14002138414774096,0.5334169293035598,-2.0714041940009857,695.0,1.1231337657716365,0.256,5.9,6.9
2022,E09000007,Camden,184773,0.436687178321508,0.137287374237578,0.5378924409951671,24.72487025654238,699.2,1.082051006631152,0.254,5.6,5.9
2023,E09000007,Camden,185365,0.4368570118415019,0.139244193887735,0.5399455129069674,-4.4974336547978,732.1,1.0583035360591426,0.254,6.1,6.8
2015,E09000008,Croydon,299098,0.3347397842847495,0.16362530006887374,0.5243866558786752,-1.9067502104768974,492.2,0.9255657663602547,0.213,3.8,3.4
2016,E09000008,Croydon,301529,0.33034633484673115,0.1646143488685997,0.5261881941703783,-2.411663397349512,512.3,0.9507539814144289,0.183,3.7,3.2
2017,E09000008,Croydon,302707,0.3241451304396661,0.16714182361161123,0.5262217259594261,-7.05454564316967,538.5,0.9624947721938318,0.196,3.9,3.2
2018,E09000008,Croydon,304478,0.3207588068760305,0.16837669716695458,0.5267145737951511,-5.736448931392587,550.6,0.9612466622300493,0.209,3.7,3.6
2019,E09000008,Croydon,308234,0.3206524912890856,0.16931616888467851,0.5270216783352907,0.28414690651054797,561.7,0.9479720716001909,0.21,3.8,3.5
2020,E09000008,Croydon,310313,0.31833664719170646,0.17002510368563353,0.527409422099622,-3.876552214863007,565.1,0.9473843391880847,0.18899999999999997,4.8,4.0
2021,E09000008,Croydon,310583,0.31603790291162104,0.17204418786604547,0.5270925968259692,-11.382396830231563,613.3,0.9911049475507117,0.215,4.1,4.1
2022,E09000008,Croydon,313110,0.31531410686340267,0.17405065312509982,0.5261122289291303,1.532218515196406,667.0,1.0322197102731383,0.215,4.5,4.5
2023,E09000008,Croydon,320227,0.3195982849666018,0.1730491182817189,0.5249338750323989,16.35684220209489,678.0,0.9800980705478742,0.177,3.3,4.6
2015,E09000009,Ealing,284847,0.36844340997096686,0.13989264412122998,0.5067843438758352,-3.9315706234825027,495.7,0.9321474002128773,0.226,4.2,3.3
2016,E09000009,Ealing,287513,0.36099585062240663,0.14148925439893154,0.5078622531850734,-7.543564638022106,498.3,0.9247720260371071,0.213,3.6,3.5
2017,E09000009,Ealing,288098,0.35294934362612723,0.1442391130795771,0.508278433033204,-15.024678082002923,517.2,0.9244239483354686,0.205,3.0,3.9
2018,E09000009,Ealing,290068,0.3470599997242026,0.1463967069790532,0.5099942082546162,-11.128256380969116,524.3,0.9153316836309748,0.214,4.4,4.5
2019,E09000009,Ealing,293263,0.3438722239082325,0.14774792592314748,0.5106883582313486,-6.806721773886148,532.2,0.898185395238778,0.23600000000000002,3.9,4.7
2020,E09000009,Ealing,294810,0.33936433635222685,0.1490451477222618,0.5118856212475832,-10.469212036875978,566.8,0.9502343717073197,0.19,4.5,4.7
2021,E09000009,Ealing,295424,0.3361981423310225,0.15160244259098787,0.5123077339688041,-16.36483605171746,582.6,0.9414931394799358,0.193,4.3,4.7
2022,E09000009,Ealing,298583,0.33912513438474395,0.154285408077486,0.5132777150742005,4.1613221176565895,597.4,0.9245098274620283,0.205,3.3,5.8
2023,E09000009,Ealing,306562,0.34918874485422197,0.15392644880970244,0.5125521101767342,17.25724743738842,623.1,0.9007361471362543,0.14800000000000002,3.5,8.1
2015,E09000010,Enfield,255435,0.34159766672539005,0.16408479652357744,0.5281852526082956,3.5905557503294365,473.6,0.8905890836006027,0.244,4.9,3.7
2016,E09000010,Enfield,257541,0.3370259492663304,0.1646068004706047,0.5285954469385457,-3.0453502152747567,463.9,0.8609306499671161,0.253,4.5,3.9
2017,E09000010,Enfield,257292,0.3271963372355145,0.16712528955428074,0.5294684638465246,-10.66720307916788,479.8,0.8575765862555256,0.265,4.4,4.0
