year,LA_2023,age_group,overall_inactive_rate,overall_fairly_active_rate,overall_active_rate,n_overall_activity_level,weighted_n_overall_activity_level,n_eff_overall_activity_level,small_cell_overall_activity_level
1,8.0,16-24,0.1838520859450248,0.1068981369629996,0.7092497770919756,104,102.48853511013836,69.60164737434837,False
1,8.0,25-34,0.3695520755188503,0.10586159941190879,0.5245863250692407,203,159.68369515408892,113.09860237409335,False
1,8.0,35-44,0.2507623966181311,0.15158975300278157,0.5976478503790875,226,132.44725946580166,124.13563507932831,False
1,8.0,45-54,0.23200809036421985,0.10445883696920678,0.6635330726665735,152,97.90650473519705,87.68661998375518,False
1,8.0,55-64,0.37460244820958294,0.13951099407223086,0.4858865577181863,163,94.40292313249967,76.05151620073784,False
1,8.0,65-74,0.47331823805417544,0.10101454660252392,0.4256672153433009,100,31.917826828374483,69.49409043010684,False
1,8.0,75-84,0.4226554275281821,0.08420433546719175,0.4931402370046261,43,22.782312080028355,30.93910094995281,False
1,8.0,85+,0.6865970598774765,0.028192010400293368,0.2852109297222303,20,8.352755891121694,12.78911327710107,True
1,9.0,16-24,0.16619807462347624,0.14013498502837993,0.6936669403481438,73,147.00844554600334,50.7808931932099,False
1,9.0,25-34,0.16297655663593,0.17219313396818745,0.6648303093958825,117,244.5185709366564,61.30184628975497,False
1,9.0,35-44,0.18644871240510982,0.1914739585312603,0.6220773290636298,197,244.96810771463058,104.23143716735251,False
1,9.0,45-54,0.22258652492591,0.13585687264559432,0.6415566024284958,151,183.64560862097272,83.42265566355812,False
1,9.0,55-64,0.17716940686195376,0.2357220799915932,0.5871085131464531,171,194.16283448000465,90.38645975637529,False
1,9.0,65-74,0.2376420942887015,0.1741824513862608,0.5881754543250376,154,147.3494088420013,106.30005541376151,False
1,9.0,75-84,0.5133566110119901,0.12820937970570007,0.35843400928231,95,126.33744663880546,74.27647236663323,False
1,9.0,85+,0.6274193446916856,0.225840039959699,0.1467406153486153,29,34.060002791595046,22.837655478289197,True
1,17.0,16-24,0.1704606822995266,0.07445257271422955,0.7550867449862438,43,113.29741733058978,29.75964649248823,False
1,17.0,25-34,0.09406469146483683,0.21674898001298654,0.6891863285221768,60,145.993575285047,25.204981453308676,False
1,17.0,35-44,0.19928270702374337,0.12397202015032636,0.6767452728259306,88,141.853825514077,51.44884834982643,False
1,17.0,45-54,0.13685814636949264,0.1943363248429405,0.6688055287875667,103,165.38160862749484,69.47952834887145,False
1,17.0,55-64,0.28637804646902854,0.07823237826705008,0.6353895752639215,75,110.36690458719013,43.085719044937996,False
1,17.0,65-74,0.33031323143759067,0.07308928567419648,0.5965974828882128,89,89.96825135782247,62.37858859885877,False
1,17.0,75-84,0.3753651361728447,0.2566205982588873,0.36801426556826783,43,59.43108916846588,32.96809214273681,False
1,17.0,85+,0.9418062095868512,0.0,0.05819379041314894,9,8.24599952200656,7.431511741211583,True
1,30.0,16-24,0.225196343587319,0.17173065260929726,0.6030730038033837,55,214.32165102884414,31.294630417938357,False
1,30.0,25-34,0.18215354282653634,0.22016563695332492,0.5976808202201388,79,245.8692113659564,42.19239298709418,False
1,30.0,35-44,0.36651737568517634,0.1417524673575216,0.49173015695730204,104,217.62352532415133,51.21545213540061,False
1,30.0,45-54,0.2539983017132565,0.07327807675667167,0.672723621530072,92,171.46728930083003,46.264379402552414,False
1,30.0,55-64,0.21339269265417313,0.15633434138962057,0.6302729659562066,70,106.6688738673194,44.61524326076181,False
1,30.0,65-74,0.2444834879908477,0.2563533816138416,0.4991631303953105,50,79.49978480503673,32.76630731738497,False
1,30.0,75-84,0.535286622284903,0.06682765580132623,0.39788572191377075,22,39.2400701073934,14.820469212959695,True
1,30.0,85+,0.8135328735631389,0.12454119301690156,0.0619259334199595,12,14.5748333403307,10.875018224364117,True
1,35.0,16-24,0.11035866782982826,0.07697878406460389,0.8126625481055678,40,171.2730616051032,26.48437209815519,False
1,35.0,25-34,0.040447833823500444,0.18312687509635472,0.7764252910801447,80,252.5313448545409,41.67298979208507,False
1,35.0,35-44,0.12160481326299397,0.13271277190702782,0.7456824148299782,96,192.8119953500637,49.682762643850474,False
1,35.0,45-54,0.1660269469723591,0.11193509300356655,0.7220379600240743,78,145.12317973077174,44.69290726076437,False
1,35.0,55-64,0.29050855624547056,0.09463548622951048,0.614855957525019,93,173.15259200485622,51.589064019888376,False
1,35.0,65-74,0.18123039812577213,0.15434408740979622,0.6644255144644317,62,93.93053703999003,49.506250127942124,False
1,35.0,75-84,0.3653514655127097,0.07936276194931016,0.55528577253798,46,88.21376826842905,39.88774240889127,False
1,35.0,85+,0.6022684252405287,0.18693299760037396,0.21079857715909736,10,20.879793411564542,8.489850352548402,True
1,44.0,16-24,0.29435928479827067,0.08967152477662851,0.6159691904251009,41,125.69516912616481,25.921577634199853,False
1,44.0,25-34,0.08495328798702172,0.16051684332992128,0.7545298686830569,73,156.96534955973283,45.57300380643906,False
1,44.0,35-44,0.24757471366118625,0.08604363553486254,0.6663816508039513,116,194.40911824871768,47.96606154665121,False
1,44.0,45-54,0.18440350230456795,0.062335578426050094,0.7532609192693821,89,137.47038541577564,50.16367819685992,False
1,44.0,55-64,0.20304489943862622,0.11212106841998017,0.6848340321413935,75,85.09204716763851,33.62583770721571,False
1,44.0,65-74,0.2357245712429895,0.16625807182066868,0.5980173569363418,79,100.27809654812694,56.446165786651015,False
1,44.0,75-84,0.4455725260038924,0.11227483410844744,0.4421526398876602,29,52.98305275873237,18.633895672385037,True
