year,LA_2023,age_group_code,age_group,inactive,fairly_active,active,active_inactive_gap,fairly_inactive_gap
3,8,2,16-24,0.0,0.0,0.0237833877058286,0.0237833877058286,0.0
3,8,3,25-34,0.0,0.0,0.0709000769069476,0.0709000769069476,0.0
3,8,4,35-44,0.033739405703353,0.0673416950932945,0.116861479435362,0.083122073732009,0.0336022893899415
3,8,5,45-54,0.0966511647118181,0.0,0.2018099118950315,0.1051587471832134,-0.0966511647118181
3,8,6,55-64,0.0,0.0,0.0793289922040168,0.0793289922040168,0.0
3,8,7,65-74,0.0,0.0,0.2272536976867994,0.2272536976867994,0.0
3,8,8,75-84,0.0,0.0,0.0,0.0,0.0
3,8,9,85+,0.0,0.0,0.0,0.0,0.0
3,9,2,16-24,0.0,0.0,0.2236800297254468,0.2236800297254468,0.0
3,9,3,25-34,0.0,0.0,0.090296010515271,0.090296010515271,0.0
3,9,4,35-44,0.0446302820953957,0.0,0.0899747331193789,0.0453444510239832,-0.0446302820953957
3,9,5,45-54,0.0,0.0,0.0830848805996432,0.0830848805996432,0.0
3,9,6,55-64,0.0,0.0,0.1414875266376248,0.1414875266376248,0.0
3,9,7,65-74,0.2871109503012912,0.1261351769815877,0.2619113913303,-0.025199558970991187,-0.1609757733197035
3,9,8,75-84,0.0,0.0,0.08117827056859,0.08117827056859,0.0
3,9,9,85+,0.0,,0.0,0.0,
3,17,2,16-24,0.0,0.0,0.4446252721459363,0.4446252721459363,0.0
3,17,3,25-34,0.0,0.0,0.0908182697451865,0.0908182697451865,0.0
3,17,4,35-44,0.0,0.0779816743949736,0.1068993988278453,0.1068993988278453,0.0779816743949736
3,17,5,45-54,0.0,0.0,0.2037766628279673,0.2037766628279673,0.0
3,17,6,55-64,0.0,0.0,0.1595949285141022,0.1595949285141022,0.0
3,17,7,65-74,0.0,0.0,0.1562924975345531,0.1562924975345531,0.0
3,17,8,75-84,0.2650162238450454,0.0,0.0,-0.2650162238450454,-0.2650162238450454
3,17,9,85+,0.0,0.0,0.739343094093329,0.739343094093329,0.0
3,30,2,16-24,0.1966328601411888,0.7570418384043015,0.0465298197776044,-0.1501030403635844,0.5604089782631128
3,30,3,25-34,0.0,0.0,0.1464186250551407,0.1464186250551407,0.0
3,30,4,35-44,0.0891423819451029,0.0,0.1292015660952429,0.04005918415013998,-0.0891423819451029
3,30,5,45-54,0.073530486345465,0.1957085347812676,0.1773377177370398,0.1038072313915748,0.1221780484358026
3,30,6,55-64,0.0,0.1127071488540489,0.1339730423130143,0.1339730423130143,0.1127071488540489
3,30,7,65-74,0.0,0.0,0.0,0.0,0.0
3,30,8,75-84,0.0,0.0,0.0,0.0,0.0
3,30,9,85+,0.0,,,,
3,35,2,16-24,0.0,,0.0,0.0,
3,35,3,25-34,0.0,0.0,0.4663588010410205,0.4663588010410205,0.0
3,35,4,35-44,0.0,0.266567250804946,0.0877834261602968,0.0877834261602968,0.266567250804946
3,35,5,45-54,0.0,0.4133639977012316,0.216365830467817,0.216365830467817,0.4133639977012316
3,35,6,55-64,0.6978475912617349,0.0,0.1194633591293126,-0.5783842321324223,-0.6978475912617349
3,35,7,65-74,0.0,0.0,0.0659120707784285,0.0659120707784285,0.0
3,35,8,75-84,0.0536892727190929,0.1008735339650309,0.2971615029515813,0.24347223023248837,0.047184261245938004
3,35,9,85+,0.0,0.0,0.0,0.0,0.0
3,44,2,16-24,0.0,1.0,0.1377981917990861,0.1377981917990861,1.0
3,44,3,25-34,0.0,0.0,0.0,0.0,0.0
3,44,4,35-44,0.2221790990316329,0.1581851711545929,0.0,-0.2221790990316329,-0.06399392787704
3,44,5,45-54,0.0,0.0,0.12174026289593,0.12174026289593,0.0
3,44,6,55-64,0.0,0.0,0.1020740380488244,0.1020740380488244,0.0
3,44,7,65-74,0.1489186320805532,0.1361744504766053,0.1340776596281468,-0.014840972452406398,-0.012744181603947885
3,44,8,75-84,0.0,0.0,0.0,0.0,0.0
3,44,9,85+,0.260376522199288,,0.0,-0.260376522199288,
3,68,2,16-24,0.0,0.4329658232368615,0.5700568069660763,0.5700568069660763,0.4329658232368615
3,68,3,25-34,0.0,0.0,0.1192871156205983,0.1192871156205983,0.0
3,68,4,35-44,0.0634736811962981,0.0,0.1907639815620192,0.1272903003657211,-0.0634736811962981
3,68,5,45-54,0.0,0.0,0.20033539046264,0.20033539046264,0.0
3,68,6,55-64,0.3038932310178521,0.0,0.1718654524686126,-0.1320277785492395,-0.3038932310178521
3,68,7,65-74,0.0,0.394673848530558,0.0955660757086404,0.0955660757086404,0.394673848530558
3,68,8,75-84,0.1730028610910444,0.0,0.3465186549210588,0.17351579383001442,-0.1730028610910444
3,68,9,85+,0.0,0.0,0.206762769263075,0.206762769263075,0.0
3,78,2,16-24,0.0995351762187942,0.0,0.4267276723754135,0.3271924961566193,-0.0995351762187942
3,78,3,25-34,0.0,0.0,0.0592777449506448,0.0592777449506448,0.0
3,78,4,35-44,0.0,0.0,0.1610234545442091,0.1610234545442091,0.0
3,78,5,45-54,0.0,0.061912468963851,0.2766069788714345,0.2766069788714345,0.061912468963851
3,78,6,55-64,0.0,0.5109411390965964,0.0889194990466038,0.0889194990466038,0.5109411390965964
3,78,7,65-74,0.0555447295623292,0.0,0.0369165883508369,-0.018628141211492297,-0.0555447295623292
3,78,8,75-84,0.0,0.0,0.2778497386318888,0.2778497386318888,0.0
3,78,9,85+,0.0,0.0,0.0,0.0,0.0
3,91,2,16-24,0.0,0.0,0.1932268510458399,0.1932268510458399,0.0
3,91,3,25-34,0.1263570286301884,0.0,0.0135647547473675,-0.11279227388282091,-0.1263570286301884
3,91,4,35-44,0.0,0.0652021524570092,0.0768667379380871,0.0768667379380871,0.0652021524570092
3,91,5,45-54,0.0,0.0,0.2023406098486778,0.2023406098486778,0.0
