LA_2023,activity_level_3cat,activity_level_3cat_label,observed_years,complete_historical_period,historical_slope,year3_rate,year8_rate,year3_year8_change,slope_pp_per_year,year3_year8_change_pp,borough_name
8,0,inactive,6,True,-0.0027878389509519903,0.0231164005672671,0.0175194032821311,-0.005596997285136001,-0.278783895095199,-0.5596997285136001,Barking and Dagenham
8,1,fairly_active,6,True,-0.004774877828726805,0.023984931543089,0.0168301970950098,-0.007154734448079198,-0.4774877828726805,-0.7154734448079199,Barking and Dagenham
8,2,active,6,True,0.009172736514977882,0.1021765993007995,0.1185985169727892,0.016421917671989694,0.9172736514977883,1.6421917671989694,Barking and Dagenham
9,0,inactive,6,True,-0.0021610100848366075,0.0505670752687516,0.0483307067831903,-0.002236368485561302,-0.21610100848366073,-0.2236368485561302,Barnet
9,1,fairly_active,6,True,0.020895492743830887,0.027299221437975,0.1206854881522925,0.0933862667143175,2.0895492743830886,9.33862667143175,Barnet
9,2,active,6,True,-0.00109418373602975,0.127925134019996,0.1310947179168555,0.003169583896859507,-0.109418373602975,0.3169583896859507,Barnet
17,0,inactive,6,True,0.01972825224352538,0.050931551094978,0.1057139951343908,0.05478244403941279,1.972825224352538,5.478244403941279,Bexley
17,1,fairly_active,6,True,0.014079748987506852,0.0226118613791712,0.103573297523188,0.0809614361440168,1.4079748987506853,8.09614361440168,Bexley
17,2,active,6,True,-0.0032889104146958726,0.1532981435109962,0.1355511808738733,-0.017746962637122887,-0.32889104146958725,-1.7746962637122887,Bexley
30,0,inactive,6,True,0.003955470279796978,0.0460436205574064,0.0620616884622956,0.016018067904889202,0.3955470279796978,1.6018067904889202,Brent
30,1,fairly_active,6,True,-0.014113259000628136,0.2512635198983421,0.0835581063579768,-0.16770541354036533,-1.4113259000628136,-16.770541354036535,Brent
30,2,active,6,True,-0.0009003402668618733,0.114587005068852,0.1182017667594987,0.0036147616906467006,-0.09003402668618733,0.36147616906467006,Brent
35,0,inactive,6,True,-0.003527873656982999,0.0724038211705157,0.0795567706428596,0.007152949472343892,-0.35278736569829994,0.7152949472343892,Bromley
35,1,fairly_active,6,True,0.0012153387703027802,0.1416107580751637,0.1852224742186073,0.043611716143443585,0.12153387703027801,4.361171614344358,Bromley
35,2,active,6,True,-0.007795674501275103,0.1748624494528627,0.145670934849398,-0.029191514603464697,-0.7795674501275103,-2.9191514603464697,Bromley
44,0,inactive,6,True,0.013441671455333003,0.0521068484192118,0.1114743190480871,0.059367470628875305,1.3441671455333002,5.93674706288753,Camden
44,1,fairly_active,6,True,-0.004571436862260501,0.0746640554947392,0.0741511106022006,-0.0005129448925385999,-0.45714368622605006,-0.05129448925385999,Camden
44,2,active,6,True,0.009267791943062353,0.0756412865480323,0.1476193400694425,0.07197805352141019,0.9267791943062353,7.197805352141019,Camden
68,0,inactive,6,True,0.0014908324220051948,0.0751638510827567,0.0804274320701952,0.00526358098743851,0.14908324220051947,0.526358098743851,Croydon
68,1,fairly_active,6,True,-0.00015127550816012534,0.0485420013326666,0.0766862897091347,0.028144288376468103,-0.015127550816012534,2.8144288376468105,Croydon
68,2,active,6,True,-0.013364420012394072,0.2455971477595928,0.1955800166852447,-0.0500171310743481,-1.3364420012394072,-5.00171310743481,Croydon
78,0,inactive,6,True,0.012081937086784272,0.0203682933511784,0.0698310151348901,0.049462721783711694,1.2081937086784271,4.946272178371169,Ealing
78,1,fairly_active,6,True,0.004206846911627663,0.0306419445389181,0.041381898947453,0.0107399544085349,0.42068469116276636,1.07399544085349,Ealing
78,2,active,6,True,-0.0024424504200931947,0.1991868630491977,0.1993044106307955,0.00011754758159779333,-0.24424504200931946,0.011754758159779333,Ealing
91,0,inactive,6,True,0.006170472883614477,0.0285650382885543,0.0976385984889489,0.0690735602003946,0.6170472883614477,6.90735602003946,Enfield
91,1,fairly_active,6,True,0.0012324071297978815,0.0320638536046593,0.0751388113527339,0.0430749577480746,0.12324071297978814,4.30749577480746,Enfield
91,2,active,6,True,0.0168641297564066,0.1053699623354964,0.2000351431165984,0.09466518078110199,1.6864129756406598,9.4665180781102,Enfield
107,0,inactive,6,True,-0.00137925158598365,0.0722645276315695,0.0721439966526744,-0.00012053097889509756,-0.137925158598365,-0.012053097889509756,Greenwich
107,1,fairly_active,6,True,0.0015310742746276558,0.0539517211560692,0.0969335158495161,0.042981794693446894,0.15310742746276557,4.2981794693446895,Greenwich
107,2,active,6,True,-0.004826655530701491,0.19613872515757,0.1351804709835486,-0.0609582541740214,-0.4826655530701491,-6.09582541740214,Greenwich
109,0,inactive,6,True,-0.0031669634179517024,0.0889250855202222,0.0786560777835536,-0.010269007736668598,-0.31669634179517026,-1.0269007736668598,Hackney
109,1,fairly_active,6,True,0.0037744404867464877,0.024646989211797,0.0,-0.024646989211797,0.37744404867464876,-2.4646989211797,Hackney
109,2,active,6,True,0.010331121007032786,0.0688164790874696,0.1203866792576902,0.0515702001702206,1.0331121007032786,5.1570200170220595,Hackney
112,0,inactive,6,True,0.010475397388353782,0.0147669265130725,0.060659927886744,0.0458930013736715,1.0475397388353782,4.58930013736715,Hammersmith and Fulham
112,1,fairly_active,6,True,-0.018523418734395215,0.1477573107597134,0.0,-0.1477573107597134,-1.8523418734395214,-14.77573107597134,Hammersmith and Fulham
112,2,active,6,True,0.004899213349195923,0.1036010450115084,0.1208937799641938,0.017292734952685407,0.48992133491959233,1.7292734952685407,Hammersmith and Fulham
114,0,inactive,6,True,0.016060690630440674,0.0028963914957745,0.0982536996798982,0.09535730818412369,1.6060690630440675,9.535730818412368,Haringey
114,1,fairly_active,6,True,0.03042534217266446,0.0074637444144662,0.1252803565701054,0.11781661215563918,3.042534217266446,11.781661215563918,Haringey
114,2,active,6,True,0.001763967204413031,0.1558265508064639,0.1703358727121471,0.014509321905683187,0.17639672044130308,1.4509321905683188,Haringey
117,0,inactive,6,True,0.004331675851359385,0.0508285535564992,0.0921114793433415,0.041282925786842305,0.4331675851359385,4.12829257868423,Harrow
117,1,fairly_active,6,True,0.020414089371146464,0.0298570273526206,0.1829635956151865,0.15310656826256588,2.0414089371146464,15.310656826256588,Harrow
117,2,active,6,True,0.01438664201890157,0.1497630874216984,0.211898334001755,0.06213524658005662,1.438664201890157,6.213524658005662,Harrow
122,0,inactive,6,True,-0.003945864778578809,0.0889786959248112,0.0866465698757752,-0.0023321260490360013,-0.3945864778578809,-0.23321260490360013,Havering
122,1,fairly_active,6,True,0.002790336394442058,0.0483050143923255,0.0067851014848199,-0.0415199129075056,0.2790336394442058,-4.151991290750559,Havering
122,2,active,6,True,-0.010507078459769573,0.1734442564270538,0.1226736330189797,-0.0507706234080741,-1.0507078459769572,-5.0770623408074105,Havering
126,0,inactive,6,True,0.0026322186029995413,0.04297518475018,0.0453250249395577,0.0023498401893777,0.26322186029995415,0.23498401893777,Hillingdon
126,1,fairly_active,6,True,0.003317932356630172,0.1136573329442898,0.0980862001366558,-0.015571132807634003,0.3317932356630172,-1.5571132807634003,Hillingdon
126,2,active,6,True,-0.004829849359844847,0.1381023895084445,0.1579040239399581,0.019801634431513587,-0.4829849359844847,1.9801634431513588,Hillingdon
129,0,inactive,6,True,0.016675965261960253,0.0665699575838657,0.1885342723854947,0.12196431480162899,1.6675965261960253,12.196431480162898,Hounslow
129,1,fairly_active,6,True,0.007558105356820669,0.1050819006488974,0.1777950738282708,0.07271317317937341,0.7558105356820669,7.271317317937341,Hounslow
129,2,active,6,True,0.007904219254235742,0.0969711789579946,0.2154876944237875,0.11851651546579291,0.7904219254235743,11.85165154657929,Hounslow
135,0,inactive,6,True,0.009981152739776364,0.0084191849227949,0.0188494550372388,0.0104302701144439,0.9981152739776363,1.04302701144439,Islington
135,1,fairly_active,6,True,-0.005393553495313557,0.0377214346519779,0.0231054449071455,-0.0146159897448324,-0.5393553495313558,-1.46159897448324,Islington
135,2,active,6,True,0.0020877099273917867,0.089596681751261,0.1362501871697056,0.04665350541844461,0.20877099273917868,4.665350541844461,Islington
136,0,inactive,6,True,0.018228330924038447,0.0069832044260791,0.1599700401956616,0.1529868357695825,1.8228330924038447,15.29868357695825,Kensington and Chelsea
136,1,fairly_active,6,True,0.0007175462580465634,0.0144277082483191,0.0478313974564641,0.033403689208145,0.07175462580465634,3.3403689208145,Kensington and Chelsea
136,2,active,6,True,0.007039565613773077,0.1346270505563878,0.1299995486897204,-0.004627501866667383,0.7039565613773077,-0.4627501866667383,Kensington and Chelsea
139,0,inactive,6,True,-0.006469466762390969,0.0924753937786381,0.0350888883745555,-0.0573865054040826,-0.6469466762390969,-5.73865054040826,Kingston upon Thames
139,1,fairly_active,6,True,-0.00013871460594233698,0.1225091313710223,0.1220134491999493,-0.0004956821710730003,-0.013871460594233699,-0.04956821710730003,Kingston upon Thames
139,2,active,6,True,-0.00888125130724323,0.2563169074780344,0.1630725739649481,-0.09324433351308628,-0.8881251307243231,-9.324433351308627,Kingston upon Thames
142,0,inactive,6,True,0.014392653652155892,0.0369557715372478,0.1037140596605766,0.0667582881233288,1.4392653652155891,6.67582881233288,Lambeth
142,1,fairly_active,6,True,0.023104173015851513,0.0236350966154924,0.1013063204455528,0.07767122383006039,2.3104173015851512,7.767122383006039,Lambeth
142,2,active,6,True,-0.001652584104883845,0.0996769222298318,0.0950017933897772,-0.004675128840054596,-0.1652584104883845,-0.4675128840054596,Lambeth
