year,deterministic_mean_active_rate,simulated_median_mean_active_rate,simulated_lower_90_mean_active_rate,simulated_upper_90_mean_active_rate
9,0.5604042220592087,0.4313032378205979,0.4166412419558054,0.4469860369219971
10,0.5547939164712365,0.4355647122082486,0.42143817091379104,0.4508313278755214
11,0.5466554283040457,0.43771080774696985,0.42127816976205973,0.45340617620176676
12,0.5450181670721889,0.43796601665599966,0.4214562141668043,0.4533144336814339
13,0.5431023797591287,0.43822708534300214,0.4222912974339718,0.45257248732875704
14,0.5423127521914911,0.4376902069837485,0.42251379004022727,0.454244731358902
15,0.5411440628796377,0.4383667038563669,0.42246616531351955,0.4559670088912296
16,0.5405911177867191,0.4378331641488405,0.4223544174306728,0.4548451038307006
