LA_2023,disability_group,year,inactive_rate_deterministic,inactive_rate_median,inactive_rate_lower_90,inactive_rate_upper_90,fairly_active_rate_deterministic,fairly_active_rate_median,fairly_active_rate_lower_90,fairly_active_rate_upper_90,active_rate_deterministic,active_rate_median,active_rate_lower_90,active_rate_upper_90
107,disty1,9,0.41350082544811784,0.25908339137347225,0.0456408614014728,0.6764943209662556,0.10627094763399797,0.34347031496814934,5.523680790830029e-06,0.7878985614419041,0.48022822691788425,0.3661513361030748,0.04804195587044759,0.7770882378600517
107,disty10,9,0.3888652560112746,0.2639646173982336,0.0441397783462408,0.6718668815472328,0.07746404596378055,0.27708504449525456,3.84886182466308e-06,0.8148189753617091,0.5336706980249448,0.38331626650701556,1.2893676602761843e-06,0.7820561430065223
107,disty11,9,0.44297444881659237,0.30721707666282716,0.05763167140275973,0.7113931554061232,0.06624957493505457,0.2422562393446156,3.3237256132210698e-06,0.6912297034407476,0.4907759762483531,0.40342342089028516,0.07668185745467823,0.7483296739398989
107,disty12,9,0.41827639637260805,0.24965930185738772,0.04458096654315931,0.6550003945716255,0.09855049301834723,0.3438186022049595,5.133381885585911e-06,0.7939326882897485,0.4831731106090447,0.370404776607529,0.03473544802471305,0.7774973273465319
107,disty13,9,0.35966451595604887,0.2670609379485465,0.060157922204097956,0.6276130950784332,0.05163720533252783,0.19340526298951158,2.421370590737872e-06,0.6177750159343971,0.5886982787114233,0.5066731494628842,0.09514613024816995,0.8195523659796089
107,disty2,9,0.40228800881063315,0.24700768791285116,0.03689297085478266,0.6505516391148666,0.09650977849028076,0.3432082973991196,4.878544066283642e-06,0.7809549947667719,0.5012022126990862,0.3555300339860751,0.03359433882997977,0.7891171902909115
107,disty3,9,0.4594029205675377,0.29065904898520784,0.04777674169037964,0.7138829817661163,0.11354423281522011,0.37160260246620336,6.56616157472556e-06,0.7981947427055625,0.42705284661724224,0.30645977089194887,0.027502574459928267,0.6398772437467258
107,disty4,9,0.42596228502988487,0.25572326083568864,0.03279726765625475,0.6891252322891573,0.1065261182620614,0.359481533320634,5.625357855281466e-06,0.7425069131452705,0.4675115967080537,0.33440836971951093,0.05505895910719757,0.7685298487821506
107,disty5,9,0.36506415909807804,0.219590102569081,0.03719268172833098,0.6418260711102242,0.1027636666478205,0.3552641668273039,5.285347111593757e-06,0.7986792913029833,0.5321721742541015,0.39282200448244803,1.7138926315749014e-06,0.8139778527663132
107,disty6,9,0.41423145867223404,0.2502827823173122,0.053220736589531366,0.7013239671176856,0.09869858874737875,0.3397057686089474,5.148787788441098e-06,0.7762682785952014,0.4870699525803873,0.3768409230675053,0.01781401499275741,0.7797527644993228
107,disty7,9,0.34557542238537803,0.20395084687113207,0.03457324631245572,0.5873040933898336,0.1045443211687648,0.3592729369126144,5.2062158904345474e-06,0.7778715653635454,0.5498802564458571,0.39112754932950045,0.07655537230205534,0.826882298219258
107,disty8,9,0.4046697541915796,0.24202002716225546,0.04000444859680949,0.6981890147227704,0.11245135905852073,0.36089064576256136,6.119262858632655e-06,0.8240562302526371,0.48287888674989965,0.3481096686637042,0.0258343127446532,0.774673666629241
107,disty9,9,0.43131932127887934,0.25652403001255825,0.045561798901181644,0.6620509873695474,0.10280375523782523,0.36535601208799473,5.322492655454348e-06,0.7833150212214349,0.4658769234832954,0.3268444052728752,0.0355165215970841,0.7643998845069758
107,limiting_disability,9,0.4018088292828156,0.2711195232681335,0.034227419054111835,0.6863820149916621,0.10420824885684483,0.3383969384978815,5.310289945759612e-06,0.7735659185066606,0.4939829218603395,0.36756490329880276,0.0420509954910445,0.7489655210995295
107,no_disability,9,0.2322754015952013,0.13252340273817037,0.023214313617494077,0.4783919936671909,0.10615042372717187,0.3655583621171352,5.681466854011542e-06,0.8087086803235359,0.6615741746776269,0.4779894015546782,0.05455627653170047,0.8794469257649834
107,non_limiting_disability,9,0.16100349530074765,0.09003867370895455,0.01307547076472074,0.34914629929947794,0.11178890687985751,0.3562165543886987,5.473908285244372e-06,0.8614507528672779,0.7272075978193947,0.536756764170931,0.04706169621691972,0.9318561346583812
109,disty1,9,0.4045759172064827,0.23767168211299028,0.02807215465027693,0.6827697705809163,0.10507243602168422,0.3426323543555497,5.5884544112270386e-06,0.8121577210452959,0.4903516467718331,0.3654369194964744,0.03930731674213202,0.7870407997766227
109,disty10,9,0.4307521213288654,0.32021909106362206,0.07100296570864825,0.7039699010072464,0.04984379692790347,0.19377955744083564,2.4932403131457745e-06,0.6414446326217997,0.519404081743231,0.43388670845735616,0.07897505488587436,0.7836462708904623
109,disty11,9,0.4477715281076068,0.3080981062336314,0.06705687868033042,0.702183671318871,0.0561377618518814,0.21669580215033435,2.8001217708830836e-06,0.6909206166885878,0.4960907100405117,0.4160475743906865,0.05955681798463646,0.770200414104206
109,disty12,9,0.4075828283588345,0.25718374416518486,0.03089995225016055,0.6735142529124467,0.09242395192016713,0.33934087861815265,4.670404266821813e-06,0.8355483927828865,0.49999321972099825,0.35675765440998264,1.4558877236229484e-06,0.7878846496334216
109,disty13,9,0.2058930330625876,0.13935352062334366,0.02144754923115605,0.44051647931970644,0.05688025991217981,0.2219343899894356,2.8131069380260587e-06,0.7281222374380196,0.7372267070252326,0.5896005095922362,0.09845267583417527,0.9150979038640387
109,disty2,9,0.4076828116976983,0.24297233012574654,0.023527829922382514,0.5746931633503358,0.10584292077783787,0.3605980206617757,5.609904822579722e-06,0.8065711028471937,0.48647426752446393,0.3584106776753653,0.054182987698630745,0.7574060359539534
109,disty3,9,0.45642206733173196,0.27729866884186594,0.04454880493049773,0.6791138421669793,0.11005984778434547,0.3586872106829536,5.955176238296234e-06,0.7988824878461553,0.4335180848839226,0.3265524248418078,0.048573014683159436,0.6997247651478331
109,disty4,9,0.4279061339182449,0.2585936424188754,0.032485301635054746,0.6766350940743048,0.09778541705863764,0.3255449958475436,5.013005144276894e-06,0.7727299850749771,0.4743084490231174,0.370035008184405,0.048416691340031154,0.851138246829283
109,disty5,9,0.3544281949662889,0.2283534634276874,0.04396964201575506,0.6096879844935255,0.09580441365731204,0.32530146832137496,4.736065390449446e-06,0.7816672877959939,0.5497673913763991,0.4024262941214352,0.05685004742695196,0.7825407099948002
109,disty6,9,0.33037851403868507,0.2197860446172395,0.035060574466303014,0.6153137257783325,0.08108270617470317,0.29456945253738026,4.1350925485073855e-06,0.7394374787602952,0.5885387797866118,0.43562739781362164,0.08607819426540322,0.8338281293060289
109,disty7,9,0.4141384772897279,0.2721976293462073,0.03806350978840183,0.6645654319424027,0.09357807870610746,0.3248414850529228,4.924669906388346e-06,0.7841249368191426,0.4922834440041647,0.3477442583599153,0.03654629495131875,0.7502746486293477
109,disty8,9,0.4084881451879003,0.24819239917408004,0.027237734735766638,0.6882520272738645,0.10594492013848213,0.34548036595546483,5.333004207277911e-06,0.7864680408769651,0.4855669346736176,0.3624904303252868,0.0489117573695678,0.7811914964219995
109,disty9,9,0.4518392605070756,0.28347738335388745,0.03166226245920874,0.6645204547558797,0.08619913042881881,0.30626161910560423,4.37316351757612e-06,0.7833768844791448,0.4619616090641057,0.37793582798622605,0.07732685692718921,0.7364800015336732
109,limiting_disability,9,0.396116471297129,0.24996451689693933,0.035890997811957516,0.6844927631575947,0.0968348143135668,0.32250626675592753,4.885228004718019e-06,0.7571154040503092,0.5070487143893042,0.38774206852031046,0.04618796357232777,0.7652400815425067
109,no_disability,9,0.1829964232667706,0.10731923501034091,0.01817611465208192,0.40077590786288303,0.09093099204381734,0.29680556652381096,3.858880109175721e-06,0.8028116628497107,0.726072584689412,0.5630234601209829,0.0749289183894985,0.9236421499308883
109,non_limiting_disability,9,0.1722864688487739,0.10347382249535382,0.01581137421871805,0.3626717780030201,0.08998700980765315,0.3194147090090332,5.116317790966288e-06,0.7745378528314778,0.737726521343573,0.5528663274608444,0.11207757400119908,0.908912785529308
112,disty1,9,0.42259749750101117,0.26969270630018505,0.04955296602117409,0.7053388557254409,0.09006536475044469,0.3063990693004206,4.672131168627989e-06,0.7475260734780058,0.48733713774854415,0.36010717846912405,0.0520604111790978,0.7646134967469147
112,disty10,9,0.3405552734576868,0.25929055161539183,0.05046166858772293,0.6199505005453115,0.034906912376409596,0.1416836084608846,1.7405732530944405e-06,0.5488345253677855,0.6245378141659035,0.5462581901722707,0.0934843052777364,0.8522723859173219
112,disty11,9,0.390874945667522,0.2892022294075713,0.051333355280448446,0.6024101078930278,0.04648253624764666,0.1913591311962154,2.2825267868096675e-06,0.6314983496176321,0.5626425180848312,0.47772836188161594,0.10044833188501395,0.789569981794305
112,disty12,9,0.24559105370114465,0.15214626950035315,0.023236828163295906,0.5042356659287575,0.09465756935675972,0.3296511643255169,4.441285303307206e-06,0.7666038296966995,0.6597513769420956,0.509528116913412,0.08473925559890116,0.8904296184286904
112,disty13,9,0.3793764502115115,0.2963167048847153,0.05283791841434227,0.6830875827027876,0.0405198599488255,0.16263653778600418,1.9077542077360168e-06,0.5830841730901773,0.5801036898396631,0.49925376432741025,0.08496176689116008,0.8237759427563065
112,disty2,9,0.40967200073221993,0.27720523324108093,0.06685213815314574,0.690307662682168,0.07992622553630543,0.2954272226511831,4.148741317737999e-06,0.7535984276525156,0.5104017737314747,0.37585883178447654,0.05760904648519364,0.7429565104615422
112,disty3,9,0.4684078821564979,0.3131802204421094,0.04928395526538709,0.7249833984186681,0.08312013977878789,0.28133819520258396,4.0991096232787875e-06,0.779952117558342,0.44847197806471417,0.37037052454868985,8.99526754757684e-07,0.7433437061218783
112,disty4,9,0.4035811445458756,0.25464016067373574,0.048415064262264246,0.661048374026534,0.075630821937217,0.27461809392004527,3.823471602382569e-06,0.7153947173984716,0.5207880335169074,0.42807890210053795,0.06357290414404265,0.7948070366901077
112,disty5,9,0.3347916135439184,0.21728645511263908,0.030919163909704003,0.6180476327832324,0.0907482794971999,0.3080067870514335,4.4125622744166335e-06,0.7814612861405396,0.5744601069588817,0.4366101480978934,0.05423822832433244,0.789406949543366
112,disty6,9,0.4244265954600412,0.2931253935168146,0.05209867932996029,0.7009192559881458,0.07759945085537362,0.27842587552756465,4.01314917863847e-06,0.6924519369052285,0.49797395368458525,0.37635319680309964,0.07640309772852402,0.7194098649502642
112,disty7,9,0.396349038496444,0.2732120712185011,0.026937736997539652,0.6344018726844293,0.07300325492535514,0.26295462474185427,3.60497916253736e-06,0.7283203539762475,0.5306477065782008,0.4402242264656238,0.063066245255892,0.8281479185456143
112,disty8,9,0.2668827216853264,0.1844773040781948,0.034603805420502044,0.5204393851750326,0.061190568003468816,0.22807643106233655,3.035860978492055e-06,0.7049762078868823,0.6719267103112047,0.5381957438032916,0.059731473520383015,0.8831411980805612
112,disty9,9,0.44277929173247565,0.2864242162928823,0.06441640542544266,0.7162415404391494,0.0781681236332283,0.2856563775975466,4.138935203467316e-06,0.7198962152513042,0.4790525846342961,0.39736028670360624,0.05108017077532476,0.7645794872496706
112,limiting_disability,9,0.3856312862819896,0.23762147658353305,0.0433960062769926,0.6679741494398355,0.090636811494872,0.3004020676387913,4.574674465445723e-06,0.7956923853777417,0.5237319022231384,0.4129022757887689,0.04063740209214652,0.8043909767991521
112,no_disability,9,0.15425265654329412,0.09497546392752067,0.013322188279847255,0.3205366584435327,0.08734450099171014,0.29647574789466374,4.007239706955519e-06,0.769454816564339,0.7584028424649957,0.5942222415382569,0.06114901558153176,0.9317026099156006
112,non_limiting_disability,9,0.14582613747500212,0.09240553938813413,0.015873764413326705,0.3458832953824442,0.08831023344765487,0.290966453711825,4.2460292912738035e-06,0.7127077823473327,0.7658636290773431,0.5976498071370842,0.1444201506433989,0.9497506069941644
114,disty1,9,0.41511819835930297,0.2808266677592884,0.055454096337801705,0.712331270939272,0.09489852857948272,0.3019233480720911,4.8092138695063375e-06,0.7186449030073686,0.48998327306121425,0.3691321008028491,0.055353518158556,0.7552760963070745
114,disty10,9,0.38025465855470275,0.27449429742437115,0.046041732456010974,0.6642446241118106,0.05741679676144489,0.19685548546338608,2.7992646865402677e-06,0.649430174449312,0.5623285446838523,0.4820714173040165,0.05616291124559498,0.7822063713645085
114,disty11,9,0.4510914347613288,0.33459372086451156,0.04139400052484993,0.7184651360109813,0.05493058214043654,0.21090194445936045,2.650424723312974e-06,0.6462302089250456,0.4939779830982346,0.4057002897176807,0.0592600130542179,0.7669211716937959
