task,alr_coordinate,year8_residual_observations,centred_residual_mean,centred_residual_sd,centred_residual_min,centred_residual_max
age_overall_level,alr_1,256,8.413408858487514e-17,2.263044152876804,-14.537684847135338,13.034248988123974
age_overall_level,alr_2,256,-7.025630077706069e-17,3.003854520044538,-11.891927135507617,13.731959363723378
disability_overall_level,alr_1,504,-1.2743333725112163e-16,3.5867138684777045,-14.046121131790297,14.787554430435652
disability_overall_level,alr_2,504,4.493759861578014e-16,5.345719055336014,-10.884851469927007,18.23519869539567
