task,alr_coordinate,year8_residual_observations,centred_residual_mean,centred_residual_sd,centred_residual_min,centred_residual_max
age_overall_level,alr_1,256,-5.811323644522304e-17,2.2704822866823755,-14.712440732174235,12.940958419427211
age_overall_level,alr_2,256,-2.983724378680108e-16,2.99405548422501,-11.885576283693375,13.994157991755616
