year,deterministic_mean_active_rate,simulated_median_mean_active_rate,simulated_lower_90_mean_active_rate,simulated_upper_90_mean_active_rate,task
9,0.6265893756048462,0.5846018134198662,0.5705104506155037,0.5980706589436812,age_overall_level
10,0.6271252886235288,0.5801549261179415,0.5655911267764754,0.594471841533011,age_overall_level
11,0.6261104156056949,0.5784941470757801,0.5637746533275395,0.5929390971229211,age_overall_level
12,0.6270222214928307,0.5777200387772954,0.5636956647955365,0.5920111677093443,age_overall_level
13,0.6272993091736017,0.5774856852994013,0.5635299520088141,0.5915763792366153,age_overall_level
14,0.627379434572999,0.5776583600223724,0.5629648616389996,0.5912191087107326,age_overall_level
15,0.6274033585588837,0.5776037411197512,0.5626263293248585,0.5919978149925292,age_overall_level
16,0.6274847776134291,0.577962824865007,0.562561605689485,0.5917856006542951,age_overall_level
9,0.5518924971699473,0.42302932213018585,0.4082033879161005,0.4382455281709094,disability_overall_level
10,0.5447527834776249,0.42993559783373175,0.41587215115286597,0.44534317739174073,disability_overall_level
11,0.5364195844925581,0.4320794376676056,0.41452971652969384,0.4473571558131976,disability_overall_level
12,0.5340987938155406,0.43238098689260723,0.41703209650561135,0.4475741196695081,disability_overall_level
13,0.5327439376022325,0.4324841082218745,0.4172676544873244,0.44656458860649073,disability_overall_level
14,0.5328202430836514,0.4323824381380697,0.4171977583600736,0.44852626255110084,disability_overall_level
15,0.5335642018881028,0.43308048976586977,0.41630700139360133,0.45055019816609265,disability_overall_level
16,0.5329659823483405,0.4320806975105859,0.4169635151500666,0.4491629605909774,disability_overall_level
