LA_2023,age_group,year,overall_inactive_rate_deterministic,overall_inactive_rate_median,overall_inactive_rate_lower_90,overall_inactive_rate_upper_90,overall_fairly_active_rate_deterministic,overall_fairly_active_rate_median,overall_fairly_active_rate_lower_90,overall_fairly_active_rate_upper_90,overall_active_rate_deterministic,overall_active_rate_median,overall_active_rate_lower_90,overall_active_rate_upper_90
107,16-24,9,0.26549504033193316,0.25416238529088536,0.10268871504081976,0.47375471736332575,0.09236205100628676,0.13514184005730911,5.268073878057464e-06,0.253874034879138,0.64214290866178,0.6061717458063535,0.36570498452517863,0.7907058584612877
107,25-34,9,0.18852237218419268,0.1782666520426216,0.07971588686020258,0.3651556242609423,0.09781511684954645,0.14198282006212276,2.3180705104848525e-06,0.2854694288219412,0.7136625109662609,0.6818366945240822,0.4090850969649938,0.8637874093795889
107,35-44,9,0.2347139238433886,0.22119543262083943,0.10312149075701998,0.3827854621762807,0.10449468321524842,0.14812599922599048,0.011646272452721021,0.2785347667055828,0.660791392941363,0.6275759846822855,0.44203979897444634,0.8125132043558684
107,45-54,9,0.23282648087514055,0.21232059292257005,0.08123839209331045,0.45642280475438635,0.10306722814261168,0.1528265794559145,2.895800080891268e-06,0.3374341697496564,0.6641062909822478,0.6249361655044822,0.3118490824193904,0.798902282103634
107,55-64,9,0.24256677192564063,0.23045603886713273,0.09694127777971849,0.42156846221062744,0.09873724251124781,0.14222445601833347,2.162768972131149e-06,0.2681171573188302,0.6586959855631116,0.626372134365974,0.3982341840260684,0.7837610535545994
107,65-74,9,0.2214939205427415,0.20622958353455279,0.08668961465949038,0.3941404436082789,0.09565089892373337,0.14421542779254817,2.7519046734963136e-06,0.27920622368690085,0.6828551805335251,0.6460635237514945,0.45268053367772454,0.811716764712607
107,75-84,9,0.30503902013163325,0.28643739600267665,0.13829005698025967,0.5183447846048574,0.10767260409242589,0.15272130172547932,5.217626988818368e-06,0.27450793882354313,0.5872883757759408,0.5581896277503026,0.35266433166913785,0.7358385242281348
107,85+,9,0.5391147395754818,0.5167679266003701,0.2668794409946212,0.7451950516945924,0.06830776913681656,0.10430510671934051,2.4880658066090796e-06,0.21233979748955262,0.3925774912877016,0.37958832983096513,0.18959004248546799,0.5977586239739706
109,16-24,9,0.2576380806915674,0.24775746375222935,0.11851167564887563,0.4952249730664512,0.09482336909728259,0.14190272108671353,2.5697182031963056e-06,0.281186351544439,0.6475385502111499,0.6047372071134142,0.32184949215116,0.7712387520260382
109,25-34,9,0.130130304005297,0.12249113002297722,0.045710144373803094,0.22868161538794957,0.08948739941285262,0.13738838032259792,3.0504718156380333e-06,0.26820677323798164,0.7803822965818503,0.7376795821902062,0.5308538971662723,0.8845004058300525
