category,variable,activity_suffix,activity_label,source_status
Activity,MEMS7_RUGBYUNION_F03,RUGBYUNION_F03,Rugby Union,source variable
Activity,MEMS7GR_RUGBYUNION_F03,RUGBYUNION_F03,Rugby Union,source variable
Activity,DAYS10P60GR_RUGBYUNION_F03,RUGBYUNION_F03,Rugby Union,source variable
Activity,MONTHS_12_RUGBYUNION_F03,RUGBYUNION_F03,Rugby Union,source variable
Activity,MEMS7_RUGBYUNTAG_Q16,RUGBYUNTAG_Q16,Tag or other rugby union,source variable
Activity,MEMS7GR_RUGBYUNTAG_Q16,RUGBYUNTAG_Q16,Tag or other rugby union,source variable
Activity,DAYS10P60GR_RUGBYUNTAG_Q16,RUGBYUNTAG_Q16,Tag or other rugby union,source variable
Activity,MONTHS_12_RUGBYUNTAG_Q16,RUGBYUNTAG_Q16,Tag or other rugby union,source variable
Activity,MEMS7_RUGBYUNTOUCH_Q14,RUGBYUNTOUCH_Q14,Touch rugby union,source variable
Activity,MEMS7GR_RUGBYUNTOUCH_Q14,RUGBYUNTOUCH_Q14,Touch rugby union,source variable
Activity,DAYS10P60GR_RUGBYUNTOUCH_Q14,RUGBYUNTOUCH_Q14,Touch rugby union,source variable
Activity,MONTHS_12_RUGBYUNTOUCH_Q14,RUGBYUNTOUCH_Q14,Touch rugby union,source variable
Activity,MEMS7_RUNJOG_U07,RUNJOG_U07,Running or jogging,source variable
Activity,MEMS7GR_RUNJOG_U07,RUNJOG_U07,Running or jogging,source variable
Activity,DAYS10P60GR_RUNJOG_U07,RUNJOG_U07,Running or jogging,source variable
Activity,MONTHS_12_RUNJOG_U07,RUNJOG_U07,Running or jogging,source variable
Activity,MEMS7_SHOOTING_J08,SHOOTING_J08,Shooting,source variable
Activity,MEMS7GR_SHOOTING_J08,SHOOTING_J08,Shooting,source variable
Activity,DAYS10P60GR_SHOOTING_J08,SHOOTING_J08,Shooting,source variable
Activity,MONTHS_12_SHOOTING_J08,SHOOTING_J08,Shooting,source variable
Activity,MEMS7_SKATEBOARDING_L17,SKATEBOARDING_L17,Skateboarding,source variable
Activity,MEMS7GR_SKATEBOARDING_L17,SKATEBOARDING_L17,Skateboarding,source variable
Activity,DAYS10P60GR_SKATEBOARDING_L17,SKATEBOARDING_L17,Skateboarding,source variable
Activity,MONTHS_12_SKATEBOARDING_L17,SKATEBOARDING_L17,Skateboarding,source variable
Activity,MEMS7_SKIING_T01,SKIING_T01,Skiing,source variable
Activity,MEMS7GR_SKIING_T01,SKIING_T01,Skiing,source variable
Activity,DAYS10P60GR_SKIING_T01,SKIING_T01,Skiing,source variable
Activity,MONTHS_12_SKIING_T01,SKIING_T01,Skiing,source variable
Activity,MEMS7_SKITTLES_I09,SKITTLES_I09,Skittles,source variable
Activity,MEMS7GR_SKITTLES_I09,SKITTLES_I09,Skittles,source variable
Activity,DAYS10P60GR_SKITTLES_I09,SKITTLES_I09,Skittles,source variable
Activity,MONTHS_12_SKITTLES_I09,SKITTLES_I09,Skittles,source variable
Activity,MEMS7_SLEDDING_K02,SLEDDING_K02,"Sledding, luge, tobogganing",source variable
Activity,MEMS7GR_SLEDDING_K02,SLEDDING_K02,"Sledding, luge, tobogganing",source variable
Activity,DAYS10P60GR_SLEDDING_K02,SLEDDING_K02,"Sledding, luge, tobogganing",source variable
Activity,MONTHS_12_SLEDDING_K02,SLEDDING_K02,"Sledding, luge, tobogganing",source variable
Activity,MEMS7_SNOOKER_I06,SNOOKER_I06,Snooker,source variable
Activity,MEMS7GR_SNOOKER_I06,SNOOKER_I06,Snooker,source variable
Activity,DAYS10P60GR_SNOOKER_I06,SNOOKER_I06,Snooker,source variable
Activity,MONTHS_12_SNOOKER_I06,SNOOKER_I06,Snooker,source variable
Activity,MEMS7_SNOWBOARDING_T02,SNOWBOARDING_T02,Snowboarding,source variable
Activity,MEMS7GR_SNOWBOARDING_T02,SNOWBOARDING_T02,Snowboarding,source variable
Activity,DAYS10P60GR_SNOWBOARDING_T02,SNOWBOARDING_T02,Snowboarding,source variable
Activity,MONTHS_12_SNOWBOARDING_T02,SNOWBOARDING_T02,Snowboarding,source variable
Activity,MEMS7_SNOWSPORT_K01,SNOWSPORT_K01,Snowsport,source variable
Activity,MEMS7GR_SNOWSPORT_K01,SNOWSPORT_K01,Snowsport,source variable
Activity,DAYS10P60GR_SNOWSPORT_K01,SNOWSPORT_K01,Snowsport,source variable
Activity,MONTHS_12_SNOWSPORT_K01,SNOWSPORT_K01,Snowsport,source variable
Activity,MEMS7_TABLETENNIS_G03,TABLETENNIS_G03,Table Tennis,source variable
Activity,MEMS7GR_TABLETENNIS_G03,TABLETENNIS_G03,Table Tennis,source variable
Activity,DAYS10P60GR_TABLETENNIS_G03,TABLETENNIS_G03,Table Tennis,source variable
Activity,MONTHS_12_TABLETENNIS_G03,TABLETENNIS_G03,Table Tennis,source variable
Activity,MEMS7_TAEKWONDO_J05,TAEKWONDO_J05,Taekwondo,source variable
Activity,MEMS7GR_TAEKWONDO_J05,TAEKWONDO_J05,Taekwondo,source variable
Activity,DAYS10P60GR_TAEKWONDO_J05,TAEKWONDO_J05,Taekwondo,source variable
Activity,MONTHS_12_TAEKWONDO_J05,TAEKWONDO_J05,Taekwondo,source variable
Activity,MEMS7_TENNIS_G01,TENNIS_G01,Tennis,source variable
Activity,MEMS7GR_TENNIS_G01,TENNIS_G01,Tennis,source variable
Activity,DAYS10P60GR_TENNIS_G01,TENNIS_G01,Tennis,source variable
Activity,MONTHS_12_TENNIS_G01,TENNIS_G01,Tennis,source variable
Activity,MEMS7_TENPIN_I04,TENPIN_I04,Ten-pin bowling,source variable
Activity,MEMS7GR_TENPIN_I04,TENPIN_I04,Ten-pin bowling,source variable
Activity,DAYS10P60GR_TENPIN_I04,TENPIN_I04,Ten-pin bowling,source variable
Activity,MONTHS_12_TENPIN_I04,TENPIN_I04,Ten-pin bowling,source variable
Activity,MEMS7_TRACKANDFIELD_L02,TRACKANDFIELD_L02,Track and field athletics,source variable
Activity,MEMS7GR_TRACKANDFIELD_L02,TRACKANDFIELD_L02,Track and field athletics,source variable
Activity,DAYS10P60GR_TRACKANDFIELD_L02,TRACKANDFIELD_L02,Track and field athletics,source variable
Activity,MONTHS_12_TRACKANDFIELD_L02,TRACKANDFIELD_L02,Track and field athletics,source variable
Activity,MEMS7_TRAMPOLINING_U25,TRAMPOLINING_U25,Trampolining,source variable
Activity,MEMS7GR_TRAMPOLINING_U25,TRAMPOLINING_U25,Trampolining,source variable
Activity,DAYS10P60GR_TRAMPOLINING_U25,TRAMPOLINING_U25,Trampolining,source variable
Activity,MONTHS_12_TRAMPOLINING_U25,TRAMPOLINING_U25,Trampolining,source variable
Activity,MEMS7_TRIATHLON_L05,TRIATHLON_L05,Triathlon,source variable
Activity,MEMS7GR_TRIATHLON_L05,TRIATHLON_L05,Triathlon,source variable
Activity,DAYS10P60GR_TRIATHLON_L05,TRIATHLON_L05,Triathlon,source variable
Activity,MONTHS_12_TRIATHLON_L05,TRIATHLON_L05,Triathlon,source variable
Activity,MEMS7_VOLLEYBALL_F10,VOLLEYBALL_F10,Volleyball,source variable
Activity,MEMS7GR_VOLLEYBALL_F10,VOLLEYBALL_F10,Volleyball,source variable
Activity,DAYS10P60GR_VOLLEYBALL_F10,VOLLEYBALL_F10,Volleyball,source variable
Activity,MONTHS_12_VOLLEYBALL_F10,VOLLEYBALL_F10,Volleyball,source variable
Activity,MEMS7_WALKTRAV_B02,WALKTRAV_B02,Walking for travel,source variable
Activity,MEMS7GR_WALKTRAV_B02,WALKTRAV_B02,Walking for travel,source variable
Activity,DAYS10P60GR_WALKTRAV_B02,WALKTRAV_B02,Walking for travel,source variable
Activity,MONTHS_12_WALKTRAV_B02,WALKTRAV_B02,Walking for travel,source variable
Activity,MEMS7_WATERPOLO_U06,WATERPOLO_U06,Water polo,source variable
Activity,MEMS7GR_WATERPOLO_U06,WATERPOLO_U06,Water polo,source variable
Activity,DAYS10P60GR_WATERPOLO_U06,WATERPOLO_U06,Water polo,source variable
Activity,MONTHS_12_WATERPOLO_U06,WATERPOLO_U06,Water polo,source variable
Activity,MEMS7_WATERSKIING_H10,WATERSKIING_H10,Waterskiing,source variable
Activity,MEMS7GR_WATERSKIING_H10,WATERSKIING_H10,Waterskiing,source variable
Activity,DAYS10P60GR_WATERSKIING_H10,WATERSKIING_H10,Waterskiing,source variable
Activity,MONTHS_12_WATERSKIING_H10,WATERSKIING_H10,Waterskiing,source variable
Activity,MEMS7_WHEELCHBASKETBALL_F08,WHEELCHBASKETBALL_F08,Wheelchair Basketball,source variable
Activity,MEMS7GR_WHEELCHBASKETBALL_F08,WHEELCHBASKETBALL_F08,Wheelchair Basketball,source variable
Activity,DAYS10P60GR_WHEELCHBASKETBALL_F08,WHEELCHBASKETBALL_F08,Wheelchair Basketball,source variable
Activity,MONTHS_12_WHEELCHBASKETBALL_F08,WHEELCHBASKETBALL_F08,Wheelchair Basketball,source variable
Activity,MEMS7_WHEELCHRUGBY_F05,WHEELCHRUGBY_F05,Wheelchair Rugby,source variable
Activity,MEMS7GR_WHEELCHRUGBY_F05,WHEELCHRUGBY_F05,Wheelchair Rugby,source variable
Activity,DAYS10P60GR_WHEELCHRUGBY_F05,WHEELCHRUGBY_F05,Wheelchair Rugby,source variable
Activity,MONTHS_12_WHEELCHRUGBY_F05,WHEELCHRUGBY_F05,Wheelchair Rugby,source variable
Activity,MEMS7_WINTER_C10,WINTER_C10,Winter sports,source variable
Activity,MEMS7GR_WINTER_C10,WINTER_C10,Winter sports,source variable
Activity,DAYS10P60GR_WINTER_C10,WINTER_C10,Winter sports,source variable
Activity,MONTHS_12_WINTER_C10,WINTER_C10,Winter sports,source variable
Activity,MEMS7_WRESTLING_J09,WRESTLING_J09,Wrestling,source variable
Activity,MEMS7GR_WRESTLING_J09,WRESTLING_J09,Wrestling,source variable
Activity,DAYS10P60GR_WRESTLING_J09,WRESTLING_J09,Wrestling,source variable
Activity,MONTHS_12_WRESTLING_J09,WRESTLING_J09,Wrestling,source variable
