output_position,variable_name,section,variable_label,source_position,source_format,measurement_level,value_labels,notes
1,serial,Survey information,Serial,1,F15.0,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group""}",
2,year,Survey information,Survey year,,integer,nominal,,Derived from the Year 2 source file; constant value 2017
3,mode,Survey information,Mode of completion,3,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""1.0"": ""CAWI"", ""2.0"": ""PAPER""}",
4,month,Survey information,Interview month,6,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""1.0"": ""Month 1 (Nov 2015 to Dec 2015)"", ""2.0"": ""Month 2 (Dec 2015 to Jan 2016)"", ""3.0"": ""Month 3 (Jan 2016 to Feb 2016)"", ""4.0"": ""Month 4 (Feb 2016 to Mar 2016)"", ""5.0"": ""Month 5 (Mar 2016 to Apr 2016)"", ""6.0"": ""Month 6 (Apr 2016 to May 2016)"", ""7.0"": ""Month 7 (May 2016 to June 2016)"", ""8.0"": ""Month 8 (June 2016 to July 2016)"", ""9.0"": ""Month 9 (July 2016 to August 2016)"", ""10.0"": ""Month 10 (August 2016 to September 2016)"", ""11.0"": ""Month 11 (September 2016 to October 2016)"", ""12.0"": ""Month 12 (October 2016 to November 2016)"", ""13.0"": ""Month 13 (Nov 2016 to Dec 2016)"", ""14.0"": ""Month 14 (Dec 2016 to Jan 2017)"", ""15.0"": ""Month 15 (Jan 2017 to Feb 2017)"", ""16.0"": ""Month 16 (Feb 2017 to Mar 2017)"", ""17.0"": ""Month 17 (Mar 2017 to Apr 2017)"", ""18.0"": ""Month 18 (Apr 2017 to May 2017)"", ""19.0"": ""Month 19 (May 2017 to June 2017)"", ""20.0"": ""Month 20 (June 2017 to July 2017)"", ""21.0"": ""Month 21 (July 2017 to Aug 2017)"", ""22.0"": ""Month 22 (Aug 2017 to Sep 2017)"", ""23.0"": ""Month 23 (Sep 2017 to Oct 2017)"", ""24.0"": ""Month 24 (Oct 2017 to Nov 2017)"", ""25.0"": ""Month 25 (Nov 2017 to Dec 2017)""}",
5,Age16plus,Demographics,Aged 16 and over,12,F8.2,nominal,"{""0.0"": ""Age under 16"", ""1.0"": ""All adults (aged 16+)""}",
6,wt_final,Weights,All: Online and Postal,14,F8.2,scale,,
7,wt_final_online,Weights,All: Online,15,F8.2,scale,,
8,wt_final_B,Weights,Phase 2: Online Group 1,16,F8.2,scale,,
9,wt_final_C,Weights,Phase 2: Online Group 2,17,F8.2,scale,,
10,wt_final_AB,Weights,Phase 2: Postal & Online Group 1,18,F8.2,scale,,
11,wt_final_AC,Weights,Phase 2: Postal & Online Group 2,19,F8.2,scale,,
12,wt_time,Weights,All: Online and Postal - time series weight,20,F8.2,scale,,
13,wt_online_time,Weights,All: Online - time series weight,21,F8.2,scale,,
14,Reg9,Geography,Region - 9 groups,51,F2.0,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""1.0"": ""East Midlands"", ""2.0"": ""East"", ""3.0"": ""London"", ""4.0"": ""North East"", ""5.0"": ""North West"", ""6.0"": ""South East"", ""7.0"": ""South West"", ""8.0"": ""West Midlands"", ""9.0"": ""Yorkshire""}",
15,LondInOut,Geography,London - Inner / Outer split (ONS 2022 classification),53,F8.2,nominal,"{""0.0"": ""Areas outside of London"", ""1.0"": ""E13000001 Inner London"", ""2.0"": ""E13000002 Outer London""}",
16,LA_2023,Geography,LA 2023 version,60,F8.2,nominal,"{""1.0"": ""E07000223 Adur"", ""3.0"": ""E07000032 Amber Valley"", ""4.0"": ""E07000224 Arun"", ""5.0"": ""E07000170 Ashfield"", ""6.0"": ""E07000105 Ashford"", ""7.0"": ""E07000200 Babergh"", ""8.0"": ""E09000002 Barking and Dagenham"", ""9.0"": ""E09000003 Barnet"", ""10.0"": ""E08000016 Barnsley"", ""12.0"": ""E07000066 Basildon"", ""13.0"": ""E07000084 Basingstoke and Deane"", ""14.0"": ""E07000171 Bassetlaw"", ""15.0"": ""E06000022 Bath and North East Somerset"", ""16.0"": ""E06000055 Bedford"", ""17.0"": ""E09000004 Bexley"", ""18.0"": ""E08000025 Birmingham"", ""19.0"": ""E07000129 Blaby"", ""20.0"": ""E06000008 Blackburn with Darwen"", ""21.0"": ""E06000009 Blackpool"", ""22.0"": ""E07000033 Bolsover"", ""23.0"": ""E08000001 Bolton"", ""24.0"": ""E07000136 Boston"", ""25.0"": ""E06000058 Bournemouth, Christchurch and Poole"", ""26.0"": ""E06000036 Bracknell Forest"", ""27.0"": ""E08000032 Bradford"", ""28.0"": ""E07000067 Braintree"", ""29.0"": ""E07000143 Breckland"", ""30.0"": ""E09000005 Brent"", ""31.0"": ""E07000068 Brentwood"", ""32.0"": ""E06000043 Brighton and Hove"", ""33.0"": ""E06000023 Bristol, City of"", ""34.0"": ""E07000144 Broadland"", ""35.0"": ""E09000006 Bromley"", ""36.0"": ""E07000234 Bromsgrove"", ""37.0"": ""E07000095 Broxbourne"", ""38.0"": ""E07000172 Broxtowe"", ""39.0"": ""E06000060 Buckinghamshire"", ""40.0"": ""E07000117 Burnley"", ""41.0"": ""E08000002 Bury"", ""42.0"": ""E08000033 Calderdale"", ""43.0"": ""E07000008 Cambridge"", ""44.0"": ""E09000007 Camden"", ""45.0"": ""E07000192 Cannock Chase"", ""46.0"": ""E07000106 Canterbury"", ""48.0"": ""E07000069 Castle Point"", ""49.0"": ""E06000056 Central Bedfordshire"", ""50.0"": ""E07000130 Charnwood"", ""51.0"": ""E07000070 Chelmsford"", ""52.0"": ""E07000078 Cheltenham"", ""53.0"": ""E07000177 Cherwell"", ""54.0"": ""E06000049 Cheshire East"", ""55.0"": ""E06000050 Cheshire West and Chester"", ""56.0"": ""E07000034 Chesterfield"", ""57.0"": ""E07000225 Chichester"", ""58.0"": ""E07000118 Chorley"", ""59.0"": ""E09000001 City of London"", ""60.0"": ""E07000071 Colchester"", ""62.0"": ""E06000052 Cornwall"", ""63.0"": ""E07000079 Cotswold"", ""64.0"": ""E06000047 County Durham"", ""65.0"": ""E08000026 Coventry"", ""67.0"": ""E07000226 Crawley"", ""68.0"": ""E09000008 Croydon"", ""69.0"": ""E07000096 Dacorum"", ""70.0"": ""E06000005 Darlington"", ""71.0"": ""E07000107 Dartford"", ""72.0"": ""E06000015 Derby"", ""73.0"": ""E07000035 Derbyshire Dales"", ""74.0"": ""E08000017 Doncaster"", ""75.0"": ""E06000059 Dorset"", ""76.0"": ""E07000108 Dover"", ""77.0"": ""E08000027 Dudley"", ""78.0"": ""E09000009 Ealing"", ""79.0"": ""E07000009 East Cambridgeshire"", ""80.0"": ""E07000040 East Devon"", ""81.0"": ""E07000085 East Hampshire"", ""82.0"": ""E07000242 East Hertfordshire"", ""83.0"": ""E07000137 East Lindsey"", ""84.0"": ""E06000011 East Riding of Yorkshire"", ""85.0"": ""E07000193 East Staffordshire"", ""86.0"": ""E07000244 East Suffolk"", ""87.0"": ""E07000061 Eastbourne"", ""88.0"": ""E07000086 Eastleigh"", ""90.0"": ""E07000207 Elmbridge"", ""91.0"": ""E09000010 Enfield"", ""92.0"": ""E07000072 Epping Forest"", ""93.0"": ""E07000208 Epsom and Ewell"", ""94.0"": ""E07000036 Erewash"", ""95.0"": ""E07000041 Exeter"", ""96.0"": ""E07000087 Fareham"", ""97.0"": ""E07000010 Fenland"", ""98.0"": ""E07000112 Folkestone and Hythe"", ""99.0"": ""E07000080 Forest of Dean"", ""100.0"": ""E07000119 Fylde"", ""101.0"": ""E08000037 Gateshead"", ""102.0"": ""E07000173 Gedling"", ""103.0"": ""E07000081 Gloucester"", ""104.0"": ""E07000088 Gosport"", ""105.0"": ""E07000109 Gravesham"", ""106.0"": ""E07000145 Great Yarmouth"", ""107.0"": ""E09000011 Greenwich"", ""108.0"": ""E07000209 Guildford"", ""109.0"": ""E09000012 Hackney"", ""110.0"": ""E06000006 Halton"", ""112.0"": ""E09000013 Hammersmith and Fulham"", ""113.0"": ""E07000131 Harborough"", ""114.0"": ""E09000014 Haringey"", ""115.0"": ""E07000073 Harlow"", ""117.0"": ""E09000015 Harrow"", ""118.0"": ""E07000089 Hart"", ""119.0"": ""E06000001 Hartlepool"", ""120.0"": ""E07000062 Hastings"", ""121.0"": ""E07000090 Havant"", ""122.0"": ""E09000016 Havering"", ""123.0"": ""E06000019 Herefordshire, County of"", ""124.0"": ""E07000098 Hertsmere"", ""125.0"": ""E07000037 High Peak"", ""126.0"": ""E09000017 Hillingdon"", ""127.0"": ""E07000132 Hinckley and Bosworth"", ""128.0"": ""E07000227 Horsham"", ""129.0"": ""E09000018 Hounslow"", ""130.0"": ""E07000011 Huntingdonshire"", ""131.0"": ""E07000120 Hyndburn"", ""132.0"": ""E07000202 Ipswich"", ""133.0"": ""E06000046 Isle of Wight"", ""134.0"": ""E06000053 Isles of Scilly"", ""135.0"": ""E09000019 Islington"", ""136.0"": ""E09000020 Kensington and Chelsea"", ""137.0"": ""E07000146 Kings Lynn and West Norfolk"", ""138.0"": ""E06000010 Kingston upon Hull, City of"", ""139.0"": ""E09000021 Kingston upon Thames"", ""140.0"": ""E08000034 Kirklees"", ""141.0"": ""E08000011 Knowsley"", ""142.0"": ""E09000022 Lambeth"", ""143.0"": ""E07000121 Lancaster"", ""144.0"": ""E08000035 Leeds"", ""145.0"": ""E06000016 Leicester"", ""146.0"": ""E07000063 Lewes"", ""147.0"": ""E09000023 Lewisham"", ""148.0"": ""E07000194 Lichfield"", ""149.0"": ""E07000138 Lincoln"", ""150.0"": ""E08000012 Liverpool"", ""151.0"": ""E06000032 Luton"", ""152.0"": ""E07000110 Maidstone"", ""153.0"": ""E07000074 Maldon"", ""154.0"": ""E07000235 Malvern Hills"", ""155.0"": ""E08000003 Manchester"", ""156.0"": ""E07000174 Mansfield"", ""157.0"": ""E06000035 Medway"", ""158.0"": ""E07000133 Melton"", ""160.0"": ""E09000024 Merton"", ""161.0"": ""E07000042 Mid Devon"", ""162.0"": ""E07000203 Mid Suffolk"", ""163.0"": ""E07000228 Mid Sussex"", ""164.0"": ""E06000002 Middlesbrough"", ""165.0"": ""E06000042 Milton Keynes"", ""166.0"": ""E07000210 Mole Valley"", ""167.0"": ""E07000091 New Forest"", ""168.0"": ""E07000175 Newark and Sherwood"", ""169.0"": ""E08000021 Newcastle upon Tyne"", ""170.0"": ""E07000195 Newcastle-under-Lyme"", ""171.0"": ""E09000025 Newham"", ""172.0"": ""E07000043 North Devon"", ""173.0"": ""E07000038 North East Derbyshire"", ""174.0"": ""E06000012 North East Lincolnshire"", ""175.0"": ""E07000099 North Hertfordshire"", ""176.0"": ""E07000139 North Kesteven"", ""177.0"": ""E06000013 North Lincolnshire"", ""178.0"": ""E07000147 North Norfolk"", ""179.0"": ""E06000024 North Somerset"", ""180.0"": ""E08000022 North Tyneside"", ""181.0"": ""E07000218 North Warwickshire"", ""182.0"": ""E07000134 North West Leicestershire"", ""183.0"": ""E06000057 Northumberland"", ""184.0"": ""E07000148 Norwich"", ""185.0"": ""E06000018 Nottingham"", ""186.0"": ""E07000219 Nuneaton and Bedworth"", ""187.0"": ""E07000135 Oadby and Wigston"", ""188.0"": ""E08000004 Oldham"", ""189.0"": ""E07000178 Oxford"", ""190.0"": ""E07000122 Pendle"", ""191.0"": ""E06000031 Peterborough"", ""192.0"": ""E06000026 Plymouth"", ""193.0"": ""E06000044 Portsmouth"", ""194.0"": ""E07000123 Preston"", ""195.0"": ""E06000038 Reading"", ""196.0"": ""E09000026 Redbridge"", ""197.0"": ""E06000003 Redcar and Cleveland"", ""198.0"": ""E07000236 Redditch"", ""199.0"": ""E07000211 Reigate and Banstead"", ""200.0"": ""E07000124 Ribble Valley"", ""201.0"": ""E09000027 Richmond upon Thames"", ""203.0"": ""E08000005 Rochdale"", ""204.0"": ""E07000075 Rochford"", ""205.0"": ""E07000125 Rossendale"", ""206.0"": ""E07000064 Rother"", ""207.0"": ""E08000018 Rotherham"", ""208.0"": ""E07000220 Rugby"", ""209.0"": ""E07000212 Runnymede"", ""210.0"": ""E07000176 Rushcliffe"", ""211.0"": ""E07000092 Rushmoor"", ""212.0"": ""E06000017 Rutland"", ""214.0"": ""E08000006 Salford"", ""215.0"": ""E08000028 Sandwell"", ""218.0"": ""E08000014 Sefton"", ""220.0"": ""E07000111 Sevenoaks"", ""221.0"": ""E08000019 Sheffield"", ""222.0"": ""E06000051 Shropshire"", ""223.0"": ""E06000039 Slough"", ""224.0"": ""E08000029 Solihull"", ""226.0"": ""E07000012 South Cambridgeshire"", ""227.0"": ""E07000039 South Derbyshire"", ""228.0"": ""E06000025 South Gloucestershire"", ""229.0"": ""E07000044 South Hams"", ""230.0"": ""E07000140 South Holland"", ""231.0"": ""E07000141 South Kesteven"", ""233.0"": ""E07000149 South Norfolk"", ""234.0"": ""E07000179 South Oxfordshire"", ""235.0"": ""E07000126 South Ribble"", ""237.0"": ""E07000196 South Staffordshire"", ""238.0"": ""E08000023 South Tyneside"", ""239.0"": ""E06000045 Southampton"", ""240.0"": ""E06000033 Southend-on-Sea"", ""241.0"": ""E09000028 Southwark"", ""242.0"": ""E07000213 Spelthorne"", ""243.0"": ""E07000240 St Albans"", ""244.0"": ""E08000013 St. Helens"", ""245.0"": ""E07000197 Stafford"", ""246.0"": ""E07000198 Staffordshire Moorlands"", ""247.0"": ""E07000243 Stevenage"", ""248.0"": ""E08000007 Stockport"", ""249.0"": ""E06000004 Stockton-on-Tees"", ""250.0"": ""E06000021 Stoke-on-Trent"", ""251.0"": ""E07000221 Stratford-on-Avon"", ""252.0"": ""E07000082 Stroud"", ""253.0"": ""E08000024 Sunderland"", ""254.0"": ""E07000214 Surrey Heath"", ""255.0"": ""E09000029 Sutton"", ""256.0"": ""E07000113 Swale"", ""257.0"": ""E06000030 Swindon"", ""258.0"": ""E08000008 Tameside"", ""259.0"": ""E07000199 Tamworth"", ""260.0"": ""E07000215 Tandridge"", ""261.0"": ""E07000045 Teignbridge"", ""262.0"": ""E06000020 Telford and Wrekin"", ""263.0"": ""E07000076 Tendring"", ""264.0"": ""E07000093 Test Valley"", ""265.0"": ""E07000083 Tewkesbury"", ""266.0"": ""E07000114 Thanet"", ""267.0"": ""E07000102 Three Rivers"", ""268.0"": ""E06000034 Thurrock"", ""269.0"": ""E07000115 Tonbridge and Malling"", ""270.0"": ""E06000027 Torbay"", ""271.0"": ""E07000046 Torridge"", ""272.0"": ""E09000030 Tower Hamlets"", ""273.0"": ""E08000009 Trafford"", ""274.0"": ""E07000116 Tunbridge Wells"", ""275.0"": ""E07000077 Uttlesford"", ""276.0"": ""E07000180 Vale of White Horse"", ""277.0"": ""E08000036 Wakefield"", ""278.0"": ""E08000030 Walsall"", ""279.0"": ""E09000031 Waltham Forest"", ""280.0"": ""E09000032 Wandsworth"", ""281.0"": ""E06000007 Warrington"", ""282.0"": ""E07000222 Warwick"", ""283.0"": ""E07000103 Watford"", ""284.0"": ""E07000216 Waverley"", ""285.0"": ""E07000065 Wealden"", ""286.0"": ""E07000241 Welwyn Hatfield"", ""287.0"": ""E06000037 West Berkshire"", ""288.0"": ""E07000047 West Devon"", ""289.0"": ""E07000127 West Lancashire"", ""290.0"": ""E07000142 West Lindsey"", ""291.0"": ""E07000181 West Oxfordshire"", ""292.0"": ""E07000245 West Suffolk"", ""293.0"": ""E09000033 Westminster"", ""294.0"": ""E08000010 Wigan"", ""295.0"": ""E06000054 Wiltshire"", ""296.0"": ""E07000094 Winchester"", ""297.0"": ""E06000040 Windsor and Maidenhead"", ""298.0"": ""E08000015 Wirral"", ""299.0"": ""E07000217 Woking"", ""300.0"": ""E06000041 Wokingham"", ""301.0"": ""E08000031 Wolverhampton"", ""302.0"": ""E07000237 Worcester"", ""303.0"": ""E07000229 Worthing"", ""304.0"": ""E07000238 Wychavon"", ""305.0"": ""E07000128 Wyre"", ""306.0"": ""E07000239 Wyre Forest"", ""307.0"": ""E06000014 York"", ""308.0"": ""E06000061 North Northamptonshire"", ""309.0"": ""E06000062 West Northamptonshire"", ""310.0"": ""Cumberland"", ""311.0"": ""North Yorkshire"", ""312.0"": ""Somerset"", ""313.0"": ""Westmorland and Furness""}",
17,Age9,Demographics,Age - nine bands,79,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""1.0"": ""14-15"", ""2.0"": ""16-24"", ""3.0"": ""25-34"", ""4.0"": ""35-44"", ""5.0"": ""45-54"", ""6.0"": ""55-64"", ""7.0"": ""65-74"", ""8.0"": ""75-84"", ""9.0"": ""85+""}",
18,Disab3,Demographics,Disability: whether (limiting) disability,92,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""1.0"": ""Limiting disability"", ""2.0"": ""Non-limiting disability"", ""3.0"": ""No disability""}",
19,disty1_POP,Demographics,Type of disability or illness: Long term pain (Limiting) (REBASED),93,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""no Long term pain"", ""1.0"": ""Long term pain""}",
20,disty10_POP,Demographics,Type of disability or illness: Learning (Limiting) (REBASED),94,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""no Learning"", ""1.0"": ""Learning""}",
21,disty11_POP,Demographics,Type of disability or illness: Speech (Limiting) (REBASED),95,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""no Speech"", ""1.0"": ""Speech""}",
22,disty12_POP,Demographics,Type of disability or illness: Behavioural (Limiting) (REBASED),96,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""no Behavioural"", ""1.0"": ""Behavioural""}",
23,disty13_POP,Demographics,Type of disability or illness: Other (Limiting) (REBASED),97,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""no Other"", ""1.0"": ""Other""}",
24,disty2_POP,Demographics,Type of disability or illness: Chronic health condition (Limiting) (REBASED),98,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""no Chronic health condition"", ""1.0"": ""Chronic health condition""}",
25,disty3_POP,Demographics,Type of disability or illness: Mobility (Limiting) (REBASED),99,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""no Mobility"", ""1.0"": ""Mobility""}",
26,disty4_POP,Demographics,Type of disability or illness: Dexterity (Limiting) (REBASED),100,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""no Dexterity"", ""1.0"": ""Dexterity""}",
27,disty5_POP,Demographics,Type of disability or illness: Mental health (Limiting) (REBASED),101,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""no Mental health"", ""1.0"": ""Mental health""}",
28,disty6_POP,Demographics,Type of disability or illness: Visual (Limiting) (REBASED),102,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""no Visual"", ""1.0"": ""Visual""}",
29,disty7_POP,Demographics,Type of disability or illness: Breathing (Limiting) (REBASED),103,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""no Breathing"", ""1.0"": ""Breathing""}",
30,disty8_POP,Demographics,Type of disability or illness: Memory (Limiting) (REBASED),104,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""no Memory"", ""1.0"": ""Memory""}",
31,disty9_POP,Demographics,Type of disability or illness: Hearing (Limiting) (REBASED),105,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""no Hearing"", ""1.0"": ""Hearing""}",
32,VOLANY,Volunteering,Whether done any volunteering in last 12 months (includes raised funds),191,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""0.0"": ""No"", ""1.0"": ""Yes""}",
