task,horizon,origins,observations,primary_metric,selected_primary_value,naive_primary_value,absolute_improvement_over_naive,percentage_improvement_over_naive,selected_model_better_than_naive
age_activity_level,1,4,126870,total_variation,0.00751678392515,0.008796678281582789,0.0012798943564327888,14.549746113967204,True
age_activity_level,2,3,95232,total_variation,0.0082198841569884,0.009158026150748016,0.0009381419937596162,10.243932243881941,True
age_activity_level,3,2,63488,total_variation,0.0088561687911783,0.009309745154754212,0.0004535763635759131,4.872059933287057,True
age_activity_level,4,1,31744,total_variation,0.0092863016784993,0.009444537140757958,0.00015823546225865806,1.675417862203029,True
age_days10p60gr,1,4,126870,days10p60gr_rate_mae,0.0084955730283278,0.008573275373202625,7.770234487482555e-05,0.9063320783757717,True
age_days10p60gr,2,3,95232,days10p60gr_rate_mae,0.0091422057847076,0.009003223323019657,-0.00013898246168794239,-1.5436967039636649,False
age_days10p60gr,3,2,63488,days10p60gr_rate_mae,0.0094743199075412,0.009133542018500253,-0.0003407778890409472,-3.7310595205090396,False
age_days10p60gr,4,1,31744,days10p60gr_rate_mae,0.0093261042180968,0.009326104218096896,9.71445146547012e-17,1.0416408865150417e-12,True
age_months12,1,4,126870,months12_rate_mae,0.0163867426466848,0.016386742646684896,9.71445146547012e-17,5.928238256329358e-13,True
age_months12,2,3,95232,months12_rate_mae,0.0174048360874943,0.017404836087494366,6.591949208711867e-17,3.7874238950450563e-13,True
age_months12,3,2,63488,months12_rate_mae,0.0177067284323042,0.017706728432304256,5.551115123125783e-17,3.1350314906271993e-13,True
age_months12,4,1,31744,months12_rate_mae,0.0185402629549261,0.018540262954926143,4.5102810375396984e-17,2.432695290517073e-13,True
age_overall_level,1,4,1024,total_variation,0.1113962129084745,0.14821670608587922,0.036820493177404726,24.84233670398148,True
age_overall_level,2,3,768,total_variation,0.10855029023799,0.1432545847881597,0.0347042945501697,24.225608277382047,True
age_overall_level,3,2,512,total_variation,0.1098744068544769,0.1476414963210191,0.03776708946654221,25.580267341929847,True
age_overall_level,4,1,256,total_variation,0.1114637352759245,0.1468446189385062,0.0353808836625817,24.09409613940166,True
disability_activity_level,1,4,251013,total_variation,0.0081146425611422,0.011122715025042782,0.0030080724639005817,27.044408286357328,True
disability_activity_level,2,3,188303,total_variation,0.0083722450632929,0.01112439560867625,0.0027521505453833497,24.73977591408979,True
disability_activity_level,3,2,125612,total_variation,0.008712876873796,0.011134070929576833,0.002421194055780833,21.745811312815608,True
disability_activity_level,4,1,62992,total_variation,0.0084156668644427,0.010741049101510258,0.0023253822370675574,21.649488938101907,True
disability_days10p60gr,1,4,251013,participation_DAYS10P60GR_mae,0.0091928807091126,0.010616668819325091,0.0014237881102124907,13.410874300051885,True
disability_days10p60gr,2,3,188303,participation_DAYS10P60GR_mae,0.0096384368966707,0.010652290844999935,0.001013853948329235,9.517708097550928,True
disability_days10p60gr,3,2,125612,participation_DAYS10P60GR_mae,0.0091605358042809,0.010523513150893357,0.001362977346612457,12.951733200397548,True
disability_days10p60gr,4,1,62992,participation_DAYS10P60GR_mae,0.0090069127103469,0.010134977115917005,0.001128064405570105,11.130409005053176,True
disability_months12,1,4,251013,participation_MONTHS_12_mae,0.0208668023825372,0.02193808726020901,0.001071284877671809,4.883219147436296,True
disability_months12,2,3,188303,participation_MONTHS_12_mae,0.0212220988187444,0.02202250067606725,0.0008004018573228508,3.6344730741349465,True
disability_months12,3,2,125612,participation_MONTHS_12_mae,0.0224516862397017,0.022882884211430043,0.00043119797172834137,1.8843689796453071,True
disability_months12,4,1,62992,participation_MONTHS_12_mae,0.022622932086715,0.022855489327733555,0.00023255724101855363,1.0175115381859776,True
disability_overall_level,1,4,2000,total_variation,0.1971981813699296,0.2627106098190593,0.06551242844912972,24.93710798138343,True
disability_overall_level,2,3,1496,total_variation,0.1907304290870849,0.26704014327888487,0.07630971419179997,28.576120898836354,True
disability_overall_level,3,2,997,total_variation,0.1852952109095531,0.24984445904414682,0.06454924813459373,25.835773337357885,True
disability_overall_level,4,1,495,total_variation,0.1810287477220227,0.24680394073276976,0.06577519301074705,26.650787185754872,True
