task,horizons_better_than_naive,mean_percentage_improvement,minimum_percentage_improvement,maximum_percentage_improvement
age_activity_level,4,7.835289038334808,1.675417862203029,14.549746113967204
age_days10p60gr,2,-1.0921060365239728,-3.7310595205090396,0.9063320783757717
age_months12,4,3.820847233129672e-13,2.432695290517073e-13,5.928238256329358e-13
age_overall_level,4,24.68557711567376,24.09409613940166,25.580267341929847
disability_activity_level,4,23.794871112841157,21.649488938101907,27.044408286357328
disability_days10p60gr,4,11.752681150763385,9.517708097550928,13.410874300051885
disability_months12,4,2.854893184850632,1.0175115381859776,4.883219147436296
disability_overall_level,4,26.499947350833136,24.93710798138343,28.576120898836354
