task,horizon,origins,observations,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error
age_days10p60gr,1,4,126870,0.00849557302832781,0.03139847926133189,0.7446438048195282,20550,0.040847171673185266,106161,0.002233147541079004,31043,0.2446835343264759,0.008806479377868532,95827,0.00839537129291696
age_days10p60gr,2,3,95232,0.009142205784707673,0.033282312710159655,0.7257622452633992,15803,0.04407632801712173,79270,0.00217785693093147,24205,0.25416876680107525,0.00903714123371801,71027,0.009177775106136104
age_days10p60gr,3,2,63488,0.00947431990754127,0.03257480654487761,0.7572462227775637,11220,0.04120806530848369,52109,0.0026414767633900845,16466,0.25935609879032256,0.00960821692212867,47022,0.009427885076677486
age_days10p60gr,4,1,31744,0.009326104218096896,0.03510904398153906,0.728863753984891,5717,0.04373229686141032,25974,0.0017531388164713163,7861,0.2476373487903226,0.010214432174038876,23883,0.009035685732982171
