survey_year,survey_wave,borough_id,borough_name,borough_code,inner_outer_code,inner_outer,activity_level_code,activity_level,raw_n,weight_sum,weight_sq_sum,neither_recorded_rate,indoor_only_rate,outdoor_only_rate,both_rate,effective_n,low_effective_n_10,low_effective_n_20,indoor_rate,outdoor_rate,indoor_exposure_share,outdoor_exposure_share,neither_recorded_rate_raw,indoor_only_rate_raw,outdoor_only_rate_raw,both_rate_raw,shrinkage_prior_strength,direct_estimate_reliability
2017,2017/18,8,Barking and Dagenham,E09000002,2,Outer London,0.0,Inactive,150,210.77556038116657,589.4163589431964,0.9997165208983768,0.0002362529102005766,4.7226191422596454e-05,0.0,75.37343709572247,False,False,0.0002362529102005766,4.7226191422596454e-05,0.8334050335556166,0.16659496644438343,1.0,0.0,0.0,0.0,5.0,0.9377903921908286
2017,2017/18,8,Barking and Dagenham,E09000002,2,Outer London,1.0,Insufficiently Active,51,59.9730725735859,109.8401234151352,0.925209937744511,0.06536338729224517,0.00842874143777209,0.0009979335254716726,32.745497019543514,False,False,0.06636132081771684,0.009426674963243762,0.8756178354354646,0.12438216456453544,0.9290838112669598,0.06512640728248573,0.005789781450554367,0.0,5.0,0.8675338677508698
2017,2017/18,8,Barking and Dagenham,E09000002,2,Outer London,2.0,Active,271,350.91374327828345,754.9612454689809,0.8233819652441542,0.09613164450397342,0.04384373949463692,0.03664265075723545,163.1083131228575,False,False,0.13277429526120887,0.08048639025187238,0.622591524273538,0.37740847572646197,0.8248377724320897,0.09561744074429741,0.04389948046685081,0.035645306356762115,5.0,0.9702572709991689
2017,2017/18,9,Barnet,E09000003,2,Outer London,0.0,Inactive,104,265.9043601553947,1142.8030878973555,0.9860640749848655,0.011103567251693126,0.0028323577634413164,0.0,61.86991398469207,False,False,0.011103567251693126,0.0028323577634413164,0.7967585387862399,0.20324146121376008,0.9853061066556221,0.01169398956666218,0.0029999037777156652,0.0,5.0,0.9252279582542218
2017,2017/18,9,Barnet,E09000003,2,Outer London,1.0,Insufficiently Active,61,143.93109073723141,559.8355632431276,0.8736748340405637,0.0804975024167176,0.04493090392489801,0.0008967596178206901,37.00400660651215,False,False,0.0813942620345383,0.045827663542718694,0.6397817173825959,0.3602182826174041,0.8701394437778974,0.08233272388722566,0.047527832334876875,0.0,5.0,0.8809637364635396
2017,2017/18,9,Barnet,E09000003,2,Outer London,2.0,Active,329,801.1612663000938,3279.8835238233078,0.8176775907296563,0.10863991355393224,0.024743919110473495,0.04893857660593791,195.69578308420066,False,False,0.15757849015987013,0.0736824957164114,0.6813881276289742,0.31861187237102584,0.818745229381808,0.10853092008326959,0.024302380286236266,0.04842147024868606,5.0,0.9750866713631832
2017,2017/18,17,Bexley,E09000004,2,Outer London,0.0,Inactive,108,153.5015838858066,313.62517976313086,0.9712189859390812,0.02873364453925219,4.7369521666560006e-05,0.0,75.13024392125453,False,False,0.02873364453925219,4.7369521666560006e-05,0.9983541399352263,0.001645860064773741,0.9696068404935096,0.03039315950649032,0.0,0.0,5.0,0.9376015876737678
2017,2017/18,17,Bexley,E09000004,2,Outer London,1.0,Insufficiently Active,47,61.788590038419706,122.46984370008067,0.9388068852746734,0.05659790958436907,0.003553908078541412,0.0010412970624160893,31.173632166016915,False,False,0.05763920664678516,0.004595205140957501,0.9261629537589275,0.07383704624107246,0.9450569318042736,0.054943068195726315,0.0,0.0,5.0,0.8617777729078249
2017,2017/18,17,Bexley,E09000004,2,Outer London,2.0,Active,334,574.5922194269982,1628.6380327513375,0.8297135327073724,0.09376357979774444,0.03109664908096666,0.0454262384139165,202.7192119959858,False,False,0.13918981821166093,0.07652288749488316,0.6452555391012292,0.35474446089877076,0.8310410442408017,0.09329144284323011,0.03082709576344588,0.044840417152522294,5.0,0.975929044059263
2017,2017/18,30,Brent,E09000005,2,Outer London,0.0,Inactive,145,302.94422498737276,1102.5443845358482,0.9997417913851131,0.00021519235935420395,4.301625553274135e-05,0.0,83.23946386234208,False,False,0.00021519235935420395,4.301625553274135e-05,0.8334050335556167,0.16659496644438332,1.0,0.0,0.0,0.0,5.0,0.9433360111094935
2017,2017/18,30,Brent,E09000005,2,Outer London,1.0,Insufficiently Active,55,103.64686859946977,558.553993077356,0.8715584082226788,0.056656415491117475,0.07023078827784468,0.0015543880083590286,19.233007916188978,False,True,0.0582108034994765,0.0717851762862037,0.4477892592943767,0.5522107407056234,0.8642061659555347,0.053989391828857584,0.08180444221560783,0.0,5.0,0.7936698565323488
