period_start,survey_year,survey_wave,borough_id,borough_name,borough_code,inner_outer_code,inner_outer,activity_level_code,activity_level,raw_n,weight_sum,weight_sq_sum,neither_recorded_rate,indoor_only_rate,outdoor_only_rate,both_rate,effective_n,low_effective_n_10,low_effective_n_20,indoor_rate,outdoor_rate,indoor_exposure_share,outdoor_exposure_share,neither_recorded_rate_raw,indoor_only_rate_raw,outdoor_only_rate_raw,both_rate_raw,shrinkage_prior_strength,direct_estimate_reliability
2017-11-01,2017,2017/18,8,Barking and Dagenham,E09000002,2,Outer London,0.0,Inactive,6,9.217785563835681,16.019460892649487,0.9914276073267755,0.008572392673224584,0.0,0.0,5.304021856306337,True,True,0.008572392673224584,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.20961181137236706
2017-11-01,2017,2017/18,8,Barking and Dagenham,E09000002,2,Outer London,1.0,Insufficiently Active,4,5.3707319089851175,10.39707674594003,0.9018672677634056,0.07983192112107937,0.014108334503184782,0.004192476612330055,2.7743145446583877,True,True,0.08402439773340942,0.018300811115514837,0.8211505129441302,0.17884948705586978,0.916137387165676,0.0,0.08386261283432395,0.0,20.0,0.12181769682763473
2017-11-01,2017,2017/18,8,Barking and Dagenham,E09000002,2,Outer London,2.0,Active,21,41.396873523193385,115.90530467275961,0.7958884061639372,0.14576918851430343,0.018659679845243693,0.039682725476515766,14.785355530824365,False,True,0.1854519139908192,0.05834240532175946,0.7606900542790898,0.23930994572091024,0.8752769462917082,0.12472305370829191,0.0,0.0,20.0,0.42504540503323623
2017-11-01,2017,2017/18,9,Barnet,E09000003,2,Outer London,0.0,Inactive,9,30.476051288474476,135.71299413446684,0.9919193190431225,0.008080680956877546,0.0,0.0,6.843778726283685,True,True,0.008080680956877546,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.25494841080561814
2017-11-01,2017,2017/18,9,Barnet,E09000003,2,Outer London,1.0,Insufficiently Active,5,22.245424261048036,112.73064637451535,0.9179063018100707,0.07454433041633436,0.0036345758274222116,0.003914791946172574,4.389745969432282,True,True,0.07845912236250693,0.007549367773594786,0.9122253191324659,0.08777468086753415,1.0,0.0,0.0,0.0,20.0,0.1799832591505446
2017-11-01,2017,2017/18,9,Barnet,E09000003,2,Outer London,2.0,Active,18,62.62725761698806,422.6941486159363,0.7147741010087897,0.13376680381188438,0.08818681427904086,0.06327228090028508,9.278986731818499,True,True,0.19703908471216947,0.15145909517932593,0.5653948745830392,0.43460512541696084,0.666439263897449,0.07436136487373761,0.20831336691763996,0.050886004311173454,20.0,0.3169162518091755
2017-11-01,2017,2017/18,17,Bexley,E09000004,2,Outer London,0.0,Inactive,9,9.522983783494972,13.05260411403364,0.9919505190194822,0.008049480980517896,0.0,0.0,6.9478258398417925,True,True,0.008049480980517896,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.25782509806670856
2017-11-01,2017,2017/18,17,Bexley,E09000004,2,Outer London,1.0,Insufficiently Active,7,5.920837761335569,5.751652390009976,0.9232709536372867,0.06967301401575782,0.0033970638833430785,0.0036589684636122335,6.094999735544935,True,True,0.07333198247937005,0.007056032346955312,0.9122253191324659,0.08777468086753415,1.0,0.0,0.0,0.0,20.0,0.23356964159086452
2017-11-01,2017,2017/18,17,Bexley,E09000004,2,Outer London,2.0,Active,35,57.784666572775784,153.4739609465506,0.730923085457039,0.173504790262159,0.02881737841150476,0.06675474586929735,21.75657466799692,False,False,0.24025953613145634,0.09557212428080211,0.715416574591329,0.284583425408671,0.7251538582146464,0.18469853068393638,0.025474203744168155,0.0646734073572491,20.0,0.5210335100755187
2017-11-01,2017,2017/18,30,Brent,E09000005,2,Outer London,0.0,Inactive,8,15.036681950579252,41.36001719734066,0.991482358613383,0.00851764138661708,0.0,0.0,5.466675775401119,True,True,0.00851764138661708,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.21465996675865776
2017-11-01,2017,2017/18,30,Brent,E09000005,2,Outer London,1.0,Insufficiently Active,2,1.5629932082075155,1.5884187904505973,0.907036549125462,0.08441449650132023,0.00411581788654025,0.004433136486677315,1.5379746094604023,True,True,0.08884763298799754,0.008548954373217565,0.9122253191324659,0.08777468086753415,1.0,0.0,0.0,0.0,20.0,0.07140757835162727
2017-11-01,2017,2017/18,30,Brent,E09000005,2,Outer London,2.0,Active,30,75.17526484599657,466.61904988386544,0.7442746574280747,0.16379105886427311,0.039372028295067384,0.05256225541258477,12.11120816021604,False,True,0.2163533142768579,0.09193428370765215,0.7017905218740865,0.2982094781259135,0.7559591082502327,0.16785859867460182,0.05079590662024348,0.025386386454921996,20.0,0.37716451214754165
2017-11-01,2017,2017/18,35,Bromley,E09000006,2,Outer London,0.0,Inactive,8,15.59383097500033,36.329461605245484,0.9918737956346801,0.008126204365319824,0.0,0.0,6.693398518236494,True,True,0.008126204365319824,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.250751080409026
2017-11-01,2017,2017/18,35,Bromley,E09000006,2,Outer London,1.0,Insufficiently Active,4,12.81998757051641,52.34905264241496,0.8966090111055173,0.09543373730400807,0.003830947855608903,0.0041263037348656904,3.139542608934086,True,True,0.09956004103887377,0.007957251590474593,0.9259909601899466,0.07400903981005336,0.8757221044715913,0.12427789552840873,0.0,0.0,20.0,0.13567868051643858
2017-11-01,2017,2017/18,35,Bromley,E09000006,2,Outer London,2.0,Active,28,67.64443379006681,285.1621353178447,0.7635735301000667,0.12556070013035373,0.04700283416481486,0.06386293560476479,16.04620268984356,False,True,0.1894236357351185,0.11086576976957965,0.6308035923437029,0.36919640765629713,0.7964467450145633,0.08098041112600829,0.06513628862830041,0.05743655523112813,20.0,0.44515653501456803
2017-11-01,2017,2017/18,44,Camden,E09000007,1,Inner London,0.0,Inactive,3,6.759353286256816,15.774118271895297,0.9905262141323999,0.009473785867600126,0.0,0.0,2.8964444199606727,True,True,0.009473785867600126,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.1265019304672305
2017-11-01,2017,2017/18,44,Camden,E09000007,1,Inner London,1.0,Insufficiently Active,6,12.067776486140879,37.914453792848974,0.9089736812784738,0.0833032033712944,0.0037182250495896812,0.0040048903006419225,3.8410477997423276,True,True,0.08730809367193633,0.007723115350231603,0.9187307471966389,0.08126925280336106,0.9562831862852288,0.043716813714771215,0.0,0.0,20.0,0.16111069580523393
2017-11-01,2017,2017/18,44,Camden,E09000007,1,Inner London,2.0,Active,23,57.601040991535605,250.92785116289122,0.7242629397973739,0.20973212121697382,0.019537501859818618,0.04646743712583371,13.222445846215551,False,True,0.25619955834280755,0.06600493898565232,0.7951458172281006,0.20485418277189937,0.7046960956992295,0.2829473250950029,0.0,0.012356579205767498,20.0,0.39799736321104584
2017-11-01,2017,2017/18,68,Croydon,E09000008,2,Outer London,0.0,Inactive,3,10.258511100366924,46.36204671908308,0.9902596758338523,0.009740324166147745,0.0,0.0,2.2698965521087486,True,True,0.009740324166147745,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.10192667697389061
2017-11-01,2017,2017/18,68,Croydon,E09000008,2,Outer London,1.0,Insufficiently Active,5,20.57468845861991,142.38523119545025,0.9128437531911137,0.07914132513482286,0.0038587126033418563,0.0041562090707215026,2.9730457408759254,True,True,0.08329753420554437,0.008014921674063358,0.9122253191324657,0.08777468086753426,1.0,0.0,0.0,0.0,20.0,0.12941452232369813
2017-11-01,2017,2017/18,68,Croydon,E09000008,2,Outer London,2.0,Active,22,79.12227104510228,439.9454643374397,0.7673217355284198,0.1507762975756367,0.018962532414297593,0.06293943448164593,14.229795015076988,False,True,0.21371573205728264,0.08190196689594353,0.7229463351282549,0.2770536648717451,0.8096592658662454,0.13594597822063018,0.0,0.05439475591312434,20.0,0.4157137081542346
2017-11-01,2017,2017/18,78,Ealing,E09000009,2,Outer London,0.0,Inactive,2,3.8796336370473807,8.293304699487578,0.9900565225853364,0.009943477414663662,0.0,0.0,1.814904637308151,True,True,0.009943477414663662,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0831956255359593
2017-11-01,2017,2017/18,78,Ealing,E09000009,2,Outer London,1.0,Insufficiently Active,5,12.426865111464068,37.536170607482354,0.8566203208376821,0.13574401037011152,0.003676124683635565,0.003959544108570595,4.114084468375147,True,True,0.13970355447868213,0.00763566879220616,0.9481762654729915,0.0518237345270085,0.6462821167111861,0.35371788328881393,0.0,0.0,20.0,0.17060919205830258
2017-11-01,2017,2017/18,78,Ealing,E09000009,2,Outer London,2.0,Active,24,82.76251376559489,455.90887216597497,0.784223825977467,0.153902510174019,0.022461471296647828,0.03941219255186609,15.024128949845606,False,True,0.1933147027258851,0.06187366384851392,0.7575372863618572,0.24246271363814276,0.8468228751651055,0.14401786708036723,0.009159257754527179,0.0,20.0,0.4289650992137475
2017-11-01,2017,2017/18,91,Enfield,E09000010,2,Outer London,0.0,Inactive,13,30.707122217795387,142.75735292076928,0.9918468275638643,0.008153172436135704,0.0,0.0,6.605105345585599,True,True,0.008153172436135704,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.24826458154511832
2017-11-01,2017,2017/18,91,Enfield,E09000010,2,Outer London,1.0,Insufficiently Active,6,20.570162876340767,86.60878173103328,0.9195418874752259,0.07305915383231124,0.003562162715900573,0.003836795976562205,4.885550775592693,True,True,0.07689594980887345,0.007398958692462778,0.912225319132466,0.08777468086753404,1.0,0.0,0.0,0.0,20.0,0.19632078147068197
2017-11-01,2017,2017/18,91,Enfield,E09000010,2,Outer London,2.0,Active,25,45.0698618519186,116.31595447692415,0.7463849257919576,0.11040221718252942,0.04627183352361097,0.09694102350190203,17.46357545261785,False,True,0.20734324068443144,0.143212857025513,0.5914695024246603,0.40853049757533966,0.7569050042215485,0.05208002451039029,0.062096374936328,0.12891859633173317,20.0,0.46614812498889624
2017-11-01,2017,2017/18,107,Greenwich,E09000011,2,Outer London,0.0,Inactive,6,12.070741733519254,27.288432725985263,0.9914395628355647,0.008560437164435402,0.0,0.0,5.339361459867891,True,True,0.008560437164435402,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2107141282279071
2017-11-01,2017,2017/18,107,Greenwich,E09000011,2,Outer London,1.0,Insufficiently Active,8,15.16219713989371,41.980758423693516,0.8355674385688527,0.15720512384185412,0.003479585409539347,0.003747852179753643,5.476133131964861,True,True,0.16095297602160777,0.00722743758929299,0.9570256878662801,0.04297431213371994,0.6006559137612449,0.3993440862387551,0.0,0.0,20.0,0.2149515039664307
2017-11-01,2017,2017/18,107,Greenwich,E09000011,2,Outer London,2.0,Active,35,49.89593455373656,104.97375841451147,0.6658463896555373,0.20621263662913686,0.040351845627418476,0.08758912808790728,23.71644421037136,False,False,0.2938017647170441,0.12794097371532576,0.6966373998734724,0.3033626001265276,0.6056749522070126,0.2440637735313359,0.047011921380727906,0.10324935288092349,20.0,0.5425062499649692
2017-11-01,2017,2017/18,109,Hackney,E09000012,1,Inner London,0.0,Inactive,3,23.658041282128423,276.10072515043635,0.990152342841591,0.009847657158409134,0.0,0.0,2.02716931294524,True,True,0.009847657158409134,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.09203040500323773
2017-11-01,2017,2017/18,109,Hackney,E09000012,1,Inner London,1.0,Insufficiently Active,3,6.814837522462071,16.757057346852402,0.9120723115539995,0.07984182470497153,0.003892867029178971,0.004192996711849935,2.7714896175539145,True,True,0.08403482141682146,0.008085863741028905,0.9122253191324657,0.08777468086753426,1.0,0.0,0.0,0.0,20.0,0.12170875353790862
2017-11-01,2017,2017/18,109,Hackney,E09000012,1,Inner London,2.0,Active,19,50.840332869965174,191.8135931104858,0.6791132697303127,0.21524379968957125,0.019389945147979714,0.0862529854321363,13.475267338535469,False,True,0.3014967851217075,0.10564293058011602,0.740524133348156,0.25947586665184397,0.592902368779346,0.2952657844679462,0.0,0.11183184675270767,20.0,0.4025439797764736
2017-11-01,2017,2017/18,112,Hammersmith and Fulham,E09000013,1,Inner London,0.0,Inactive,6,11.39278762878478,57.3792347653894,0.990256249684895,0.009743750315105043,0.0,0.0,2.2620658934420463,True,True,0.009743750315105043,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.10161078061081498
2017-11-01,2017,2017/18,112,Hammersmith and Fulham,E09000013,1,Inner London,1.0,Insufficiently Active,5,5.391714237573508,6.569010360569862,0.8937442572386731,0.09871739882972011,0.0036292684969520123,0.003909075434654599,4.425412782745405,True,True,0.10262647426437471,0.007538343931606612,0.9315721293326511,0.0684278706673489,0.8659795228026024,0.1340204771973977,0.0,0.0,20.0,0.18118067531172305
2017-11-01,2017,2017/18,112,Hammersmith and Fulham,E09000013,1,Inner London,2.0,Active,29,38.83833731888883,81.47261338198449,0.6772401954668347,0.24961988732990756,0.016853011334612845,0.056286905868644946,18.514398680493773,False,True,0.3059067931985525,0.0731399172032578,0.8070424694473,0.19295753055270004,0.6124702591716172,0.3449964329649533,0.0,0.04253330786342945,20.0,0.4807136892902001
2017-11-01,2017,2017/18,114,Haringey,E09000014,1,Inner London,0.0,Inactive,7,10.393606848535596,23.254395659940087,0.9911985361322945,0.008801463867705504,0.0,0.0,4.645447032967717,True,True,0.008801463867705504,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.1884910842458486
2017-11-01,2017,2017/18,114,Haringey,E09000014,1,Inner London,1.0,Insufficiently Active,8,16.0680433750611,74.86486314485902,0.8962910714629274,0.08729898971303665,0.012338027701260277,0.004071911122775573,3.4486407515803275,True,True,0.09137090083581223,0.01640993882403585,0.8477471610369252,0.15225283896307484,0.8754323820894774,0.06638133164093123,0.0581862862695914,0.0,20.0,0.14707209633666743
2017-11-01,2017,2017/18,114,Haringey,E09000014,1,Inner London,2.0,Active,37,58.07358550224155,139.14383007982755,0.7509294246675413,0.17037424196741202,0.02621425985269007,0.0524820735123566,24.23780724701422,False,False,0.2228563154797686,0.07869633336504667,0.7390295403919821,0.2609704596080179,0.7622591690679191,0.1778388810563264,0.0210653452176943,0.03883660465806027,20.0,0.5478980255887372
2017-11-01,2017,2017/18,117,Harrow,E09000015,2,Outer London,0.0,Inactive,9,25.428746042102116,122.79397798448507,0.9914146739507327,0.008585326049267343,0.0,0.0,5.265902578344877,True,True,0.008585326049267343,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2084193336064797
2017-11-01,2017,2017/18,117,Harrow,E09000015,2,Outer London,1.0,Insufficiently Active,7,10.71795414251448,19.697332248456142,0.9041809158725952,0.08869120897132002,0.003431651963466671,0.003696223192617969,5.831984735397205,True,True,0.092387432163938,0.0071278751560846405,0.9283740828618182,0.07162591713818178,0.918903650223112,0.08109634977688802,0.0,0.0,20.0,0.22576603366468073
2017-11-01,2017,2017/18,117,Harrow,E09000015,2,Outer London,2.0,Active,17,38.63648633672061,144.99490574914182,0.7635905319407825,0.1694203391593992,0.02142516564904417,0.045563963250774185,10.295382922144032,False,True,0.21498430241017338,0.06698912889981835,0.7624275145761061,0.23757248542389386,0.8148591744371992,0.1851408255628007,0.0,0.0,20.0,0.33983339800002166
2017-11-01,2017,2017/18,122,Havering,E09000016,2,Outer London,0.0,Inactive,7,19.553100277746363,79.76937393928495,0.9912508690050991,0.008749130994900973,0.0,0.0,4.7928636216024945,True,True,0.008749130994900973,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.19331625804718988
2017-11-01,2017,2017/18,122,Havering,E09000016,2,Outer London,1.0,Insufficiently Active,4,8.667734078162184,24.23417073837456,0.9133233218391666,0.07870585780242093,0.003837480417994689,0.0041333399404176,3.1001520481477454,True,True,0.08283919774283853,0.00797082035841229,0.912225319132466,0.08777468086753404,1.0,0.0,0.0,0.0,20.0,0.13420483301088604
2017-11-01,2017,2017/18,122,Havering,E09000016,2,Outer London,2.0,Active,23,44.16599820161396,122.52489498574364,0.7953529289282786,0.10969953831358208,0.03789989457087726,0.05704763818726216,15.920318865581834,False,True,0.16674717650084425,0.09494753275813941,0.6371820697980735,0.36281793020192654,0.8684091444456384,0.044841064159319106,0.044741107666479735,0.042008683728562694,20.0,0.44321206961323445
2017-11-01,2017,2017/18,126,Hillingdon,E09000017,2,Outer London,0.0,Inactive,12,34.98790679513872,161.25395688616962,0.9921382928099274,0.007861707190072632,0.0,0.0,7.591464082766374,True,True,0.007861707190072632,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.2751381390996211
2017-11-01,2017,2017/18,126,Hillingdon,E09000017,2,Outer London,1.0,Insufficiently Active,4,10.049506524289404,29.1759372177638,0.9146583029203744,0.07749364209023714,0.0037783761252803074,0.004069678864108018,3.461502560412896,True,True,0.08156332095434515,0.007848054989388325,0.9122253191324657,0.08777468086753426,1.0,0.0,0.0,0.0,20.0,0.14753967916162217
2017-11-01,2017,2017/18,126,Hillingdon,E09000017,2,Outer London,2.0,Active,19,43.10204663926274,131.16926113851824,0.7630876279188501,0.15115362494448603,0.018999454295455923,0.06675929284120798,14.163275819106035,False,True,0.217912917785694,0.0857587471366639,0.7175938454495236,0.28240615455047635,0.7996450057863348,0.13678647855463844,0.0,0.06356851565902673,20.0,0.41457604633994527
2017-11-01,2017,2017/18,129,Hounslow,E09000018,2,Outer London,0.0,Inactive,6,15.574219411032288,52.96799971960549,0.9911748495670389,0.008825150432961143,0.0,0.0,4.579299039929491,True,True,0.008825150432961143,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.18630714539459978
2017-11-01,2017,2017/18,129,Hounslow,E09000018,2,Outer London,1.0,Insufficiently Active,4,4.68965688707783,6.61603422023854,0.9141558445237434,0.07794989422121396,0.0038006217200451495,0.00409363953499736,3.3241789547037097,True,True,0.08204353375621132,0.00789426125504251,0.9122253191324659,0.08777468086753415,1.0,0.0,0.0,0.0,20.0,0.14252072757456413
2017-11-01,2017,2017/18,129,Hounslow,E09000018,2,Outer London,2.0,Active,24,57.98532067158801,243.316296540843,0.6811376223767283,0.1452905979328286,0.07042386722249729,0.10314791246794586,13.818628103368725,False,True,0.24843851040077447,0.17357177969044313,0.5887024943090237,0.41129750569097634,0.5999987512460526,0.12207943725271439,0.12537821878773406,0.15254359271349888,20.0,0.4086099548784544
2017-11-01,2017,2017/18,135,Islington,E09000019,1,Inner London,0.0,Inactive,3,5.10298096905041,11.844560388703707,0.9902283537697621,0.009771646230237834,0.0,0.0,2.198512559007737,True,True,0.009771646230237834,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.09903873303058866
2017-11-01,2017,2017/18,135,Islington,E09000019,1,Inner London,1.0,Insufficiently Active,2,5.1733445326129415,17.17606879830262,0.9071237008256087,0.08433535930473487,0.004111959375233587,0.00442898049442271,1.558185051969578,True,True,0.08876433979915758,0.008540939869656297,0.9122253191324659,0.08777468086753415,1.0,0.0,0.0,0.0,20.0,0.07227811841364729
2017-11-01,2017,2017/18,135,Islington,E09000019,1,Inner London,2.0,Active,28,62.52530184613912,195.80100233833025,0.7472830758471621,0.1846792021309953,0.016240789769640388,0.051796932252202256,19.96625821248667,False,True,0.23647613438319756,0.06803772202184265,0.7765693724907407,0.22343062750925935,0.7573841765331475,0.20806994874496162,0.0,0.03454587472189098,20.0,0.49957787157189026
2017-11-01,2017,2017/18,136,Kensington and Chelsea,E09000020,1,Inner London,0.0,Inactive,6,10.546938437567686,19.077757881102613,0.9916024160694558,0.008397583930544237,0.0,0.0,5.830764343436233,True,True,0.008397583930544237,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.225729454456421
2017-11-01,2017,2017/18,136,Kensington and Chelsea,E09000020,1,Inner London,1.0,Insufficiently Active,3,3.5395906747541583,5.5071877652448675,0.9101123729216796,0.08162152663367951,0.003979640383691272,0.004286460060949481,2.2749727590320377,True,True,0.085907986694629,0.008266100444640753,0.912225319132466,0.08777468086753404,1.0,0.0,0.0,0.0,20.0,0.10213133742709443
2017-11-01,2017,2017/18,136,Kensington and Chelsea,E09000020,1,Inner London,2.0,Active,21,35.500529056973626,162.55950753538372,0.7661562087814178,0.13429021728518914,0.03681988197618974,0.06273369195720352,7.752776705790073,True,True,0.19702390924239266,0.09955357393339326,0.6643252452365497,0.3356747547634503,0.8408576822263183,0.06454049653868967,0.0480821748718984,0.04651964636309374,20.0,0.27935138843864254
2017-11-01,2017,2017/18,139,Kingston upon Thames,E09000021,2,Outer London,0.0,Inactive,3,6.531405067672908,19.191364411891016,0.990239048995926,0.0097609510040741,0.0,0.0,2.2228358152373766,True,True,0.0097609510040741,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.10002484983096803
2017-11-01,2017,2017/18,139,Kingston upon Thames,E09000021,2,Outer London,1.0,Insufficiently Active,2,3.0742900784958103,6.600629320921273,0.8521292049473526,0.13927951762764657,0.004136193942597812,0.004455083482402942,1.4318724817315798,True,True,0.14373460111004951,0.008591277425000755,0.9435993574589896,0.056400642541010404,0.1850506286803987,0.8149493713196013,0.0,0.0,20.0,0.06681042372532314
2017-11-01,2017,2017/18,139,Kingston upon Thames,E09000021,2,Outer London,2.0,Active,19,43.30498726162475,160.61697656992072,0.7162058621478258,0.11273842073613594,0.08103462468387661,0.09002109243216173,11.675739151478211,False,True,0.20275951316829766,0.17105571711603834,0.542405704053503,0.45759429594649703,0.6802455615610435,0.02950686437708068,0.1642506749539241,0.1259968991079517,20.0,0.36860194787067313
2017-11-01,2017,2017/18,142,Lambeth,E09000022,1,Inner London,0.0,Inactive,13,22.34631111218723,81.42137618850457,0.9916995377903146,0.008300462209685363,0.0,0.0,6.133003932119291,True,True,0.008300462209685363,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.23468423102257294
2017-11-01,2017,2017/18,142,Lambeth,E09000022,1,Inner London,1.0,Insufficiently Active,3,2.8716002156543636,3.0443446021494887,0.8858328015697591,0.10605896219158656,0.003903638068755604,0.004204598169898595,2.7086578151251204,True,True,0.11026356036148516,0.008108236238654198,0.9315019584771206,0.06849804152287942,0.7820546415926873,0.21794535840731266,0.0,0.0,20.0,0.11927863976712073
2017-11-01,2017,2017/18,142,Lambeth,E09000022,1,Inner London,2.0,Active,38,72.28612978201794,334.15994016243445,0.82085642066009,0.11770813703158528,0.01821371618100723,0.04322172612731757,15.63707653383808,False,True,0.16092986315890284,0.0614354423083248,0.7237184003177186,0.2762815996822814,0.927855198671097,0.06191793779433864,0.0,0.01022686353456447,20.0,0.4387867371497316
2017-11-01,2017,2017/18,147,Lewisham,E09000023,1,Inner London,0.0,Inactive,2,7.763017382914223,41.35489181287411,0.9898907825563701,0.01010921744363,0.0,0.0,1.457250551158922,True,True,0.01010921744363,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.06791413222698352
2017-11-01,2017,2017/18,147,Lewisham,E09000023,1,Inner London,1.0,Insufficiently Active,3,5.16214745044438,10.184338029962117,0.9114699193544937,0.08038882068822341,0.003919537043750443,0.00422172291353239,2.616543777487768,True,True,0.0846105436017558,0.008141259957282834,0.9122253191324657,0.08777468086753426,1.0,0.0,0.0,0.0,20.0,0.11569158414435737
2017-11-01,2017,2017/18,147,Lewisham,E09000023,1,Inner London,2.0,Active,27,71.54186664942532,349.24947846265644,0.7761987722000556,0.14083885358161377,0.018729887858916865,0.0642324863594139,14.654964428905862,False,True,0.20507133994102766,0.08296237421833078,0.7119699183116087,0.2880300816883913,0.8294227233988789,0.1128769102894099,0.0,0.05770036631171132,20.0,0.4228821085351364
2017-11-01,2017,2017/18,160,Merton,E09000024,2,Outer London,0.0,Inactive,7,4.774676984715936,4.583008436451581,0.9913144521294337,0.008685547870566433,0.0,0.0,4.974361410084415,True,True,0.008685547870566433,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.19917872286719668
2017-11-01,2017,2017/18,160,Merton,E09000024,2,Outer London,1.0,Insufficiently Active,8,7.741272209248306,11.941049105935841,0.919969750347867,0.07267063739250787,0.0035432197265038096,0.0038163925331211918,5.018595509157613,True,True,0.07648702992562906,0.007359612259625002,0.9122253191324656,0.08777468086753437,1.0,0.0,0.0,0.0,20.0,0.2005946140070351
