survey_year,survey_wave,scenario,aggregation_weight,neither_recorded_rate,indoor_only_rate,outdoor_only_rate,both_rate,indoor_rate,outdoor_rate,indoor_exposure_share,outdoor_exposure_share
2023,2023/24,legacy_recovery,26649.761883384097,0.8380856062314435,0.07382102167388348,0.03768506824651233,0.05040830384816074,0.12422932552204421,0.08809337209467306,0.5850967744687461,0.4149032255312539
2023,2023/24,persistent_legacy,26649.761883384097,0.8359402202140387,0.07178382906105095,0.039385725632738976,0.0528902250921714,0.12467405415322236,0.09227595072491038,0.5746672106472434,0.42533278935275665
2024,2024/25,legacy_recovery,26649.761883384097,0.8397792619157673,0.07402149366798678,0.04000256640786501,0.04619667800838091,0.1202181716763677,0.08619924441624592,0.5824032387966199,0.4175967612033801
2024,2024/25,persistent_legacy,26649.761883384097,0.8359912619131521,0.07103768668926165,0.04211509152867722,0.05085595986890903,0.12189364655817067,0.09297105139758624,0.5673042045430374,0.4326957954569626
2025,2025/26,legacy_recovery,26649.761883384097,0.8402601623212416,0.07380405224419423,0.04006665881930592,0.04586912661525823,0.11967317885945246,0.08593578543456415,0.5820426131242131,0.4179573868757869
2025,2025/26,persistent_legacy,26649.761883384097,0.8358247449721273,0.07099235009485186,0.04241456076096871,0.05076834417205204,0.12176069426690389,0.09318290493302075,0.5664774141687796,0.4335225858312204
2026,2026/27,legacy_recovery,26649.761883384097,0.8404520904007172,0.07375086056315618,0.04004298938055512,0.045754059655571465,0.11950492021872763,0.08579704903612659,0.5820933946833149,0.4179066053166851
2026,2026/27,persistent_legacy,26649.761883384097,0.8356294325614566,0.07086747132400772,0.0424943214850033,0.05100877462953241,0.12187624595354013,0.09350309611453572,0.5658678533571627,0.4341321466428373
2027,2027/28,legacy_recovery,26649.761883384097,0.840494799746655,0.073784232045304,0.040004743424688224,0.045716224783352764,0.11950045682865676,0.08572096820804098,0.5823001024736459,0.41769989752635406
2027,2027/28,persistent_legacy,26649.761883384097,0.8355081894614542,0.07086503064977115,0.04252026978701098,0.05110651010176357,0.12197154075153471,0.09362677988877455,0.5657351151404578,0.4342648848595422
2028,2028/29,legacy_recovery,26649.761883384097,0.8405440825870788,0.07378491033101439,0.03999708302500103,0.04567392405690573,0.11945883438792013,0.08567100708190675,0.5823571720816235,0.4176428279183765
2028,2028/29,persistent_legacy,26649.761883384097,0.8355142395089661,0.07077925353526308,0.04253838927519374,0.0511681176805771,0.12194737121584018,0.09370650695577085,0.5654772928256734,0.4345227071743266
