survey_year,survey_wave,scenario,activity_level_code,activity_level,aggregation_weight,neither_recorded_rate,indoor_only_rate,outdoor_only_rate,both_rate,indoor_rate,outdoor_rate,indoor_exposure_share,outdoor_exposure_share
2023,2023/24,legacy_recovery,0,Inactive,6337.924906421567,0.9994938113102444,0.00040639081023959364,6.647898588699828e-05,3.331889362905906e-05,0.0004397097038686527,9.979787951605734e-05,0.8150204323543422,0.18497956764565782
2023,2023/24,legacy_recovery,1,Insufficiently Active,2609.1186951779496,0.9082397788430193,0.07070112463979053,0.017103198361680592,0.003955898155509417,0.07465702279529995,0.02105909651719001,0.7799838034758059,0.22001619652419413
2023,2023/24,legacy_recovery,2,Active,17702.71828178458,0.7699585747113014,0.1005647449591523,0.0541867337346978,0.07528994659484867,0.17585469155400096,0.12947668032954646,0.5759470128116133,0.4240529871883867
2023,2023/24,persistent_legacy,0,Inactive,6337.924906421567,0.9994543029519437,0.0004410443006014544,7.157004656088997e-05,3.308270089381137e-05,0.0004741270014952658,0.00010465274745470135,0.8191838127637253,0.18081618723627468
2023,2023/24,persistent_legacy,1,Insufficiently Active,2609.1186951779496,0.9087117631819098,0.06980102280228045,0.01749372518356414,0.003993488832245411,0.07379451163452587,0.021487214015809553,0.7744875644395521,0.22551243556044787
2023,2023/24,persistent_legacy,2,Active,17702.71828178458,0.7666734809906401,0.0976181999201288,0.056687531413974084,0.07902078767525714,0.17663898759538593,0.13570831908923123,0.565521084430997,0.434478915569003
2024,2024/25,legacy_recovery,0,Inactive,6337.924906421567,0.999414930437359,0.0004900916128006362,6.448643150977449e-05,3.049151833062676e-05,0.000520583131131263,9.497794984040126e-05,0.8457050765937341,0.15429492340626594
2024,2024/25,legacy_recovery,1,Insufficiently Active,2609.1186951779496,0.9083323191514633,0.06926507869832152,0.01979045475173191,0.00261214739848326,0.07187722609680477,0.022402602150215167,0.7623818099082792,0.2376181900917208
2024,2024/25,legacy_recovery,2,Active,17702.71828178458,0.7725228144160284,0.10104822188527665,0.0572801587707598,0.06914880492793511,0.17019702681321175,0.1264289636986949,0.5737765140522304,0.4262234859477696
2024,2024/25,persistent_legacy,0,Inactive,6337.924906421567,0.9993570454859871,0.0005462052675868807,6.5311199973141e-05,3.14380464526782e-05,0.000577643314039559,9.674924642581921e-05,0.85653868073655,0.14346131926344996
2024,2024/25,persistent_legacy,1,Insufficiently Active,2609.1186951779496,0.9087243618152663,0.06811019842782325,0.020482869065088224,0.0026825706918221213,0.07079276911964537,0.023165439756910346,0.753449538535312,0.24655046146468795
2024,2024/25,persistent_legacy,2,Active,17702.71828178458,0.7667832826766046,0.0967065061842534,0.060358017895253954,0.07615219324388821,0.1728586994281416,0.13651021113914216,0.5587461878802688,0.44125381211973125
2025,2025/26,legacy_recovery,0,Inactive,6337.924906421567,0.999437672693587,0.00046710478598630776,6.376411199620893e-05,3.14584084303615e-05,0.0004985631944166692,9.522252042657044e-05,0.8396348749283916,0.16036512507160838
2025,2025/26,legacy_recovery,1,Insufficiently Active,2609.1186951779496,0.9077778529881089,0.0691856249975837,0.020489294210292178,0.0025472278040151734,0.07173285280159887,0.02303652201430735,0.7569201858822343,0.2430798141177657
2025,2025/26,legacy_recovery,2,Active,17702.71828178458,0.7733203422527853,0.10074082450353823,0.05727390382255199,0.06866492942112445,0.16940575392466267,0.12593883324367644,0.5735867907682547,0.4264132092317453
2025,2025/26,persistent_legacy,0,Inactive,6337.924906421567,0.9994154092232399,0.0004886729201894623,6.449824790563957e-05,3.1419608664825964e-05,0.0005200925288542883,9.591785657046554e-05,0.8442918190343043,0.15570818096569572
2025,2025/26,persistent_legacy,1,Insufficiently Active,2609.1186951779496,0.9079825326737794,0.0683138542519734,0.021178508492744906,0.002525104581502192,0.07083895883347559,0.0237036130742471,0.7492810635891863,0.25071893641081366
2025,2025/26,persistent_legacy,2,Active,17702.71828178458,0.7666210464886685,0.09662883811404994,0.060706604492357055,0.0760435109049246,0.17267234901897455,0.13675011539728166,0.5580472295207497,0.4419527704792503
2026,2026/27,legacy_recovery,0,Inactive,6337.924906421567,0.9994621671943213,0.00045020802868334044,5.760192814080726e-05,3.0022848854390585e-05,0.000480230877537731,8.762477699519785e-05,0.8456918121784475,0.15430818782155253
2026,2026/27,legacy_recovery,1,Insufficiently Active,2609.1186951779496,0.9078184600653052,0.06916470037364579,0.02047013326499895,0.0025467062960498207,0.07171140666969561,0.02301683956104877,0.7570224249166077,0.24297757508339235
2026,2026/27,legacy_recovery,2,Active,17702.71828178458,0.7735945173567981,0.10066988283190359,0.05724330195345585,0.06849229785784253,0.16916218068974612,0.1257355998112984,0.5736298876252376,0.4263701123747624
2026,2026/27,persistent_legacy,0,Inactive,6337.924906421567,0.9994119799035374,0.0004948052176223648,6.332082883062853e-05,2.9894050009552552e-05,0.0005246992676319173,9.321487884018108e-05,0.8491459058311264,0.15085409416887363
2026,2026/27,persistent_legacy,1,Insufficiently Active,2609.1186951779496,0.9079030545102135,0.06825357166130445,0.021303047959556686,0.0025403258689253197,0.07079389753022977,0.023843373828482006,0.7480551426920751,0.25194485730792493
2026,2026/27,persistent_legacy,2,Active,17702.71828178458,0.7663399638648098,0.09644753425649978,0.06080874295589255,0.07640375892279791,0.1728512931792977,0.13721250187869047,0.5574700946525248,0.44252990534747516
2027,2027/28,legacy_recovery,0,Inactive,6337.924906421567,0.9994230681265089,0.00048491462743177274,6.21184083065542e-05,2.9898837752646725e-05,0.0005148134651844194,9.201724605920091e-05,0.8483642235729573,0.15163577642704273
2027,2027/28,legacy_recovery,1,Insufficiently Active,2609.1186951779496,0.907821802551063,0.06916084788444224,0.02047038283147654,0.002546966733018084,0.07170781461746033,0.023017349564494624,0.7570091351831154,0.2429908648168846
2027,2027/28,legacy_recovery,2,Active,17702.71828178458,0.773672317833038,0.10070826257828487,0.05718407252547425,0.0684353470632029,0.16914360964148778,0.12561941958867714,0.5738291198975719,0.4261708801024281
2027,2027/28,persistent_legacy,0,Inactive,6337.924906421567,0.99936227805795,0.000542308786829745,6.408308601305905e-05,3.133006920705766e-05,0.0005736388560368027,9.541315522011671e-05,0.8573905262748286,0.1426094737251714
2027,2027/28,persistent_legacy,1,Insufficiently Active,2609.1186951779496,0.9078924270215536,0.06829442696611694,0.021279746213172746,0.0025333997991566467,0.07082782676527359,0.02381314601232939,0.7483843908886275,0.2516156091113725
