model,year,age_85plus_active_rate,disability_gap
Ridge Regression,9,0.19506475910334597,0.14189909048864446
Ridge Regression,10,0.20231237443147684,0.12927675757288415
Ridge Regression,11,0.18578501005065054,0.12165300039501448
Ridge Regression,12,0.1961337235817498,0.11331688305828924
Ridge Regression,13,0.20612649178829975,0.10547976269133752
Ridge Regression,14,0.21986375982787199,0.09753456829517504
Ridge Regression,15,0.23450226131484603,0.08956224272524849
Ridge Regression,16,0.25039673721299416,0.08156333945527927
Random Forest,9,0.1814367522062084,0.17940034809286887
Random Forest,10,0.1879306997237044,0.1912427742960291
Random Forest,11,0.04393069969962036,0.1970494342607617
Random Forest,12,0.07127844470219459,0.20004746383666416
Random Forest,13,0.014817037851016375,0.20121892165248567
Random Forest,14,0.016753358401814446,0.2016873306767989
Random Forest,15,0.010216645556324034,0.20229215975440884
Random Forest,16,0.009922098151531328,0.20264683894209978
Gradient Boosting,9,0.3477832312345495,0.19111493917565114
Gradient Boosting,10,0.32179729515631994,0.19886056451460832
Gradient Boosting,11,0.305042116373886,0.20388417464428754
Gradient Boosting,12,0.30658053921983475,0.20569280029654513
Gradient Boosting,13,0.3066621412063262,0.2064002397144441
Gradient Boosting,14,0.3066621412063262,0.20644843220433695
Gradient Boosting,15,0.3066621412063262,0.20643722336641745
Gradient Boosting,16,0.3066621412063262,0.20644843220433695
Naive baseline,9,0.35321496836739874,0.1996222730628775
Naive baseline,10,0.35321496836739874,0.1996222730628775
Naive baseline,11,0.35321496836739874,0.1996222730628775
Naive baseline,12,0.35321496836739874,0.1996222730628775
Naive baseline,13,0.35321496836739874,0.1996222730628775
Naive baseline,14,0.35321496836739874,0.1996222730628775
Naive baseline,15,0.35321496836739874,0.1996222730628775
Naive baseline,16,0.35321496836739874,0.1996222730628775
