,age_85plus_year9,age_85plus_year16,age_85plus_change,disability_gap_year9,disability_gap_year16,disability_gap_change,age_85plus_direction,disability_gap_direction
Ridge Regression,0.19506475910334597,0.25039673721299416,0.05533197810964818,0.14189909048864446,0.08156333945527927,-0.06033575103336519,not declined,not widened
Random Forest,0.1814367522062084,0.009922098151531328,-0.17151465405467706,0.17940034809286887,0.20264683894209978,0.023246490849230916,declined,widened
Gradient Boosting,0.3477832312345495,0.3066621412063262,-0.04112109002822334,0.19111493917565114,0.20644843220433695,0.015333493028685807,declined,widened
Naive baseline,0.35321496836739874,0.35321496836739874,0.0,0.1996222730628775,0.1996222730628775,0.0,not declined,not widened
