observations,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,task,fixed_model,fixed_parameters,weighting_scheme,training_rows,original_weight_mean,analysis_weight_mean,analysis_weight_min,analysis_weight_max
62392,0.021213311248115877,0.06094143482614357,0.6260388967396485,12138,0.06807520044396327,50254,0.009894617988689847,42560,0.6821387357353507,0.023733193764722653,19832,0.01580557627903639,disability_months12,Ridge Regression,"{""alpha"": 100.0}",weighted_n,434104,65.81831560019879,65.81831560019879,0.1557960930859681,885.9974770798794
62392,0.01996609058662352,0.058754521097276004,0.6523968819793893,12138,0.0668960471104939,50254,0.008630956820421053,42560,0.6821387357353507,0.022004691512146676,19832,0.015591198725476606,disability_months12,Ridge Regression,"{""alpha"": 100.0}",sqrt_raw_n_rescaled,434104,65.81831560019879,65.81831560019877,13.60759409854868,359.2507928371867
