observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,task,fixed_model,fixed_parameters,weighting_scheme,training_rows,original_weight_mean,analysis_weight_mean,analysis_weight_min,analysis_weight_max
256,0.10975646764572967,0.07317097843048646,0.10876170869100972,0.08476662192733021,0.12316759836528034,0.4550768519842987,0.04276336952771587,0.05902606281248102,-0.011490203120657627,0.0919829438364133,0.12974203040630364,0.4586196609177341,252,0.08864388816589454,4,0.3023434510790958,51,0.19921875,0.22845572473440334,205,0.08022640856513284,age_overall_level,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",weighted_n,1280,108.16077809968692,108.16077809968692,0.6858690103854128,426.7815955793518
256,0.1085900487822474,0.0723933658548316,0.1082618301092544,0.08552348752290354,0.12498529792377319,0.43887428742748735,0.042906295886910695,0.059882844054393494,-0.041067493541115496,0.0887503141546806,0.12631148746918483,0.4868707181998537,252,0.08661523730613425,4,0.22326015561309964,51,0.19921875,0.2220166862529273,205,0.08037171458222458,age_overall_level,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",sqrt_raw_n_rescaled,1280,108.16077809968692,108.16077809968688,14.576495375359743,204.0709352550364
