task,fixed_model,primary_metric,weighted_n_value,sqrt_raw_n_rescaled_value,absolute_change,percentage_change,weighted_n_positive_cell_mae,sqrt_raw_n_rescaled_positive_cell_mae,positive_cell_mae_change,same_prediction_expected
age_overall_level,Gradient Boosting,total_variation,0.10829036946343557,0.10788879225813505,-0.0004015772053005129,-0.37083371983148156,0.08573694876914316,0.08564146477529404,-9.548399384912143e-05,False
disability_overall_level,Gradient Boosting,total_variation,0.18411335610785493,0.18151330394009174,-0.002600052167763184,-1.4122018210564011,0.13420397114693547,0.13336392715463694,-0.0008400439922985337,False
age_activity_level,Random Forest,total_variation,0.008036257372554461,0.008131841865063973,9.558449250951159e-05,1.1894155211598012,0.03745509321509736,0.03787886416760657,0.00042377095250921426,False
disability_activity_level,Gradient Boosting,total_variation,0.008057673098219186,0.00788366048409789,-0.00017401261412129665,-2.1595889036470703,0.06930498915370999,0.06591974549341005,-0.003385243660299936,False
age_months12,Naive baseline,months12_rate_mae,0.017007538662800997,0.017007538662800997,0.0,0.0,0.041997145490172354,0.041997145490172354,0.0,True
disability_months12,Ridge Regression,participation_MONTHS_12_mae,0.021213311248115877,0.01996609058662352,-0.0012472206614923577,-5.879424701332911,0.06807520044396327,0.0668960471104939,-0.0011791533334693655,False
age_days10p60gr,Naive baseline,days10p60gr_rate_mae,0.009106067378808938,0.009106067378808938,0.0,0.0,0.04118165547764296,0.04118165547764296,0.0,True
disability_days10p60gr,Gradient Boosting,participation_DAYS10P60GR_mae,0.009181620042661643,0.008528794814360453,-0.0006528252283011897,-7.110131167134894,0.06370811109965158,0.06466452487496793,0.000956413775316356,False
