task,model,candidate_id,parameters_json,folds,mean_weighted_tv,sd_weighted_tv,worst_weighted_tv,mean_mae,mean_rmse,mean_weighted_rmse,mean_r2,mean_error,mean_clip_rate,mean_common_rows,mean_all_rows,se_weighted_tv
borough_activity,Gradient Boosting,Gradient Boosting_01,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 1, ""min_leaf_fraction"": 0.05, ""n_estimators"": 120}",3,0.03539973893342637,0.004162531906348861,0.03989334231241394,0.039255751251063016,0.05014455126825949,0.044377891965730006,0.020670030550072587,-0.008351910442197746,0.0,96.0,96.0,0.0024032389166409214
borough_activity,Gradient Boosting,Gradient Boosting_02,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",3,0.035948936420408174,0.003024847875113752,0.03896065711695722,0.03964680594003248,0.050486141483982054,0.04469116174874379,0.013533749390719088,-0.009648850447130456,0.0,96.0,96.0,0.0017463967349545923
borough_activity,Gradient Boosting,Gradient Boosting_03,"{""learning_rate"": 0.025, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",3,0.03576746077105442,0.002774667867628916,0.0383412801593876,0.039502298845777474,0.050312739538117636,0.04454417516968706,0.01956733748347339,-0.009287605191770139,0.0,96.0,96.0,0.0016019552402873596
borough_activity,Gradient Boosting,Gradient Boosting_04,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 400}",3,0.035298565532395514,0.002524033705190668,0.03783534131951155,0.03917299229533607,0.049971763092374694,0.04409698826838357,0.032160730686191595,-0.008862413004036595,0.0,96.0,96.0,0.0014572515391355209
borough_activity,Gradient Boosting,Gradient Boosting_05,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 3, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",3,0.03789844119654026,0.0033004324004346644,0.041217096973491685,0.040536927022319175,0.051314310472121594,0.04675723807938135,-0.01855098909138808,-0.009894958175793373,0.0,96.0,96.0,0.0019055055348331164
borough_activity,Gradient Boosting,Gradient Boosting_06,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",3,0.035686830516270605,0.0029241233713974525,0.03810771001392443,0.03945537912982108,0.05004858187968591,0.04430176982987891,0.026149797470347735,-0.006152454794322856,0.0,96.0,96.0,0.0016882434156199953
borough_activity,Naive baseline,Naive baseline_01,{},3,0.04412036473334671,0.002035492305801351,0.04552950603779558,0.050956267697151864,0.06515827895961944,0.05584641484865749,-0.6596261742709625,-0.005502656700623061,0.0,96.0,96.0,0.0011751920306878221
borough_activity,Random Forest,Random Forest_01,"{""max_depth"": 4, ""max_features"": 0.5, ""min_leaf_fraction"": 0.05, ""n_estimators"": 250}",3,0.03409226106790395,0.002448519589597959,0.0366746455899619,0.038667478367898696,0.04897805964266877,0.042704409417920225,0.06219903448698135,-0.00369368625431102,0.0,96.0,96.0,0.0014136534441704538
borough_activity,Random Forest,Random Forest_02,"{""max_depth"": 6, ""max_features"": 0.5, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",3,0.03541020532116809,0.0023418223309366,0.037949691110768555,0.039042129698957165,0.049153370914561574,0.043873087868675394,0.05886662564717652,-0.004990507941443613,0.0,96.0,96.0,0.001352051753160523
borough_activity,Random Forest,Random Forest_03,"{""max_depth"": 8, ""max_features"": 0.5, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",3,0.03582067615484077,0.0024153802987944414,0.03816418916107308,0.03919213743905303,0.04934366054912525,0.044326245448023,0.05169011371379025,-0.005314376772608049,0.0,96.0,96.0,0.0013945204657042896
borough_activity,Random Forest,Random Forest_04,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",3,0.037481987243410654,0.0035592963724936717,0.03958694186800702,0.04015906318005122,0.05033751319040095,0.0459895919282741,0.01584015543014324,-0.005793221598504883,0.0,96.0,96.0,0.00205496071878488
