task,model,candidate_id,cv_mean_weighted_tv,cv_skill_vs_naive,year8_weighted_tv,year8_skill_vs_naive,selected_model,cv_rank,year8_rank
borough_activity,Random Forest,Random Forest_01,0.03409226106790395,0.22728968189747067,0.031751038046077186,0.1695721244022066,True,1,2
borough_activity,Gradient Boosting,Gradient Boosting_04,0.035298565532395514,0.19994846493831397,0.029224009679357284,0.23566491781277787,False,2,1
borough_activity,Ridge Regression,Ridge Regression_05,0.03893094497556979,0.11761960240221447,0.03235044581306457,0.15389500172565673,False,3,3
borough_activity,Naive baseline,Naive baseline_01,0.04412036473334671,0.0,0.038234552306208196,0.0,False,4,4
borough_age,Gradient Boosting,Gradient Boosting_04,0.04714445090915546,0.29782315952815774,0.05014518252082174,0.24466719837107287,True,1,2
borough_age,Ridge Regression,Ridge Regression_07,0.04782443187485649,0.28769541645618946,0.05157157204669872,0.22318160907548212,False,2,3
borough_age,Random Forest,Random Forest_03,0.049273757979357825,0.26610892631267025,0.048154297638821286,0.2746557352562994,False,3,1
borough_age,Naive baseline,Naive baseline_01,0.06714042416647602,0.0,0.06638819658391666,0.0,False,4,4
borough_age_activity,Gradient Boosting,Gradient Boosting_05,0.06253287296198125,0.2928485290463986,0.06828081943233338,0.2345416281739946,True,1,1
borough_age_activity,Random Forest,Random Forest_05,0.064874507400805,0.2663682130235513,0.06846569483678014,0.23246909261781656,False,2,2
borough_age_activity,Ridge Regression,Ridge Regression_07,0.07049997248986829,0.20275277806747916,0.07857501219914326,0.119139146187758,False,3,3
borough_age_activity,Naive baseline,Naive baseline_01,0.08842924823115335,0.0,0.08920252484723512,0.0,False,4,4
