task,model,candidate_id,parameters_json,observations,weighted_tv,mae,rmse,weighted_rmse,r2,mean_error,clipped_predictions,clip_rate,selected_model,naive_test_weighted_tv,skill_vs_naive
borough_activity,Gradient Boosting,Gradient Boosting_04,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 400}",96,0.029224009679357284,0.03694205289382584,0.04938652932421152,0.04006344607375228,0.20079708441578992,-0.01653092829925576,0,0.0,False,0.038234552306208196,0.23566491781277787
borough_activity,Naive baseline,Naive baseline_01,{},96,0.038234552306208196,0.04603112017324151,0.05818436163413659,0.04861278865482604,-0.10930914572511741,-0.011451953877903246,0,0.0,False,0.038234552306208196,0.0
borough_activity,Random Forest,Random Forest_01,"{""max_depth"": 4, ""max_features"": 0.5, ""min_leaf_fraction"": 0.05, ""n_estimators"": 250}",96,0.031751038046077186,0.03840647737078272,0.050562111663215566,0.04261386891369683,0.16229626327706825,-0.018387387388902166,0,0.0,True,0.038234552306208196,0.1695721244022066
borough_activity,Ridge Regression,Ridge Regression_05,"{""alpha"": 100.0}",96,0.03235044581306457,0.037232825643152605,0.0489949464649078,0.0427943543089971,0.21342050499723098,-0.013973465349932468,0,0.0,False,0.038234552306208196,0.15389500172565673
borough_age,Gradient Boosting,Gradient Boosting_04,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 400}",253,0.05014518252082174,0.058302613815570635,0.1028181270454806,0.06636445294105528,0.007578084566140175,-0.024228392753347473,0,0.0,True,0.06638819658391666,0.24466719837107287
borough_age,Naive baseline,Naive baseline_01,{},253,0.06638819658391666,0.07390139958878364,0.12277224684064914,0.08681351636367968,-0.4150030536365579,-0.010435194136764777,0,0.0,False,0.06638819658391666,0.0
borough_age,Random Forest,Random Forest_03,"{""max_depth"": 8, ""max_features"": 0.5, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",253,0.048154297638821286,0.058434784671647054,0.1006109872788042,0.063571252858012,0.04972831111894549,-0.013362739610016274,0,0.0,False,0.06638819658391666,0.2746557352562994
borough_age,Ridge Regression,Ridge Regression_07,"{""alpha"": 10000.0}",253,0.05157157204669872,0.06599174027803004,0.10424695895460892,0.0688720837167648,-0.020196334686361617,-0.015810295501973135,0,0.0,False,0.06638819658391666,0.22318160907548212
borough_age_activity,Gradient Boosting,Gradient Boosting_05,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 3, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",685,0.06828081943233338,0.08413184531993315,0.14218885297149786,0.09637290271819153,-0.013643946746917601,-0.03541094503867833,0,0.0,True,0.08920252484723512,0.2345416281739946
borough_age_activity,Naive baseline,Naive baseline_01,{},685,0.08920252484723512,0.10892256876720512,0.18415350178251913,0.1266580140639248,-0.7002559089973808,-0.010593033591497858,0,0.0,False,0.08920252484723512,0.0
borough_age_activity,Random Forest,Random Forest_05,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",685,0.06846569483678014,0.08885438155327598,0.138898597577299,0.09370249051547044,0.03272480405105316,-0.017395939902427996,0,0.0,False,0.08920252484723512,0.23246909261781656
borough_age_activity,Ridge Regression,Ridge Regression_07,"{""alpha"": 10000.0}",685,0.07857501219914326,0.0969438591402397,0.1421475891356909,0.10451424303561359,-0.013055704175936045,-0.018382563476441665,0,0.0,False,0.08920252484723512,0.119139146187758
