task,model,candidate_id,parameters_json,train_end_year,validation_year,validation_target_rows,common_rows,common_observations,common_weighted_tv,common_mae,common_rmse,common_weighted_rmse,common_r2,common_mean_error,common_clipped_predictions,common_clip_rate,all_observations,all_weighted_tv,all_mae,all_rmse,all_weighted_rmse,all_r2,all_mean_error,all_clipped_predictions,all_clip_rate
borough_age_activity,Ridge Regression,Ridge Regression_03,"{""alpha"": 1.0}",5,6,704,669,669,0.08782687172654825,0.103521563601168,0.13550612967107323,0.10353395291852938,-0.1432383701167954,0.055835999585424664,0,0.0,704,0.08833172598988578,0.10587539686560019,0.13666902662592087,0.10413213162996172,-0.17555979970891422,0.058669164017780655,0,0.0
borough_age_activity,Ridge Regression,Ridge Regression_03,"{""alpha"": 1.0}",6,7,713,681,681,0.0637526029552072,0.08198805260073655,0.11930704873013273,0.08779709073390729,0.0636765289933715,-0.006488492806678505,3,0.004405286343612335,713,0.0640510176335382,0.08297025071673043,0.12386000848174912,0.08874693308115687,0.059264596065145336,-0.006381127051280478,3,0.004207573632538569
borough_age_activity,Ridge Regression,Ridge Regression_04,"{""alpha"": 10.0}",4,5,695,677,677,0.07838358007795548,0.08337934551068155,0.14360071987948905,0.11287655093438356,-0.1680679747831637,-0.0669792406466914,161,0.2378138847858198,695,0.0791582204546796,0.08725724618505908,0.158053309485739,0.11563833624414033,-0.17423123719558964,-0.07118147788871915,172,0.2474820143884892
borough_age_activity,Ridge Regression,Ridge Regression_04,"{""alpha"": 10.0}",5,6,704,669,669,0.08585668983660528,0.1030661578160674,0.13482060673417037,0.10127545586018791,-0.13170038693533148,0.05532232796182877,0,0.0,704,0.0863734950417719,0.10547105721376332,0.13601916147963847,0.10189167707353726,-0.1644067382549128,0.05822284245146327,0,0.0
borough_age_activity,Ridge Regression,Ridge Regression_04,"{""alpha"": 10.0}",6,7,713,681,681,0.06348879886313602,0.0819845487098074,0.1190045587129891,0.08762222025695574,0.06841840230780871,-0.006963003397287255,2,0.002936857562408223,713,0.06379602799592797,0.08304143800582063,0.12357280488747496,0.08856839454215908,0.06362224703174646,-0.006748891323569214,2,0.002805049088359046
borough_age_activity,Ridge Regression,Ridge Regression_05,"{""alpha"": 100.0}",4,5,695,677,677,0.07480773179632798,0.08589318629484509,0.13611251440141034,0.10639125211706757,-0.0494240101325516,-0.04374420989394125,0,0.0,695,0.07559229559205419,0.08997788426330736,0.15037630592840534,0.10901580392092228,-0.06293147007648892,-0.04773801134438927,0,0.0
borough_age_activity,Ridge Regression,Ridge Regression_05,"{""alpha"": 100.0}",5,6,704,669,669,0.0759044119517174,0.10020771842841479,0.13280943991399038,0.09238475662450657,-0.09818826904539013,0.0502214456436275,0,0.0,704,0.07644269942053011,0.10253182622444683,0.13379991068815,0.09302585362520198,-0.12672043386891185,0.05314896875048036,0,0.0
borough_age_activity,Ridge Regression,Ridge Regression_05,"{""alpha"": 100.0}",6,7,713,681,681,0.06482435119334569,0.08364614235412518,0.11914328652550196,0.08950977459553508,0.06624518127716206,-0.008817152379909361,0,0.0,713,0.0651524093856673,0.08490861423769169,0.12368312774560875,0.0904021691104695,0.06194954916408424,-0.008190936589251692,0,0.0
borough_age_activity,Ridge Regression,Ridge Regression_06,"{""alpha"": 1000.0}",4,5,695,677,677,0.07679435092878982,0.09121689412659048,0.13495053844239757,0.10659384095590026,-0.03158288041827251,-0.028330709367883865,0,0.0,695,0.07760040020502179,0.09555048353808354,0.14859118536167465,0.10902233883905112,-0.037845092057419594,-0.0319232851570878,0,0.0
borough_age_activity,Ridge Regression,Ridge Regression_06,"{""alpha"": 1000.0}",5,6,704,669,669,0.06373012683816395,0.09204442079021295,0.12956829340538228,0.0842281725645427,-0.04524088005514715,0.031271673868404376,0,0.0,704,0.06416597658518615,0.09336998513181709,0.1294948284847722,0.08474295564538557,-0.05538124719494841,0.03348528806193197,0,0.0
borough_age_activity,Ridge Regression,Ridge Regression_06,"{""alpha"": 1000.0}",6,7,713,681,681,0.07158848193907379,0.08896766186667618,0.1222073411014084,0.09585761573578032,0.017600133583103417,-0.009019645427444154,0,0.0,713,0.07191065235582142,0.09032078146080152,0.1265535671677172,0.09664600929713481,0.017903733272782718,-0.007979573723665135,0,0.0
borough_age_activity,Ridge Regression,Ridge Regression_07,"{""alpha"": 10000.0}",4,5,695,677,677,0.0779193565829898,0.09252363763846595,0.1352760468522693,0.10756093818078946,-0.036565355893315,-0.02613385511950881,0,0.0,695,0.0787249984571837,0.09689508686020686,0.14873137745676188,0.10992617593402595,-0.039804378056800704,-0.029619608682947347,0,0.0
borough_age_activity,Ridge Regression,Ridge Regression_07,"{""alpha"": 10000.0}",5,6,704,669,669,0.05952074768351822,0.08619771811096645,0.1275335581475346,0.08239934331879123,-0.012669810144277704,0.015687549571649206,0,0.0,704,0.059895837831951244,0.08710073728693056,0.1271004980810264,0.08286158974929488,-0.016714526078170033,0.01782240654659549,0,0.0
borough_age_activity,Ridge Regression,Ridge Regression_07,"{""alpha"": 10000.0}",6,7,713,681,681,0.07405981320309686,0.09086005865545256,0.12340069803782523,0.09816113595125661,-0.0016798493052641028,-0.009352584800766289,0,0.0,713,0.07438580842062643,0.09232305984212696,0.12769666544677882,0.09891623546521658,8.198899497036116e-05,-0.00804535588791633,0,0.0
borough_age_activity,Random Forest,Random Forest_01,"{""max_depth"": 4, ""max_features"": 0.5, ""min_leaf_fraction"": 0.05, ""n_estimators"": 250}",4,5,695,677,677,0.07482689606295179,0.09094336919541463,0.13431770753549493,0.10435441168208208,-0.021930649447044592,-0.024543066512127756,0,0.0,695,0.07564615758562389,0.09530292589645253,0.14806905810959523,0.10685513631840891,-0.03056424091818699,-0.028234585202513075,0,0.0
borough_age_activity,Random Forest,Random Forest_01,"{""max_depth"": 4, ""max_features"": 0.5, ""min_leaf_fraction"": 0.05, ""n_estimators"": 250}",5,6,704,669,669,0.0633242618690116,0.09004493562620829,0.1290921281050079,0.08423822426297821,-0.037572446927846226,0.026991761445098805,0,0.0,704,0.06368306382987693,0.09084242119349528,0.1286343401334096,0.08468438370825915,-0.04140190932005905,0.028668965864224738,0,0.0
borough_age_activity,Random Forest,Random Forest_01,"{""max_depth"": 4, ""max_features"": 0.5, ""min_leaf_fraction"": 0.05, ""n_estimators"": 250}",6,7,713,681,681,0.07302841633840206,0.08791278219385128,0.12317292164572109,0.0978907816519376,0.0020145941566149794,-0.015459967927519124,0,0.0,713,0.07333273135122835,0.08919416422762853,0.1274379218943645,0.09865542471912395,0.004130023000507799,-0.014298150069571674,0,0.0
borough_age_activity,Random Forest,Random Forest_02,"{""max_depth"": 6, ""max_features"": 0.5, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",4,5,695,677,677,0.06825502234622988,0.08518163083374877,0.13092909943520667,0.09582818513861138,0.02898208137707825,-0.02411985726811671,0,0.0,695,0.06906366696916089,0.08960394951559245,0.1448866676310414,0.09845907968354357,0.013258738256425096,-0.02772972637019889,0,0.0
borough_age_activity,Random Forest,Random Forest_02,"{""max_depth"": 6, ""max_features"": 0.5, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",5,6,704,669,669,0.06316911044844467,0.08793219510342339,0.1271753079485928,0.08331629347704002,-0.006988488038376595,0.02741527502529994,0,0.0,704,0.06352830643525642,0.08878896024689137,0.12678758624106118,0.08377666284079724,-0.011714539499809717,0.029006393019776085,0,0.0
borough_age_activity,Random Forest,Random Forest_02,"{""max_depth"": 6, ""max_features"": 0.5, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",6,7,713,681,681,0.06689101037413395,0.08375853508593169,0.11964995253091272,0.09055821600720476,0.05828656625419271,-0.010595361112812786,0,0.0,713,0.06720674045430182,0.08515699617254159,0.12415867027463132,0.09140453007842965,0.05472236382695317,-0.009642052130171509,0,0.0
borough_age_activity,Random Forest,Random Forest_03,"{""max_depth"": 8, ""max_features"": 0.5, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",4,5,695,677,677,0.06751581652076065,0.08415498472688722,0.130669517047734,0.09551467050869088,0.03282857970601072,-0.02541894580106392,0,0.0,695,0.06831584852545328,0.08852901124276658,0.14443501026775835,0.0981206424930372,0.019401115861830576,-0.02898419991039426,0,0.0
borough_age_activity,Random Forest,Random Forest_03,"{""max_depth"": 8, ""max_features"": 0.5, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",5,6,704,669,669,0.06288851872312565,0.08654554792948606,0.12649476717557379,0.08313145032691083,0.003759874272928454,0.02604700587037437,0,0.0,704,0.06323977039362935,0.08733648952206409,0.12608765452834392,0.08359773309686971,-0.0005750188234829867,0.02753890334324194,0,0.0
borough_age_activity,Random Forest,Random Forest_03,"{""max_depth"": 8, ""max_features"": 0.5, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",6,7,713,681,681,0.0663379698143093,0.08315771273235081,0.11968801155075988,0.0901508069450167,0.05768737854496819,-0.010430952723844372,0,0.0,713,0.06663912020388364,0.08446802211285631,0.12423795061405496,0.09100738777264987,0.05351478229585438,-0.009610676251356453,0,0.0
borough_age_activity,Random Forest,Random Forest_04,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",4,5,695,677,677,0.06570000671574593,0.08357989191905862,0.13043809308019186,0.09325342454345814,0.03625138935382799,-0.02234407638086414,0,0.0,695,0.06649029852690516,0.08796528559408653,0.1445189938534874,0.09591478640218683,0.018260420773373975,-0.026021275987335876,0,0.0
borough_age_activity,Random Forest,Random Forest_04,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",5,6,704,669,669,0.0658698261612349,0.08992116760531553,0.1281799105377333,0.08533356494323101,-0.022960437986901283,0.030817668476204683,0,0.0,704,0.06622441555093418,0.09079065608020262,0.12780744074854966,0.08577936758707441,-0.02805606739263311,0.03237924487146337,0,0.0
borough_age_activity,Random Forest,Random Forest_04,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",6,7,713,681,681,0.06381663369310361,0.08048248912330891,0.11874287091564584,0.088169829084396,0.07251094300182093,-0.013040492465982616,0,0.0,713,0.06409416370837102,0.08153972461276784,0.12331700281152368,0.08905829658961462,0.06749493497950576,-0.012562240403892177,0,0.0
borough_age_activity,Random Forest,Random Forest_05,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",4,5,695,677,677,0.06596566388585526,0.0831587401626552,0.1302667552921922,0.09404853822280468,0.038781602725090236,-0.023887796347577227,0,0.0,695,0.06676282971744382,0.08745747820438783,0.14421464009558901,0.09673116563584543,0.022391109664625986,-0.027654760017878734,0,0.0
borough_age_activity,Random Forest,Random Forest_05,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",5,6,704,669,669,0.06571931887246184,0.08835421701068628,0.12734843978094534,0.08509347792942691,-0.009732109204603434,0.028785272795425143,0,0.0,704,0.06606873115996949,0.08920063709391603,0.12697396662122498,0.08554496951307979,-0.014691208468556205,0.03032500338227153,0,0.0
borough_age_activity,Random Forest,Random Forest_05,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",6,7,713,681,681,0.0629385394440979,0.07971988789504955,0.11887708859823488,0.08769370864314903,0.07041303539339983,-0.0124289665022717,0,0.0,713,0.06318177847142409,0.08048717808658121,0.12359106380166276,0.08862092344771627,0.06334551131818111,-0.01238533769404367,0,0.0
borough_age_activity,Gradient Boosting,Gradient Boosting_01,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 1, ""min_leaf_fraction"": 0.05, ""n_estimators"": 120}",4,5,695,677,677,0.07807296850093502,0.08912992169365491,0.13853247295652096,0.10992278350314966,-0.08707136675469895,-0.0421381407204731,0,0.0,695,0.07887388444549359,0.09330508455161086,0.15262762615861136,0.11248925269257973,-0.0949965243787434,-0.046068042133406185,0,0.0
