task,model,candidate_id,parameters_json,folds,mean_weighted_tv,sd_weighted_tv,worst_weighted_tv,mean_mae,mean_rmse,mean_weighted_rmse,mean_r2,mean_error,mean_clip_rate,mean_common_rows,mean_all_rows,se_weighted_tv,naive_mean_weighted_tv,skill_vs_naive,complexity_order,numeric_features_json,categorical_features_json
borough_activity,Random Forest,Random Forest_01,"{""max_depth"": 4, ""max_features"": 0.5, ""min_leaf_fraction"": 0.05, ""n_estimators"": 250}",3,0.03409226106790395,0.002448519589597959,0.0366746455899619,0.038667478367898696,0.04897805964266877,0.042704409417920225,0.06219903448698135,-0.00369368625431102,0.0,96.0,96.0,0.0014136534441704538,0.04412036473334671,0.22728968189747067,2,"[""frequent_volunteer_rate_lag1"", ""lag_1_missing"", ""time_trend""]","[""borough_category"", ""activity_category""]"
borough_age,Gradient Boosting,Gradient Boosting_04,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 400}",3,0.04714445090915546,0.0029134702173108894,0.04920251327361635,0.06024333337242013,0.09903411331160535,0.063329748984232,-0.013706470731613426,-0.015340611736362753,0.0,249.66666666666666,252.66666666666666,0.0016820928142403995,0.06714042416647602,0.29782315952815774,3,"[""frequent_volunteer_rate_lag1"", ""lag_1_missing"", ""time_trend""]","[""borough_category"", ""age_group_category""]"
borough_age_activity,Gradient Boosting,Gradient Boosting_05,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 3, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",3,0.06253287296198125,0.004662621639246937,0.06671404278071863,0.0768298957022699,0.12722499128723178,0.0905421052726527,0.006792509768115074,-0.023405009824484003,0.0,675.6666666666666,704.0,0.0026919658585485935,0.08842924823115335,0.2928485290463986,3,"[""frequent_volunteer_rate_lag1"", ""lag_1_missing"", ""time_trend""]","[""borough_category"", ""age_activity_group""]"
