sample_size_group,cells,mean_mae,median_mae,rmse,mean_observed_rate,zero_rate,positive_cells,positive_cell_mae
n < 30,42560,0.0048844393441492585,1.064899053173205e-06,0.038458933483794464,0.00559668001127911,0.9698778195488722,1282,0.1539303955088376
n >= 30,19832,0.004642687618587262,1.064899053173205e-06,0.02028605003261493,0.0082473584209641,0.8550322710770472,2875,0.03156941665031047
